Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Task Path,:core:data-test:kspDemoDebugKotlin,2586,2356,2517,2335,3099,2591,ms
Task Path,:core:data-test:kspProdDebugKotlin,2522,2236,2450,2241,2863,2501,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1118,1082,1077,1093,1376,1368,ms
Task Path,:app:mergeProdDebugJavaResource,2983,2585,3099,2502,4153,3396,ms
Task Path,:app:jacocoProdDebug,1150,1025,1100,1021,1640,1401,ms
Task Path,:app:dexBuilderProdDebug,1780,1450,1653,1472,2206,1755,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2023,1831,2049,1850,2321,2024,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,1969,1781,1940,1770,2281,1928,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17621,16291,17413,16342,19138,17326,ms
Task Path,:app:packageProdDebug,2842,2506,2847,2482,3358,2778,ms
Task Path,:app-nia-catalog:packageDebug,1821,1800,1789,1790,2232,2053,ms
Task Path,:lint:compileKotlin,1742,1528,1739,1525,2028,1802,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1510,1398,1472,1379,1857,1595,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1370,1248,1340,1253,1751,1400,ms
Task Path,:core:testing:kspDemoDebugKotlin,2592,2258,2521,2248,3068,2480,ms
Task Path,:core:testing:kspProdDebugKotlin,2389,2171,2326,2139,2975,2393,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1724,1529,1664,1506,2334,1827,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1727,1508,1639,1476,2075,1767,ms
Task Path,:core:testing:compileDemoDebugKotlin,1533,1319,1525,1306,1954,1510,ms
Task Path,:core:testing:compileProdDebugKotlin,1442,1307,1395,1266,1756,1577,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1341,1180,1316,1148,1679,1435,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1278,1129,1230,1127,1587,1322,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,11.04,9.57,11.06,9.58,11.75,9.75,Gb
Build process cpu,Max,93.84,93.4,94.0,93.0,95,95,%
Build processes memory,Max,5.38,5.18,5.4,5.19,5.45,5.29,Gb
Build child processes cpu,Max,92.06,92.24,92.0,92.5,94,94,%
Build child processes memory,Max,4.64,3.35,4.65,3.36,5.33,3.44,Gb
gc-gradle_gc.log,Concurrent Mark Cycle,10.0,,10.0,,12.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (G1 Evacuation Pause),2.0,,3.0,,3.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (G1 Humongous Allocation),3.0,,3.0,,5.9,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (Metadata GC Threshold),4.0,,4.0,,5.0,,
gc-gradle_gc.log,Pause Young (Mixed) (G1 Evacuation Pause),7.0,,7.0,,12.0,,
gc-gradle_gc.log,Pause Young (Mixed) (GCLocker Initiated GC),1.0,,2.0,,3.0,,
gc-gradle_gc.log,Pause Young (Normal) (G1 Evacuation Pause),39.0,,39.5,,46.0,,
gc-gradle_gc.log,Pause Young (Normal) (GCLocker Initiated GC),3.0,,2.5,,5.3,,
gc-gradle_gc.log,Pause Young (Prepare Mixed) (G1 Evacuation Pause),5.0,,5.0,,7.0,,
gc-gradle_gc.log,total-collections,68.0,58.0,67.0,58.0,75.8,60.0,
gc-gradle_gc.log,Pause Young (Concurrent Start) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-gradle_gc.log,Pause Young (Prepare Mixed) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-gradle_gc.log,Pause Young (Normal) (G1 Preventive Collection),1.0,,1.0,,1.0,,
gc-gradle_gc.log,Pause Young (Prepare Mixed) (G1 Preventive Collection),1.0,,1.0,,1.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (G1 Preventive Collection),1.0,,1.0,,1.0,,
gc-kotlin_gc.log,Concurrent Mark Cycle,8.0,,9.0,,10.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (G1 Evacuation Pause),2.0,,3.0,,3.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (Metadata GC Threshold),5.0,,6.0,,6.0,,
gc-kotlin_gc.log,Pause Young (Mixed) (G1 Evacuation Pause),4.0,,4.0,,6.0,,
gc-kotlin_gc.log,Pause Young (Normal) (G1 Evacuation Pause),24.0,,25.0,,32.0,,
gc-kotlin_gc.log,Pause Young (Prepare Mixed) (G1 Evacuation Pause),4.0,,4.0,,5.0,,
gc-kotlin_gc.log,total-collections,43.0,34.0,45.0,35.0,51.9,36.9,
gc-kotlin_gc.log,Pause Young (Normal) (GCLocker Initiated GC),1.0,,1.0,,3.0,,
gc-kotlin_gc.log,Pause Young (Mixed) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-kotlin_gc.log,Pause Young (Prepare Mixed) (GCLocker Initiated GC),1.0,,1.0,,1.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (G1 Humongous Allocation),1.0,,1.0,,1.0,,
gc-gradle_gc.log,Pause Full (Ergonomics),,1.0,,1.0,,1.0,
gc-gradle_gc.log,Pause Full (Metadata GC Threshold),,5.0,,5.0,,5.0,
gc-gradle_gc.log,Pause Young (Allocation Failure),,42.0,,43.0,,44.0,
gc-gradle_gc.log,Pause Young (GCLocker Initiated GC),,4.0,,5.0,,8.0,
gc-gradle_gc.log,Pause Young (Metadata GC Threshold),,5.0,,5.0,,5.0,
gc-kotlin_gc.log,Pause Full (Metadata GC Threshold),,7.0,,7.0,,7.0,
gc-kotlin_gc.log,Pause Young (Allocation Failure),,19.0,,20.0,,21.0,
gc-kotlin_gc.log,Pause Young (Metadata GC Threshold),,7.0,,7.0,,7.0,
gc-kotlin_gc.log,Pause Young (GCLocker Initiated GC),,1.0,,1.0,,3.0,
