Category,Metric,varianta_main Mean,variantb_gradle_8_13 Mean,varianta_main P50,variantb_gradle_8_13 P50,varianta_main P90,variantb_gradle_8_13 P90,Unit
Task Path,:core:analytics:compileDemoReleaseJavaWithJavac,2320,2293,2331,2269,2582,2520,ms
Task Path,:core:datastore-proto:compileDemoReleaseJavaWithJavac,2961,2701,3180,3011,3524,3428,ms
Task Path,:core:database:kspDemoReleaseKotlin,10786,10630,10707,10603,11341,11224,ms
Task Path,:core:network:kspDemoReleaseKotlin,4074,4002,4093,3972,4392,4332,ms
Task Path,:core:datastore:kspDemoReleaseKotlin,3114,3104,3119,3101,3435,3390,ms
Task Path,:core:database:kspProdReleaseKotlin,9157,9267,8947,8989,10371,10588,ms
Task Path,:core:datastore:compileDemoReleaseKotlin,3894,3874,3892,3861,4201,4207,ms
Task Path,:core:network:compileDemoReleaseKotlin,5421,5392,5393,5381,5844,5787,ms
Task Path,:core:notifications:kspDemoReleaseKotlin,3630,3565,3556,3548,4041,3907,ms
Task Path,:core:notifications:compileDemoReleaseKotlin,1622,1604,1623,1586,1846,1834,ms
Task Path,:core:database:compileDemoReleaseKotlin,11369,11215,11313,11165,12078,11940,ms
Task Path,:core:database:compileProdReleaseKotlin,11125,11001,11087,10942,11719,11666,ms
Task Path,:lint:compileKotlin,3630,3707,3602,3694,3981,4155,ms
Task Path,:core:data:kspDemoReleaseKotlin,4425,4429,4342,4386,4845,4910,ms
Task Path,:core:data:compileDemoReleaseKotlin,4957,4946,4925,4838,5560,5577,ms
Task Path,:core:designsystem:compileDemoReleaseKotlin,17515,17470,17359,17372,18776,18802,ms
Task Path,:core:domain:compileDemoReleaseKotlin,1300,1327,1292,1313,1546,1547,ms
Task Path,:core:common:lintVitalAnalyzeJvmMain,10571,10607,10595,10571,11420,11569,ms
Task Path,:core:analytics:lintVitalAnalyzeDemoRelease,11584,11592,11511,11505,12468,12427,ms
Task Path,:sync:work:kspDemoReleaseKotlin,4630,4533,4603,4507,5235,5219,ms
Task Path,:core:ui:compileDemoReleaseKotlin,6306,6163,6300,6029,7085,6960,ms
Task Path,:sync:work:compileDemoReleaseKotlin,2014,1959,1996,1982,2305,2286,ms
Task Path,:core:database:lintVitalAnalyzeDemoRelease,5065,5043,5023,5029,5597,5617,ms
Task Path,:feature:bookmarks:kspDemoReleaseKotlin,3776,3733,3742,3758,4249,4161,ms
Task Path,:feature:interests:kspDemoReleaseKotlin,3462,3459,3389,3423,3868,3856,ms
Task Path,:core:data:lintVitalAnalyzeDemoRelease,9378,9297,9244,9184,10433,10309,ms
Task Path,:feature:foryou:kspDemoReleaseKotlin,3941,3862,3942,3868,4381,4317,ms
Task Path,:feature:bookmarks:compileDemoReleaseKotlin,3771,3778,3737,3785,4247,4261,ms
Task Path,:feature:interests:compileDemoReleaseKotlin,3402,3394,3362,3402,3827,3785,ms
Task Path,:feature:search:kspDemoReleaseKotlin,3483,3441,3449,3420,3849,3819,ms
Task Path,:feature:foryou:compileDemoReleaseKotlin,5393,5377,5387,5361,6014,6004,ms
Task Path,:feature:settings:kspDemoReleaseKotlin,3231,3204,3204,3152,3743,3548,ms
Task Path,:feature:topic:kspDemoReleaseKotlin,3490,3472,3466,3412,3932,4147,ms
Task Path,:feature:settings:compileDemoReleaseKotlin,3786,3741,3732,3735,4424,4216,ms
Task Path,:feature:search:compileDemoReleaseKotlin,5843,5717,5801,5690,6639,6516,ms
Task Path,:core:datastore:lintVitalAnalyzeDemoRelease,3858,3757,3753,3699,4604,4588,ms
Task Path,:feature:topic:compileDemoReleaseKotlin,4410,4337,4362,4296,5090,4936,ms
Task Path,:core:domain:lintVitalAnalyzeDemoRelease,1458,1532,1441,1536,1843,1927,ms
Task Path,:core:datastore-proto:lintVitalAnalyzeDemoRelease,4969,4947,4944,4986,5654,5636,ms
Task Path,:core:model:lintVitalAnalyzeJvmMain,1494,1462,1487,1451,1855,1846,ms
Task Path,:core:notifications:lintVitalAnalyzeDemoRelease,2576,2535,2520,2522,3067,2938,ms
Task Path,:app:kspDemoReleaseKotlin,5656,5565,5631,5524,6768,6458,ms
Task Path,:core:network:lintVitalAnalyzeDemoRelease,3504,3461,3418,3440,4109,3909,ms
Task Path,:core:ui:lintVitalAnalyzeDemoRelease,4957,4787,4871,4745,5810,5433,ms
Task Path,:feature:bookmarks:lintVitalAnalyzeDemoRelease,4288,4179,4181,4151,5081,4715,ms
Task Path,:app:compileDemoReleaseKotlin,6627,6564,6555,6468,7675,7658,ms
Task Path,:feature:interests:lintVitalAnalyzeDemoRelease,2681,2621,2659,2567,3244,3057,ms
Task Path,:app:compileDemoReleaseJavaWithJavac,1194,1160,1170,1143,1510,1365,ms
Task Path,:feature:foryou:lintVitalAnalyzeDemoRelease,4444,4409,4427,4329,5180,5152,ms
Task Path,:core:designsystem:lintVitalAnalyzeDemoRelease,15833,15614,15748,15529,17776,17042,ms
Task Path,:app:hiltAggregateDepsDemoRelease,1188,1125,1158,1100,1510,1394,ms
Task Path,:feature:settings:lintVitalAnalyzeDemoRelease,2333,2302,2312,2263,2825,2735,ms
Task Path,:feature:search:lintVitalAnalyzeDemoRelease,3755,3744,3698,3686,4293,4339,ms
Task Path,:feature:topic:lintVitalAnalyzeDemoRelease,2628,2513,2619,2465,3091,2951,ms
Task Path,:sync:work:lintVitalAnalyzeDemoRelease,1963,1813,1818,1647,2752,2461,ms
Task Path,:app:expandDemoReleaseL8ArtProfileWildcards,1090,1052,1055,1033,1350,1247,ms
Task Path,:app:hiltJavaCompileDemoRelease,5700,5538,5720,5517,6387,6173,ms
Task Path,:app:validateSigningDemoRelease,2131,2106,1978,1943,3010,2962,ms
Task Path,:app:transformDemoReleaseClassesWithAsm,1259,1267,1219,1206,1561,1686,ms
Task Path,:app:mergeProdReleaseResources,3628,3556,3621,3574,4298,4162,ms
Task Path,:app:mergeDemoReleaseJavaResource,3372,3301,3347,3255,3960,3902,ms
Task Path,:app:processProdReleaseResources,1167,1167,1130,1122,1461,1426,ms
Task Path,:app:expandDemoReleaseArtProfileWildcards,3141,3022,3141,3068,3689,3405,ms
Task Path,:core:analytics:kspProdReleaseKotlin,2302,2339,2268,2321,2765,2859,ms
Task Path,:core:datastore-proto:compileProdReleaseKotlin,1794,1750,1752,1678,2191,2101,ms
Task Path,:core:analytics:compileProdReleaseKotlin,1262,1186,1210,1165,1586,1388,ms
Task Path,:core:datastore:kspProdReleaseKotlin,2306,2299,2249,2275,2674,2631,ms
Task Path,:core:network:kspProdReleaseKotlin,2761,2655,2707,2641,3285,2973,ms
Task Path,:core:datastore:compileProdReleaseKotlin,1703,1728,1711,1686,2031,2208,ms
Task Path,:core:network:compileProdReleaseKotlin,2241,2241,2236,2206,2618,2753,ms
Task Path,:core:notifications:kspProdReleaseKotlin,2515,2459,2500,2415,2914,2862,ms
Task Path,:app:lintVitalAnalyzeDemoRelease,13481,13149,13075,12672,16205,15605,ms
Task Path,:core:notifications:compileProdReleaseKotlin,1012,,997,,1282,,ms
Task Path,:core:analytics:lintVitalAnalyzeProdRelease,2416,2384,2445,2386,2892,2865,ms
Task Path,:core:data:kspProdReleaseKotlin,3268,3146,3202,3107,3709,3607,ms
Task Path,:core:designsystem:compileProdReleaseKotlin,9559,9343,9396,9328,10503,10243,ms
Task Path,:core:database:lintVitalAnalyzeProdRelease,2460,2309,2420,2291,2964,2731,ms
Task Path,:core:data:compileProdReleaseKotlin,3083,3025,3052,2987,3533,3630,ms
Task Path,:core:datastore:lintVitalAnalyzeProdRelease,2290,2219,2271,2193,2695,2657,ms
Task Path,:core:ui:compileProdReleaseKotlin,3858,3889,3828,3877,4368,4497,ms
Task Path,:core:data:lintVitalAnalyzeProdRelease,3856,3868,3730,3846,4578,4646,ms
Task Path,:sync:work:kspProdReleaseKotlin,4258,4272,4193,4226,4739,4853,ms
Task Path,:feature:bookmarks:kspProdReleaseKotlin,2823,2738,2783,2715,3241,3113,ms
Task Path,:feature:interests:kspProdReleaseKotlin,2689,2643,2654,2602,3040,3038,ms
Task Path,:feature:foryou:kspProdReleaseKotlin,2979,2959,2948,2918,3395,3397,ms
Task Path,:feature:bookmarks:compileProdReleaseKotlin,2575,2589,2520,2574,2999,2846,ms
Task Path,:feature:interests:compileProdReleaseKotlin,2444,2483,2372,2468,2832,2915,ms
Task Path,:feature:foryou:compileProdReleaseKotlin,3630,3615,3550,3521,4279,4288,ms
Task Path,:feature:search:kspProdReleaseKotlin,2736,2661,2682,2622,2998,3135,ms
Task Path,:feature:settings:kspProdReleaseKotlin,2661,2576,2633,2560,3119,2931,ms
Task Path,:feature:topic:kspProdReleaseKotlin,2798,2724,2724,2679,3234,3127,ms
Task Path,:feature:search:compileProdReleaseKotlin,3979,3867,3920,3821,4472,4373,ms
Task Path,:feature:settings:compileProdReleaseKotlin,2538,2515,2484,2501,2961,2802,ms
Task Path,:feature:topic:compileProdReleaseKotlin,3093,3042,3046,2977,3541,3510,ms
Task Path,:sync:work:compileProdReleaseKotlin,1627,1564,1536,1560,2033,1842,ms
Task Path,:core:datastore-proto:lintVitalAnalyzeProdRelease,3003,3077,3043,3120,3470,3681,ms
Task Path,:core:domain:lintVitalAnalyzeProdRelease,1514,1414,1407,1237,2186,2071,ms
Task Path,:core:network:lintVitalAnalyzeProdRelease,2455,2352,2441,2336,2822,2768,ms
Task Path,:app:kspProdReleaseKotlin,4583,4554,4567,4491,5022,5111,ms
Task Path,:core:notifications:lintVitalAnalyzeProdRelease,1719,1712,1709,1738,2040,2053,ms
Task Path,:core:ui:lintVitalAnalyzeProdRelease,3322,3370,3328,3348,3748,3880,ms
Task Path,:app:compileProdReleaseKotlin,5113,5060,5036,5017,5665,5761,ms
Task Path,:core:designsystem:lintVitalAnalyzeProdRelease,11181,10994,11227,11120,12242,12043,ms
Task Path,:app:compileProdReleaseJavaWithJavac,1049,1033,1044,1013,1278,1278,ms
Task Path,:feature:bookmarks:lintVitalAnalyzeProdRelease,2787,2763,2819,2778,3197,3218,ms
Task Path,:feature:foryou:lintVitalAnalyzeProdRelease,3464,3376,3392,3320,4107,4048,ms
Task Path,:feature:interests:lintVitalAnalyzeProdRelease,1912,1897,1911,1895,2155,2164,ms
Task Path,:app:hiltJavaCompileProdRelease,5735,5762,5687,5711,6266,6478,ms
Task Path,:feature:settings:lintVitalAnalyzeProdRelease,2250,2274,2242,2279,2568,2560,ms
Task Path,:feature:search:lintVitalAnalyzeProdRelease,3387,3433,3403,3464,3734,3725,ms
Task Path,:sync:work:lintVitalAnalyzeProdRelease,2136,2232,2044,2103,2765,2940,ms
Task Path,:feature:topic:lintVitalAnalyzeProdRelease,2533,2507,2542,2499,2817,2867,ms
Task Path,:app:mergeProdReleaseJavaResource,2515,2492,2526,2518,2813,2761,ms
Task Path,:app:expandProdReleaseArtProfileWildcards,1973,1957,1971,1956,2210,2252,ms
Task Path,:app-nia-catalog:mergeReleaseResources,2007,1979,2006,2023,2340,2356,ms
Task Path,:app-nia-catalog:compileReleaseKotlin,3217,3239,3183,3191,3622,3782,ms
Task Path,:app-nia-catalog:lintVitalAnalyzeRelease,2494,2573,2419,2478,3040,3244,ms
Task Path,:app-nia-catalog:dexBuilderRelease,2000,2012,1978,2026,2442,2418,ms
Task Path,:app:lintVitalAnalyzeProdRelease,10838,10296,10395,9837,12495,12501,ms
Task Path,:app-nia-catalog:mergeReleaseJavaResource,1502,1453,1489,1422,1788,1746,ms
Task Path,:ui-test-hilt-manifest:kspDemoReleaseKotlin,2404,2392,2354,2387,2793,2722,ms
Task Path,:ui-test-hilt-manifest:verifyDemoReleaseResources,2123,2129,2216,2202,2621,2653,ms
Task Path,:ui-test-hilt-manifest:compileDemoReleaseKotlin,1101,1102,1062,1078,1368,1289,ms
Task Path,:ui-test-hilt-manifest:transformDemoReleaseClassesWithAsm,1441,1339,1531,1466,2051,1831,ms
Task Path,:ui-test-hilt-manifest:kspProdReleaseKotlin,2005,1948,1944,1902,2376,2307,ms
Task Path,:core:data:verifyProdReleaseResources,1573,1615,1093,1068,3190,3222,ms
Task Path,:core:data-test:prepareLintJarForPublish,1143,,1492,,1986,,ms
Task Path,:core:data-test:verifyDemoReleaseResources,1086,1125,933,895,1863,2261,ms
Task Path,:core:data-test:kspDemoReleaseKotlin,2732,2581,2689,2537,3296,3077,ms
Task Path,:app-nia-catalog:mergeExtDexRelease,22102,22014,21664,21754,24769,24336,ms
Task Path,:core:data-test:compileDemoReleaseKotlin,1188,1174,1114,1125,1522,1537,ms
Task Path,:core:data-test:kspProdReleaseKotlin,2428,2427,2373,2392,2938,2900,ms
Task Path,:core:data-test:compileProdReleaseKotlin,1030,1045,999,1041,1291,1268,ms
Task Path,:core:data-test:verifyProdReleaseResources,1220,1296,1104,1132,1835,2068,ms
Task Path,:core:datastore-test:kspDemoReleaseKotlin,1900,1888,1871,1840,2263,2299,ms
Task Path,:core:datastore-test:verifyDemoReleaseResources,1681,1576,1872,1785,2332,2407,ms
Task Path,:core:datastore-test:kspProdReleaseKotlin,1971,1921,1941,1867,2383,2334,ms
Task Path,:core:datastore-test:transformDemoReleaseClassesWithAsm,1412,1277,1511,1440,1904,1750,ms
Task Path,:core:designsystem:mergeProdReleaseResources,1330,1347,1330,1323,1579,1587,ms
Task Path,:core:designsystem:mergeDemoReleaseResources,1396,1361,1381,1360,1675,1636,ms
Task Path,:core:designsystem:verifyDemoReleaseResources,1441,1459,1382,1403,1858,1805,ms
Task Path,:core:designsystem:verifyProdReleaseResources,1622,1618,1665,1623,2043,2022,ms
Task Path,:core:domain:verifyProdReleaseResources,1063,1060,1058,1055,1280,1249,ms
Task Path,:app-nia-catalog:mergeDexRelease,17752,17710,17712,17711,19221,19155,ms
Task Path,:core:screenshot-testing:kspDemoReleaseKotlin,1881,1937,1885,1905,2190,2280,ms
Task Path,:core:screenshot-testing:mergeDemoReleaseResources,2413,2402,2402,2408,2802,2762,ms
Task Path,:core:screenshot-testing:compileDemoReleaseKotlin,2188,2168,2238,2188,2701,2734,ms
Task Path,:core:screenshot-testing:verifyDemoReleaseResources,3180,3165,3150,3151,3645,3735,ms
Task Path,:core:screenshot-testing:kspProdReleaseKotlin,1319,1275,1304,1254,1577,1529,ms
Task Path,:core:screenshot-testing:compileProdReleaseKotlin,1747,1712,1709,1691,2066,1988,ms
Task Path,:core:screenshot-testing:mergeProdReleaseResources,2554,2564,2564,2535,2966,3021,ms
Task Path,:core:testing:kspDemoReleaseKotlin,2670,2602,2599,2589,3105,2993,ms
Task Path,:core:testing:kspProdReleaseKotlin,2517,2505,2488,2477,2898,2982,ms
Task Path,:core:testing:compileDemoReleaseKotlin,1958,1899,1970,1870,2403,2288,ms
Task Path,:core:testing:compileProdReleaseKotlin,1773,1775,1738,1752,2222,2223,ms
Task Path,:core:testing:verifyProdReleaseResources,1032,1072,1006,1040,1307,1356,ms
Task Path,:core:ui:mergeDemoReleaseResources,1431,1440,1382,1425,1883,1849,ms
Task Path,:core:ui:mergeProdReleaseResources,1581,1579,1600,1545,1907,1945,ms
Task Path,:core:ui:verifyDemoReleaseResources,1434,1390,1436,1424,1844,1721,ms
Task Path,:core:ui:verifyProdReleaseResources,1372,1393,1347,1372,1792,1734,ms
Task Path,:feature:bookmarks:mergeDemoReleaseResources,1150,1121,1145,1112,1425,1337,ms
Task Path,:feature:bookmarks:verifyDemoReleaseResources,1304,1295,1292,1277,1659,1676,ms
Task Path,:feature:bookmarks:mergeProdReleaseResources,1383,1369,1396,1374,1640,1634,ms
Task Path,:feature:foryou:mergeDemoReleaseResources,1157,1141,1136,1133,1376,1360,ms
Task Path,:feature:bookmarks:verifyProdReleaseResources,1271,1275,1281,1262,1567,1531,ms
Task Path,:feature:foryou:verifyDemoReleaseResources,1420,1338,1400,1387,1770,1585,ms
Task Path,:feature:interests:mergeDemoReleaseResources,1129,1101,1127,1099,1366,1383,ms
Task Path,:feature:foryou:mergeProdReleaseResources,1412,1361,1399,1354,1672,1615,ms
Task Path,:feature:interests:verifyDemoReleaseResources,1321,1306,1344,1304,1644,1621,ms
Task Path,:feature:foryou:verifyProdReleaseResources,1349,1321,1320,1296,1681,1658,ms
Task Path,:feature:search:mergeDemoReleaseResources,1115,1082,1113,1082,1376,1325,ms
Task Path,:feature:interests:mergeProdReleaseResources,1344,1371,1317,1367,1646,1674,ms
Task Path,:feature:interests:verifyProdReleaseResources,1265,1321,1260,1297,1533,1664,ms
Task Path,:feature:search:verifyDemoReleaseResources,1279,1240,1291,1249,1647,1562,ms
Task Path,:feature:search:mergeProdReleaseResources,1364,1309,1353,1316,1603,1641,ms
Task Path,:feature:settings:mergeDemoReleaseResources,1971,1893,1966,1895,2362,2292,ms
Task Path,:feature:search:verifyProdReleaseResources,1528,1504,1484,1454,2104,2129,ms
Task Path,:feature:settings:verifyDemoReleaseResources,2495,2401,2448,2404,3238,3030,ms
Task Path,:feature:settings:mergeProdReleaseResources,1947,1877,1952,1863,2401,2281,ms
Task Path,:feature:topic:mergeDemoReleaseResources,1150,1086,1163,1096,1388,1342,ms
Task Path,:feature:topic:verifyDemoReleaseResources,1379,1403,1425,1403,1721,1819,ms
Task Path,:feature:settings:verifyProdReleaseResources,2485,2283,2486,2246,2942,2788,ms
Task Path,:feature:topic:mergeProdReleaseResources,1401,1396,1416,1381,1664,1679,ms
Task Path,:sync:sync-test:kspDemoReleaseKotlin,2364,2305,2305,2272,2803,2722,ms
Task Path,:feature:topic:verifyProdReleaseResources,1468,1434,1443,1376,1915,1925,ms
Task Path,:sync:sync-test:kspProdReleaseKotlin,2114,2139,2082,2105,2454,2474,ms
Task Path,:sync:sync-test:verifyProdReleaseResources,1006,,981,,1223,,ms
Task Path,:app-nia-catalog:l8DexDesugarLibRelease,43956,43526,43857,43662,46806,45424,ms
Task Path,:app-nia-catalog:compileReleaseArtProfile,1509,1437,1519,1470,1749,1687,ms
Task Path,:app-nia-catalog:packageRelease,2701,2654,2688,2664,3121,2910,ms
Task Path,:app:minifyDemoReleaseWithR8,254451,252941,253441,251477,261885,261876,ms
Task Path,:app:l8DexDesugarLibDemoRelease,15956,16181,16110,16315,17265,17150,ms
Task Path,:app:minifyProdReleaseWithR8,101580,102425,102465,103002,106936,106631,ms
Task Path,:app:l8DexDesugarLibProdRelease,7442,7435,7401,7403,7805,7736,ms
