Category,Metric,varianta_using_xms Mean,variantb_no_xms Mean,varianta_using_xms P50,variantb_no_xms P50,varianta_using_xms P90,variantb_no_xms P90,Unit
Task Path,:core:network:kspDemoDebugKotlin,3772,3755,3739,3744,4067,4077,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4728,4633,4725,4589,5120,5026,ms
Task Path,:core:database:kspDemoDebugKotlin,10717,10757,10699,10670,11227,11275,ms
Task Path,:core:database:kspProdDebugKotlin,8866,8792,8784,8698,9467,9320,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1560,1536,1535,1549,1777,1692,ms
Task Path,:core:network:compileDemoDebugKotlin,5923,6014,5859,5891,6497,6562,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3161,3143,3134,3122,3415,3437,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3482,3749,3453,3728,3763,4105,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3262,3424,3225,3377,3628,4034,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1853,1827,1891,1810,2125,2121,ms
Task Path,:core:database:compileProdDebugKotlin,11095,11174,11112,11112,11943,11872,ms
Task Path,:core:database:compileDemoDebugKotlin,11408,11490,11332,11384,12269,12126,ms
Task Path,:core:data:kspDemoDebugKotlin,5015,5078,4837,5070,5825,5571,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18106,18775,18086,18808,19643,20592,ms
Task Path,:core:designsystem:bundleLibCompileToJarDemoDebug,1296,1314,853,908,3661,3709,ms
Task Path,:core:data:compileDemoDebugKotlin,8566,8501,6845,7124,13887,13117,ms
Task Path,:core:ui:compileDemoDebugKotlin,5359,5835,5301,5728,6513,6819,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3520,3103,3606,2837,4594,4746,ms
Task Path,:core:designsystem:bundleLibRuntimeToJarDemoDebug,1412,1366,50,53,5173,5410,ms
Task Path,:core:domain:compileDemoDebugKotlin,1386,1799,1066,1214,1407,6202,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2522,2295,2927,2706,5094,5389,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5291,5716,5520,6103,7115,7305,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5251,5973,5830,6564,6907,7530,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1114,1220,1111,1200,1429,1549,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,5999,6278,5818,6095,7102,7328,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1787,1519,2021,1297,3648,3240,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38415,40047,38251,39758,40523,42309,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6747,7635,7444,8423,8484,9027,ms
Task Path,:feature:interests:kspDemoDebugKotlin,2991,3335,2940,3100,3375,4476,ms
Task Path,:feature:search:kspDemoDebugKotlin,2931,3010,2934,2985,3281,3368,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2988,2989,2999,2972,3539,3367,ms
Task Path,:feature:settings:kspDemoDebugKotlin,2974,2979,2902,2918,3544,3485,ms
Task Path,:app:mergeExtDexDemoDebug,42239,43693,42572,43415,44240,46340,ms
Task Path,:feature:search:compileDemoDebugKotlin,4630,4695,4705,4638,5190,5511,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2930,2982,2892,2928,3440,3470,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3031,3127,3058,3083,3490,3503,ms
Task Path,:sync:work:kspDemoDebugKotlin,3747,4017,3740,3869,4278,4335,ms
Task Path,:sync:work:compileDemoDebugKotlin,1448,1531,1454,1481,1730,1810,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3537,3686,3480,3646,4171,4349,ms
Task Path,:app:kspDemoDebugKotlin,4886,5030,4890,4992,5414,5756,ms
Task Path,:app:validateSigningDemoDebug,2727,2706,2667,2559,3788,4193,ms
Task Path,:app:mergeLibDexDemoDebug,1514,1516,1481,1468,1945,1914,ms
Task Path,:app:compileDemoDebugKotlin,5862,5940,5760,5842,6564,6896,ms
Task Path,:app:mergeProdDebugResources,3284,3638,3294,3585,3954,4284,ms
Task Path,:core:analytics:kspProdDebugKotlin,2450,2529,2368,2491,2921,2975,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2667,2688,2691,2631,2988,3187,ms
Task Path,:app:processProdDebugResources,1162,1273,1134,1206,1596,1698,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1016,1112,1002,1089,1192,1367,ms
Task Path,:core:analytics:compileProdDebugKotlin,1220,1266,1197,1189,1674,1593,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1270,1304,1271,1278,1553,1656,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1629,1627,1622,1566,2060,1951,ms
Task Path,:core:notifications:kspProdDebugKotlin,2488,2571,2429,2551,2840,2980,ms
Task Path,:core:network:kspProdDebugKotlin,2616,2732,2568,2673,3071,3170,ms
Task Path,:core:datastore:kspProdDebugKotlin,2263,2410,2185,2411,2603,2835,ms
Task Path,:app:hiltJavaCompileDemoDebug,5520,5725,5610,5671,6074,6686,ms
Task Path,:core:network:compileProdDebugKotlin,2044,2357,2019,2412,2308,2869,ms
Task Path,:core:datastore:compileProdDebugKotlin,1513,1708,1498,1689,1748,2164,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1556,1366,1237,1303,3097,1549,ms
Task Path,:app:jacocoDemoDebug,1144,1159,1063,1115,1364,1440,ms
Task Path,:core:data:kspProdDebugKotlin,3397,3511,3272,3475,4000,4437,ms
Task Path,:app:mergeDemoDebugJavaResource,4538,4705,4429,4524,5389,5624,ms
Task Path,:app:dexBuilderDemoDebug,2709,2871,2613,2850,3324,3654,ms
Task Path,:core:data:compileProdDebugKotlin,3081,3494,2999,3221,3624,4694,ms
Task Path,:app:packageDemoDebug,4228,5229,3843,5197,5903,7148,ms
Task Path,:core:domain:compileProdDebugKotlin,1101,1052,800,876,2424,1774,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8696,9597,8685,9232,9818,11718,ms
Task Path,:sync:work:kspProdDebugKotlin,3930,4081,3907,4102,4443,4802,ms
Task Path,:core:ui:compileProdDebugKotlin,3569,3790,3443,3719,4427,4682,ms
Task Path,:sync:work:compileProdDebugKotlin,1509,1620,1530,1534,1798,1966,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3581,3877,3485,3743,4876,5478,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,2746,2997,2616,2861,3416,4056,ms
Task Path,:feature:interests:kspProdDebugKotlin,3630,3920,3516,3686,4664,5383,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4241,4711,4128,4524,5626,5785,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3048,3562,2857,3496,4060,4749,ms
Task Path,:feature:bookmarks:transformProdDebugClassesWithAsm,1097,1017,1285,1055,1854,1971,ms
Task Path,:feature:interests:compileProdDebugKotlin,3181,3452,3039,3232,4502,4582,ms
Task Path,:feature:settings:kspProdDebugKotlin,2686,2680,2548,2699,3293,3269,ms
Task Path,:feature:search:kspProdDebugKotlin,2970,3200,2873,2989,3758,4434,ms
Task Path,:feature:topic:kspProdDebugKotlin,2796,2823,2724,2723,3367,3623,ms
Task Path,:feature:settings:compileProdDebugKotlin,2456,2482,2355,2405,3002,2867,ms
Task Path,:feature:search:compileProdDebugKotlin,3632,3821,3621,3773,4212,4579,ms
Task Path,:feature:topic:compileProdDebugKotlin,2900,3116,2835,3116,3377,3624,ms
Task Path,:app:mergeExtDexProdDebug,24602,25429,24347,24922,27807,29854,ms
Task Path,:app:kspProdDebugKotlin,4268,4467,4234,4284,4844,5492,ms
Task Path,:app:mergeLibDexProdDebug,1320,1370,1306,1182,1726,1825,ms
Task Path,:app-nia-catalog:mergeDebugResources,2270,2298,2243,2190,2635,2928,ms
Task Path,:app-nia-catalog:processDebugResources,1052,1043,1020,961,1526,1511,ms
Task Path,:app:compileProdDebugKotlin,4903,5147,4851,4992,5690,6398,ms
Task Path,:app:compileProdDebugJavaWithJavac,1013,1124,983,1134,1405,1452,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3229,3437,3215,3273,3618,4320,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1700,1691,1675,1640,2062,2309,ms
Task Path,:app:hiltJavaCompileProdDebug,5436,5412,5394,5205,6077,6718,ms
Task Path,:core:data-test:kspProdDebugKotlin,2500,2597,2389,2501,3110,3056,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2554,2717,2457,2618,3091,3265,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1220,1250,1189,1245,1684,1574,ms
Task Path,:app:jacocoProdDebug,1265,1193,1298,1157,1609,1640,ms
Task Path,:app:mergeProdDebugJavaResource,3169,2903,3096,2816,4410,4381,ms
Task Path,:core:data-test:compileProdDebugKotlin,1112,1081,1087,1073,1454,1342,ms
Task Path,:app:dexBuilderProdDebug,1727,1651,1686,1548,2286,2239,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2070,2100,2008,2052,2438,2468,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,2017,2045,1986,1979,2414,2425,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17682,18380,17441,17525,18962,21910,ms
Task Path,:app:packageProdDebug,3012,2938,3030,3035,3395,3410,ms
Task Path,:app-nia-catalog:packageDebug,1831,2019,1807,1916,2130,2635,ms
Task Path,:lint:compileKotlin,1762,1867,1733,1722,2072,2441,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1267,1409,1270,1367,1442,1722,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1422,1586,1420,1565,1642,1819,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1721,1807,1655,1695,2052,2276,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1735,1772,1683,1694,2095,2177,ms
Task Path,:core:testing:kspDemoDebugKotlin,2550,2635,2499,2547,3023,3194,ms
Task Path,:core:testing:kspProdDebugKotlin,2398,2447,2334,2391,2768,2842,ms
Task Path,:core:testing:compileDemoDebugKotlin,1561,1579,1532,1489,1869,2046,ms
Task Path,:core:testing:compileProdDebugKotlin,1452,1527,1444,1507,1709,1890,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1489,1460,1435,1378,1809,1976,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1403,1387,1401,1288,1716,1915,ms
:app:compileDemoDebugKotlin,Update caches,15.96,16.14,15,16,27,27,ms
:app:compileDemoDebugKotlin,Start gradle worker,14.26,18.6,2,4,14,96,ms
:app:compileDemoDebugKotlin,Load current classpath snapshot,72.24,66.74,71,69,120,87,ms
:app:compileDemoDebugKotlin,Total Gradle task time,5862.12,5940.56,5760,5842,6564,6896,ms
:app:compileDemoDebugKotlin,Save shrunk current classpath snapshot,2.8,3.1,2,3,6,6,ms
:app:compileDemoDebugKotlin,Sources compilation round,5230.8,5292.44,5181,5223,5797,6155,ms
:app:compileDemoDebugKotlin,Compiler code generation,1345.4,1391.02,1321,1357,1689,1748,ms
:app:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,165.24,158.72,166,158,242,221,ms
:app:compileDemoDebugKotlin,Compiler IR generation,716.22,716.4,706,695,885,946,ms
:app:compileDemoDebugKotlin,Spent time before task action,43.28,46.74,42,46,54,62,ms
:app:compileDemoDebugKotlin,Connect to Kotlin daemon,16.9,11.66,12,11,18,18,ms
:app:compileDemoDebugKotlin,Run compilation,5563.7,5616.06,5470,5533,6187,6508,ms
:app:compileDemoDebugKotlin,Incremental compilation in daemon,5536.52,5586.94,5442,5491,6151,6472,ms
:app:compileDemoDebugKotlin,Task action before worker execution,29.0,37.56,30,31,37,45,ms
:app:compileDemoDebugKotlin,Compiler code analysis,2057.42,2063.8,2024,2025,2447,2454,ms
:app:compileDemoDebugKotlin,Calculate output size,2.2,2.54,1,1,5,5,ms
:app:compileDemoDebugKotlin,Compiler IR lowering,628.8,674.06,632,659,765,864,ms
:app:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,170.08,163.86,171,164,244,229,ms
:app:compileDemoDebugKotlin,Compiler IR translation,1694.28,1714.26,1646,1722,2001,1999,ms
:app:compileDemoDebugKotlin,Write history file,6.0,11.0,6,11,6,11,ms
:app:compileDemoDebugKotlin,Clear jar cache,3.64,3.41,3,2,6,7,ms
:app:compileDemoDebugKotlin,Compiler initialization time,124.52,115.1,112,109,184,154,ms
:app:compileDemoDebugKotlin,Run compilation in Gradle worker,5587.0,5634.26,5520,5550,6207,6524,ms
:app:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,99,98,99,99,99,99,
:app:compileDemoDebugKotlin,Number of lines for code generation,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:app:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:app:compileDemoDebugKotlin,Number of classpath entries,158,158,158,158,158,158,
:app:compileDemoDebugKotlin,Number of lines analyzed,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Size of shrunk classpath snapshot,142.9,142.9,143,143,143,143,KB
:app:compileDemoDebugKotlin,Compiler IR generation line number,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:app:compileDemoDebugKotlin,Analysis lines per second,671,672,674,674,761,785,
:app:compileDemoDebugKotlin,Total size of the cache directory,718.2,718.2,718,718,718,718,KB
:app:compileDemoDebugKotlin,Compiler IR translation line number,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Code generation lines per second,1037,1005,1032,1005,1244,1269,
:app:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,59,59,59,59,59,59,
:app:compileDemoDebugKotlin,Compiler IR lowering line number,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:app:compileDemoDebugKotlin,Size of classpath snapshot,11.0,11.0,11,11,11,11,MB
:app:compileDemoDebugKotlin,Store build info,2.8,5.4,2,5,6,12,ms
:app:compileDemoDebugKotlin,Clear output,1.0,2.0,1,2,1,2,ms
:app:compileDemoDebugKotlin,Clear outputs on rebuild,2.0,,2,,2,,ms
:app:compileProdDebugKotlin,Update caches,10.36,17.8,10,11,18,24,ms
:app:compileProdDebugKotlin,Start gradle worker,19.2,67.6,4,4,39,256,ms
:app:compileProdDebugKotlin,Store build info,5.0,2.0,5,2,5,2,ms
:app:compileProdDebugKotlin,Load current classpath snapshot,23.16,35.32,23,26,40,65,ms
:app:compileProdDebugKotlin,Total Gradle task time,4903.5,5147.92,4851,4992,5690,6398,ms
:app:compileProdDebugKotlin,Save shrunk current classpath snapshot,2.34,2.76,1,1,6,7,ms
:app:compileProdDebugKotlin,Sources compilation round,4311.16,4432.54,4244,4263,4848,5526,ms
:app:compileProdDebugKotlin,Compiler code generation,1089.6,1133.84,1059,1144,1391,1355,ms
:app:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,108.94,121.44,101,100,174,236,ms
:app:compileProdDebugKotlin,Compiler IR generation,552.56,577.6,538,578,805,758,ms
:app:compileProdDebugKotlin,Spent time before task action,31.66,32.74,30,30,44,48,ms
:app:compileProdDebugKotlin,Connect to Kotlin daemon,10.32,14.54,9,10,17,22,ms
:app:compileProdDebugKotlin,Run compilation,4604.96,4783.44,4584,4668,5194,5867,ms
:app:compileProdDebugKotlin,Incremental compilation in daemon,4559.76,4721.02,4542,4579,5155,5794,ms
:app:compileProdDebugKotlin,Task action before worker execution,43.92,41.46,30,29,44,66,ms
:app:compileProdDebugKotlin,Compiler code analysis,1699.64,1752.12,1690,1663,2024,2390,ms
:app:compileProdDebugKotlin,Calculate output size,2.5,2.4,1,1,5,4,ms
:app:compileProdDebugKotlin,Compiler IR lowering,536.58,555.74,527,554,712,711,ms
:app:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,113.38,125.92,105,105,184,245,ms
:app:compileProdDebugKotlin,Compiler IR translation,1397.76,1428.2,1405,1418,1665,1773,ms
:app:compileProdDebugKotlin,Compiler initialization time,115.0,110.5,108,107,160,146,ms
:app:compileProdDebugKotlin,Run compilation in Gradle worker,4621.42,4803.62,4602,4693,5209,5902,ms
:app:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,149,144,149,149,149,149,
:app:compileProdDebugKotlin,Number of lines for code generation,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:app:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:app:compileProdDebugKotlin,Number of classpath entries,158,158,158,158,158,158,
:app:compileProdDebugKotlin,Number of lines analyzed,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Size of shrunk classpath snapshot,142.9,142.9,143,143,143,143,KB
:app:compileProdDebugKotlin,Compiler IR generation line number,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:app:compileProdDebugKotlin,Analysis lines per second,818,811,807,820,995,1022,
:app:compileProdDebugKotlin,Total size of the cache directory,718.2,718.2,718,718,718,718,KB
:app:compileProdDebugKotlin,Compiler IR translation line number,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Code generation lines per second,1302,1242,1288,1193,1701,1504,
:app:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,9,13,9,9,9,49,
:app:compileProdDebugKotlin,Compiler IR lowering line number,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:app:compileProdDebugKotlin,Size of classpath snapshot,11.0,11.0,11,11,11,11,MB
:app:compileProdDebugKotlin,Clear jar cache,3.97,3.39,2,3,5,6,ms
:app:compileProdDebugKotlin,Clear outputs on rebuild,2.0,1.5,2,2,2,2,ms
:app-nia-catalog:compileDebugKotlin,Update caches,3.22,6.84,2,2,5,6,ms
:app-nia-catalog:compileDebugKotlin,Start gradle worker,18.64,8.58,5,4,28,30,ms
:app-nia-catalog:compileDebugKotlin,Load current classpath snapshot,11.24,12.44,12,12,17,19,ms
:app-nia-catalog:compileDebugKotlin,Total Gradle task time,3229.82,3437.44,3215,3273,3618,4320,ms
:app-nia-catalog:compileDebugKotlin,Sources compilation round,2721.84,2930.58,2680,2814,3165,3688,ms
:app-nia-catalog:compileDebugKotlin,Compiler code generation,652.46,678.1,623,637,837,931,ms
:app-nia-catalog:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,52.52,59.3,56,62,74,83,ms
:app-nia-catalog:compileDebugKotlin,Compiler IR generation,318.1,342.42,298,320,464,513,ms
:app-nia-catalog:compileDebugKotlin,Spent time before task action,44.6,47.84,42,37,63,72,ms
:app-nia-catalog:compileDebugKotlin,Connect to Kotlin daemon,22.1,23.66,15,12,29,25,ms
:app-nia-catalog:compileDebugKotlin,Run compilation,2948.66,3158.2,2938,3026,3396,4130,ms
:app-nia-catalog:compileDebugKotlin,Incremental compilation in daemon,2919.6,3121.26,2902,3007,3338,4006,ms
