Category,Metric,varianta_kotlin_2.1.21 Mean,variantb_kotlin_2.2.0 Mean,varianta_kotlin_2.1.21 P50,variantb_kotlin_2.2.0 P50,varianta_kotlin_2.1.21 P90,variantb_kotlin_2.2.0 P90,Unit
Task Path,:layer_0:module_0_20:kspDebugKotlin,3939,4147,3843,4160,4352,4680,ms
Task Path,:layer_0:module_0_22:kspDebugKotlin,3213,3372,3187,3323,3594,3773,ms
Task Path,:layer_0:module_0_23:kspDebugKotlin,3225,3390,3147,3300,3764,3837,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,3979,4016,3985,3932,4280,4457,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,3802,3915,3813,3893,4160,4229,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,3990,4070,3955,4036,4401,4429,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,3791,3797,3825,3792,4145,4149,ms
Task Path,:layer_0:module_0_24:kspDebugKotlin,3246,3261,3202,3168,3594,3779,ms
Task Path,:layer_0:module_0_26:kspDebugKotlin,3378,3392,3386,3331,3901,3864,ms
Task Path,:layer_0:module_0_25:kspDebugKotlin,3879,3792,3849,3639,4407,4411,ms
Task Path,:layer_0:module_0_27:kspDebugKotlin,3548,3522,3555,3469,4117,4072,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,3916,3922,3850,3870,4323,4410,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,3672,3695,3548,3705,4123,4049,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,3767,3770,3779,3748,4413,4094,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,3424,3406,3365,3389,3956,3773,ms
Task Path,:layer_0:module_0_28:kspDebugKotlin,3223,3331,3140,3362,3853,3917,ms
Task Path,:layer_0:module_0_29:kspDebugKotlin,3310,3309,3322,3349,3899,3811,ms
Task Path,:layer_0:module_0_3:kspDebugKotlin,3378,3348,3310,3392,3833,3879,ms
Task Path,:layer_0:module_0_30:kspDebugKotlin,4133,4103,4017,4108,4852,4639,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,3479,3364,3405,3345,3825,3721,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,3189,3168,3148,3117,3573,3633,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,3429,3372,3365,3361,3783,3947,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,2900,2889,2870,2897,3165,3234,ms
Task Path,:layer_0:module_0_31:kspDebugKotlin,2767,2793,2699,2762,3206,3178,ms
Task Path,:layer_0:module_0_33:kspDebugKotlin,3135,3109,3062,3104,3565,3559,ms
Task Path,:layer_0:module_0_32:kspDebugKotlin,3139,3146,3020,3107,3623,3551,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,3242,3271,3143,3194,3721,3741,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,3394,3482,3378,3504,3875,3945,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,3201,3279,3169,3318,3505,3660,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3191,3391,3208,3395,3691,3774,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,3137,3256,3074,3231,3647,3650,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3304,3218,3310,3152,3951,3721,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3133,3008,3171,2903,3732,3483,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3067,2983,3042,2844,3624,3633,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3160,3083,3150,2938,3680,3758,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2955,3058,2919,3011,3392,3466,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,2886,2995,2838,2964,3318,3423,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,3057,3088,3042,3045,3544,3444,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,3024,2960,2994,2930,3470,3247,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,2776,2690,2691,2637,3351,3124,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,3042,2966,2937,2950,3557,3425,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,3194,3098,3143,3180,3703,3381,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3740,3677,3704,3669,4310,4070,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,2920,2833,2898,2757,3507,3333,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2902,3048,2899,3022,3367,3634,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,3021,3120,3024,3176,3418,3605,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,2740,2908,2687,2960,3167,3328,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,2442,2549,2351,2473,2962,3316,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,2576,2837,2420,2759,3102,3391,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3014,3176,3002,3078,3566,3758,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3480,3631,3417,3589,4029,4170,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,2622,2672,2602,2671,3231,3235,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2540,2601,2511,2604,3071,2904,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,2728,2697,2689,2685,3199,3067,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2394,2528,2378,2494,2606,2819,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,2653,2860,2693,2975,3245,3425,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3256,3393,3313,3429,3858,3865,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,2961,3074,2886,3148,3539,3550,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,3043,3118,3063,3148,3543,3600,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2583,2635,2506,2583,3010,3073,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,2578,2581,2473,2518,3346,3094,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,2663,2768,2581,2710,3388,3256,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2665,2816,2578,2717,3240,3411,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,3023,3300,3015,3274,3784,3999,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,2998,2967,3048,2902,3625,3514,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2736,2744,2543,2648,3532,3395,ms
Task Path,:layer_1:module_1_47:kspDebugKotlin,3466,3494,3533,3422,3926,4156,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,2884,2988,2873,3034,3454,3524,ms
Task Path,:layer_1:module_1_47:compileDebugKotlin,3424,3513,3460,3495,4012,4298,ms
Task Path,:layer_1:module_1_48:kspDebugKotlin,3573,3697,3544,3544,4103,4518,ms
Task Path,:layer_1:module_1_49:kspDebugKotlin,3704,3875,3720,3806,4162,4467,ms
Task Path,:layer_1:module_1_51:kspDebugKotlin,3804,3826,3790,3879,4336,4255,ms
Task Path,:layer_1:module_1_50:kspDebugKotlin,4342,4436,4367,4433,4874,5134,ms
Task Path,:layer_1:module_1_48:compileDebugKotlin,3217,3251,3197,3302,3989,4023,ms
Task Path,:layer_1:module_1_49:compileDebugKotlin,3302,3231,3327,3290,3953,3690,ms
Task Path,:layer_1:module_1_51:compileDebugKotlin,3051,3032,3002,3087,3692,3783,ms
Task Path,:layer_1:module_1_50:compileDebugKotlin,3097,3068,3043,3148,3833,3629,ms
Task Path,:layer_1:module_1_52:kspDebugKotlin,4160,4076,4099,4083,4746,4692,ms
Task Path,:layer_1:module_1_53:kspDebugKotlin,3988,3874,4005,3768,4697,4688,ms
Task Path,:layer_1:module_1_54:kspDebugKotlin,3942,3880,3962,3874,4751,4656,ms
Task Path,:layer_1:module_1_55:kspDebugKotlin,4553,4264,4490,4280,5086,4732,ms
Task Path,:layer_1:module_1_52:compileDebugKotlin,3302,3247,3291,3255,4026,3846,ms
Task Path,:layer_1:module_1_53:compileDebugKotlin,3334,3296,3305,3240,3878,3965,ms
Task Path,:layer_1:module_1_54:compileDebugKotlin,3002,3193,2984,3170,3394,3960,ms
Task Path,:layer_1:module_1_55:compileDebugKotlin,3236,3289,3239,3258,3690,3929,ms
Task Path,:layer_1:module_1_56:kspDebugKotlin,4048,3995,4064,3924,4559,4585,ms
Task Path,:layer_1:module_1_56:compileDebugKotlin,3097,3121,3021,3167,3668,3661,ms
Task Path,:layer_1:module_1_57:kspDebugKotlin,3928,4070,3869,4027,4610,4900,ms
Task Path,:layer_1:module_1_58:kspDebugKotlin,3700,3759,3788,3817,4397,4341,ms
Task Path,:layer_1:module_1_59:kspDebugKotlin,3806,3855,3766,3890,4477,4309,ms
Task Path,:layer_1:module_1_57:compileDebugKotlin,3085,3077,3212,3110,3789,3583,ms
Task Path,:layer_1:module_1_58:compileDebugKotlin,3022,2938,2966,2878,3654,3483,ms
Task Path,:layer_1:module_1_59:compileDebugKotlin,2922,3054,2867,2967,3639,3658,ms
Task Path,:layer_1:module_1_60:kspDebugKotlin,4346,4353,4307,4348,5166,5153,ms
Task Path,:layer_1:module_1_60:compileDebugKotlin,2547,2673,2555,2587,3174,3281,ms
Task Path,:layer_1:module_1_61:kspDebugKotlin,3509,3578,3489,3606,4139,4280,ms
Task Path,:layer_1:module_1_62:kspDebugKotlin,3521,3580,3410,3599,4406,4432,ms
Task Path,:layer_1:module_1_63:kspDebugKotlin,3497,3525,3364,3434,4237,4330,ms
Task Path,:layer_1:module_1_61:compileDebugKotlin,2629,2783,2561,2801,3327,3457,ms
Task Path,:layer_1:module_1_62:compileDebugKotlin,2531,2746,2405,2683,3195,3416,ms
Task Path,:layer_1:module_1_63:compileDebugKotlin,2444,2651,2345,2603,3029,3325,ms
Task Path,:layer_1:module_1_64:kspDebugKotlin,3540,3523,3363,3533,4257,4288,ms
Task Path,:layer_1:module_1_64:compileDebugKotlin,2419,2505,2376,2484,2957,3040,ms
Task Path,:layer_1:module_1_66:kspDebugKotlin,3228,3164,3252,3110,3657,3724,ms
Task Path,:layer_1:module_1_65:kspDebugKotlin,3706,3618,3786,3603,4371,4372,ms
Task Path,:layer_1:module_1_67:kspDebugKotlin,3206,3074,3226,3065,3711,3716,ms
Task Path,:layer_1:module_1_68:kspDebugKotlin,3331,3238,3319,3247,3916,3996,ms
Task Path,:layer_1:module_1_67:compileDebugKotlin,2292,2351,2263,2342,2634,2691,ms
Task Path,:layer_1:module_1_65:compileDebugKotlin,2376,2564,2266,2483,2812,3283,ms
Task Path,:layer_1:module_1_66:compileDebugKotlin,2319,2451,2229,2374,2903,2902,ms
Task Path,:layer_1:module_1_68:compileDebugKotlin,2112,2344,2074,2294,2508,2814,ms
Task Path,:layer_1:module_1_69:kspDebugKotlin,2912,3071,2921,3002,3557,3563,ms
Task Path,:layer_1:module_1_70:kspDebugKotlin,3392,3548,3402,3492,4115,4186,ms
Task Path,:layer_1:module_1_71:kspDebugKotlin,3023,3197,2985,3218,3580,3712,ms
Task Path,:layer_1:module_1_72:kspDebugKotlin,3299,3230,3222,3184,3884,3943,ms
Task Path,:layer_1:module_1_69:compileDebugKotlin,2103,2331,2046,2316,2440,2927,ms
Task Path,:layer_1:module_1_70:compileDebugKotlin,2263,2305,2175,2231,2742,2832,ms
Task Path,:layer_1:module_1_71:compileDebugKotlin,2336,2342,2244,2252,2793,2924,ms
Task Path,:layer_1:module_1_72:compileDebugKotlin,2184,2221,2148,2204,2628,2615,ms
Task Path,:layer_1:module_1_73:kspDebugKotlin,2948,2921,2955,2869,3614,3773,ms
Task Path,:layer_1:module_1_74:kspDebugKotlin,3106,2959,3074,2928,3634,3678,ms
Task Path,:layer_1:module_1_75:kspDebugKotlin,3528,3336,3510,3275,4096,4023,ms
Task Path,:layer_1:module_1_76:kspDebugKotlin,3261,3139,3243,3137,3703,3814,ms
Task Path,:layer_1:module_1_73:compileDebugKotlin,2274,2316,2153,2229,2829,2904,ms
Task Path,:layer_1:module_1_74:compileDebugKotlin,2256,2307,2198,2281,2717,2735,ms
Task Path,:layer_1:module_1_75:compileDebugKotlin,2164,2225,2128,2155,2577,2635,ms
Task Path,:layer_1:module_1_76:compileDebugKotlin,2202,2212,2165,2213,2605,2723,ms
Task Path,:layer_1:module_1_77:kspDebugKotlin,2972,2926,2947,2903,3563,3523,ms
Task Path,:layer_1:module_1_78:kspDebugKotlin,2880,3093,2866,3029,3507,3725,ms
Task Path,:layer_1:module_1_79:kspDebugKotlin,2991,3117,2988,3138,3433,3595,ms
Task Path,:layer_1:module_1_80:kspDebugKotlin,3585,3594,3634,3608,4050,4265,ms
Task Path,:layer_1:module_1_77:compileDebugKotlin,2099,2391,1977,2300,2593,2955,ms
Task Path,:layer_1:module_1_78:compileDebugKotlin,2172,2264,2126,2226,2581,2777,ms
Task Path,:layer_1:module_1_79:compileDebugKotlin,2138,2229,2084,2146,2493,2701,ms
Task Path,:layer_1:module_1_80:compileDebugKotlin,2128,2202,2061,2140,2554,2657,ms
Task Path,:layer_1:module_1_81:kspDebugKotlin,2902,2860,2958,2813,3327,3420,ms
Task Path,:layer_1:module_1_82:kspDebugKotlin,2921,2921,2941,2921,3574,3453,ms
Task Path,:layer_1:module_1_83:kspDebugKotlin,2868,2907,2837,2821,3640,3567,ms
Task Path,:layer_1:module_1_84:kspDebugKotlin,3069,3038,3077,3078,3794,3634,ms
Task Path,:layer_1:module_1_81:compileDebugKotlin,1989,2055,1953,1969,2422,2378,ms
Task Path,:layer_1:module_1_82:compileDebugKotlin,2232,2248,2137,2220,2763,2611,ms
Task Path,:layer_1:module_1_83:compileDebugKotlin,2184,2092,2099,2109,2851,2420,ms
Task Path,:layer_1:module_1_84:compileDebugKotlin,2096,2077,2014,2048,2584,2394,ms
Task Path,:layer_1:module_1_85:kspDebugKotlin,3362,3163,3211,3164,4293,3751,ms
Task Path,:layer_1:module_1_87:kspDebugKotlin,2836,2884,2788,2890,3447,3357,ms
Task Path,:layer_1:module_1_86:kspDebugKotlin,2871,2899,2861,2848,3496,3409,ms
Task Path,:layer_1:module_1_88:kspDebugKotlin,3030,2855,3060,2829,3903,3480,ms
Task Path,:layer_1:module_1_85:compileDebugKotlin,2097,2163,2058,2120,2560,2741,ms
Task Path,:layer_1:module_1_87:compileDebugKotlin,2052,2060,1982,1998,2516,2530,ms
Task Path,:layer_1:module_1_86:compileDebugKotlin,2179,2295,2109,2226,2667,2821,ms
Task Path,:layer_1:module_1_88:compileDebugKotlin,1977,2030,1915,1951,2438,2563,ms
Task Path,:layer_1:module_1_89:kspDebugKotlin,2826,2852,2827,2710,3562,3645,ms
Task Path,:layer_1:module_1_89:compileDebugKotlin,2003,2040,1939,2009,2397,2571,ms
Task Path,:layer_1:module_1_90:kspDebugKotlin,3220,3154,3121,3029,4029,3765,ms
Task Path,:layer_1:module_1_91:kspDebugKotlin,2867,2841,2808,2764,3478,3391,ms
Task Path,:layer_1:module_1_92:kspDebugKotlin,3206,3092,3048,2976,4051,3938,ms
Task Path,:layer_1:module_1_90:compileDebugKotlin,2255,2247,2190,2152,2842,2936,ms
Task Path,:layer_1:module_1_91:compileDebugKotlin,2546,2556,2547,2552,3144,3325,ms
Task Path,:layer_1:module_1_92:compileDebugKotlin,2428,2577,2441,2544,2915,3254,ms
Task Path,:layer_2:module_2_100:kspDebugKotlin,4185,4371,4267,4307,4857,4997,ms
Task Path,:layer_2:module_2_101:kspDebugKotlin,3470,3524,3485,3516,4176,4096,ms
Task Path,:layer_2:module_2_102:kspDebugKotlin,3556,3508,3551,3542,4207,4063,ms
Task Path,:layer_2:module_2_103:kspDebugKotlin,3579,3525,3540,3525,4232,4098,ms
Task Path,:layer_2:module_2_100:compileDebugKotlin,2520,2603,2475,2608,3135,3207,ms
Task Path,:layer_2:module_2_101:compileDebugKotlin,2513,2541,2405,2473,3295,3225,ms
Task Path,:layer_2:module_2_102:compileDebugKotlin,2492,2654,2523,2573,3022,3438,ms
Task Path,:layer_2:module_2_103:compileDebugKotlin,2729,2753,2621,2795,3225,3176,ms
Task Path,:layer_2:module_2_104:kspDebugKotlin,3492,3665,3464,3829,4390,4298,ms
Task Path,:layer_2:module_2_106:kspDebugKotlin,3436,3552,3493,3551,4201,4365,ms
Task Path,:layer_2:module_2_105:kspDebugKotlin,3922,4074,3904,4088,4756,4757,ms
Task Path,:layer_2:module_2_107:kspDebugKotlin,3442,3508,3365,3500,3920,4244,ms
Task Path,:layer_2:module_2_104:compileDebugKotlin,2196,2212,2113,2119,2829,3082,ms
Task Path,:layer_2:module_2_106:compileDebugKotlin,2481,2521,2418,2455,3074,3108,ms
Task Path,:layer_2:module_2_105:compileDebugKotlin,2552,2618,2454,2655,3142,3196,ms
Task Path,:layer_2:module_2_107:compileDebugKotlin,2421,2424,2348,2321,3218,3035,ms
Task Path,:layer_2:module_2_108:kspDebugKotlin,2814,2717,2726,2634,3830,3254,ms
Task Path,:layer_2:module_2_109:kspDebugKotlin,2769,2550,2679,2487,3764,3107,ms
Task Path,:layer_2:module_2_111:kspDebugKotlin,2873,2780,2778,2707,3474,3238,ms
Task Path,:layer_2:module_2_110:kspDebugKotlin,3267,3200,3177,3177,3699,3583,ms
Task Path,:layer_2:module_2_108:compileDebugKotlin,1981,1929,1911,1905,2391,2245,ms
Task Path,:layer_2:module_2_109:compileDebugKotlin,2122,2150,1982,2119,2763,2478,ms
Task Path,:layer_2:module_2_111:compileDebugKotlin,2034,2054,1923,1953,2645,2698,ms
Task Path,:layer_2:module_2_110:compileDebugKotlin,2062,2136,1977,2044,2810,2693,ms
Task Path,:layer_2:module_2_112:kspDebugKotlin,2865,2789,2892,2830,3861,3566,ms
Task Path,:layer_2:module_2_112:compileDebugKotlin,1842,1956,1882,1929,2440,2446,ms
Task Path,:layer_2:module_2_113:kspDebugKotlin,2535,2486,2402,2535,3344,2916,ms
Task Path,:layer_2:module_2_114:kspDebugKotlin,2748,2709,2701,2630,3289,3122,ms
Task Path,:layer_2:module_2_115:kspDebugKotlin,3456,3396,3402,3356,4071,4032,ms
Task Path,:layer_2:module_2_113:compileDebugKotlin,2110,2141,2089,2101,2537,2576,ms
Task Path,:layer_2:module_2_114:compileDebugKotlin,2019,2108,1943,2000,2440,2547,ms
Task Path,:layer_2:module_2_115:compileDebugKotlin,1948,2092,1876,2015,2560,2561,ms
Task Path,:layer_2:module_2_116:kspDebugKotlin,3098,3030,3094,3118,3862,3627,ms
Task Path,:layer_2:module_2_116:compileDebugKotlin,2040,2070,2036,2033,2435,2523,ms
Task Path,:layer_2:module_2_117:kspDebugKotlin,2913,2822,2912,2778,3631,3464,ms
Task Path,:layer_2:module_2_118:kspDebugKotlin,2789,2757,2766,2707,3405,3293,ms
Task Path,:layer_2:module_2_119:kspDebugKotlin,2986,2913,2904,2885,3509,3295,ms
Task Path,:layer_2:module_2_117:compileDebugKotlin,2043,2183,2010,2163,2391,2547,ms
Task Path,:layer_2:module_2_118:compileDebugKotlin,2100,2112,2091,2064,2427,2585,ms
Task Path,:layer_2:module_2_119:compileDebugKotlin,2011,2038,1990,1972,2566,2447,ms
Task Path,:layer_2:module_2_120:kspDebugKotlin,3460,3265,3433,3197,4101,3891,ms
Task Path,:layer_2:module_2_121:kspDebugKotlin,2741,2712,2685,2642,3211,3384,ms
Task Path,:layer_2:module_2_120:compileDebugKotlin,1986,1941,2009,1856,2476,2539,ms
Task Path,:layer_2:module_2_122:kspDebugKotlin,2820,2773,2803,2694,3451,3250,ms
Task Path,:layer_2:module_2_123:kspDebugKotlin,3059,2924,2952,2875,3593,3353,ms
Task Path,:layer_2:module_2_121:compileDebugKotlin,2070,2119,2020,2041,2379,2577,ms
Task Path,:layer_2:module_2_122:compileDebugKotlin,2012,2025,2021,2033,2296,2365,ms
Task Path,:layer_2:module_2_123:compileDebugKotlin,1843,1914,1850,1889,2227,2357,ms
Task Path,:layer_2:module_2_124:kspDebugKotlin,2756,2826,2849,2704,3364,3506,ms
Task Path,:layer_2:module_2_125:kspDebugKotlin,3095,3150,2988,3088,3785,3638,ms
Task Path,:layer_2:module_2_124:compileDebugKotlin,1947,2011,1819,1988,2562,2486,ms
Task Path,:layer_2:module_2_127:kspDebugKotlin,2879,2841,2760,2807,3779,3360,ms
Task Path,:layer_2:module_2_126:kspDebugKotlin,2834,2865,2776,2823,3514,3359,ms
Task Path,:layer_2:module_2_125:compileDebugKotlin,2148,2162,2104,2068,2578,2578,ms
Task Path,:layer_2:module_2_127:compileDebugKotlin,1919,2001,1822,2001,2477,2310,ms
Task Path,:layer_2:module_2_126:compileDebugKotlin,2074,2085,2127,2060,2556,2549,ms
Task Path,:layer_2:module_2_128:kspDebugKotlin,2639,2866,2615,2758,3441,3389,ms
Task Path,:layer_2:module_2_129:kspDebugKotlin,2581,2622,2532,2475,3143,3198,ms
Task Path,:layer_2:module_2_128:compileDebugKotlin,1868,1954,1858,1994,2297,2494,ms
Task Path,:layer_2:module_2_131:kspDebugKotlin,2887,2846,2781,2757,3384,3478,ms
Task Path,:layer_2:module_2_130:kspDebugKotlin,3204,3187,3171,3072,3759,3753,ms
Task Path,:layer_2:module_2_129:compileDebugKotlin,2058,2037,1985,1951,2517,2457,ms
Task Path,:layer_2:module_2_131:compileDebugKotlin,2039,2099,2046,2043,2415,2576,ms
Task Path,:layer_2:module_2_130:compileDebugKotlin,2068,2060,2080,2054,2510,2463,ms
Task Path,:layer_2:module_2_132:kspDebugKotlin,2917,2871,3018,2769,3518,3663,ms
Task Path,:layer_2:module_2_133:kspDebugKotlin,3475,2557,2340,2467,3129,3326,ms
Task Path,:layer_2:module_2_132:compileDebugKotlin,1697,1833,1673,1810,2261,2329,ms
Task Path,:layer_2:module_2_133:compileDebugKotlin,2362,2194,2097,2081,2730,2801,ms
Task Path,:layer_2:module_2_134:kspDebugKotlin,3863,2872,2810,2883,3388,3357,ms
Task Path,:layer_2:module_2_135:kspDebugKotlin,3514,3345,3407,3268,3959,3894,ms
Task Path,:layer_2:module_2_134:compileDebugKotlin,2355,2251,2025,2177,2713,2801,ms
Task Path,:layer_2:module_2_136:kspDebugKotlin,3211,3071,3001,3025,3967,3640,ms
Task Path,:layer_2:module_2_135:compileDebugKotlin,2294,2102,1987,2028,2594,2648,ms
Task Path,:layer_2:module_2_137:kspDebugKotlin,2772,2642,2766,2625,3482,3497,ms
Task Path,:layer_2:module_2_137:compileDebugKotlin,1990,1966,1870,1914,2418,2438,ms
Task Path,:layer_2:module_2_136:compileDebugKotlin,2258,2000,1989,2009,2521,2412,ms
Task Path,:layer_2:module_2_93:kspDebugKotlin,2787,2841,2686,2729,3325,3347,ms
Task Path,:layer_2:module_2_138:kspDebugKotlin,2756,2766,2684,2650,3290,3429,ms
Task Path,:layer_2:module_2_93:compileDebugKotlin,2018,1958,1823,1922,2446,2537,ms
Task Path,:layer_2:module_2_138:compileDebugKotlin,2037,2011,1894,1976,2574,2501,ms
Task Path,:layer_2:module_2_94:kspDebugKotlin,2724,2749,2716,2746,3570,3556,ms
Task Path,:layer_2:module_2_95:kspDebugKotlin,2981,3051,2914,2963,3816,3738,ms
Task Path,:layer_2:module_2_95:compileDebugKotlin,1992,1971,1938,1954,2510,2441,ms
Task Path,:layer_2:module_2_94:compileDebugKotlin,1952,1979,1777,1920,2291,2413,ms
Task Path,:layer_2:module_2_96:kspDebugKotlin,2849,2927,2775,2902,3238,3521,ms
Task Path,:layer_2:module_2_97:kspDebugKotlin,2763,2796,2705,2714,3306,3326,ms
Task Path,:layer_2:module_2_97:compileDebugKotlin,2141,2023,1952,2004,2775,2563,ms
Task Path,:layer_2:module_2_96:compileDebugKotlin,2024,2028,1884,1951,2663,2424,ms
