Category,Metric,varianta_main_lint_with_memory Mean,variantb_main_lint Mean,varianta_main_lint_with_memory P50,variantb_main_lint P50,varianta_main_lint_with_memory P90,variantb_main_lint P90,Unit
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,484,197,34,110,1559,300,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,56,79,16,16,145,170,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,53,47,37,38,106,87,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,4046,4211,3539,3527,6409,6756,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1332,1550,1413,1531,2241,2452,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,15,17,8,10,30,34,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,80,80,7,8,380,360,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,131,132,137,134,164,166,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,39,39,37,40,60,51,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,167,177,133,143,346,353,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,28,28,22,23,44,43,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractProguardFiles,13,13,12,12,20,19,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,23,24,21,22,35,34,ms
Task Type,com.android.build.gradle.tasks.ZipMergingTask,15,14,14,13,23,23,ms
Task Type,com.android.build.gradle.internal.lint.LintModelWriterTask,96,101,45,54,246,249,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,12,12,9,9,20,20,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,16,15,14,13,26,23,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,5,4,4,3,10,9,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,2,2,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,9,9,8,8,15,16,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,6,6,5,6,12,12,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,35,36,27,26,63,60,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,6,6,6,6,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,6,5,5,10,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,29,33,20,20,37,42,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,54,52,44,45,99,96,ms
Task Type,com.android.build.gradle.tasks.BundleAar,15,15,14,14,25,24,ms
Task Type,com.android.build.gradle.internal.tasks.LintModelMetadataTask,8,9,8,9,14,16,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,2,5,3,5,5,15,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintAnalysisTask,6502,7040,4080,4658,14656,14712,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1159,1152,1228,1148,1336,1385,ms
Task Type,com.android.build.gradle.internal.feature.BundleAllClasses,69,65,62,56,119,116,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintTask,188,220,94,122,460,548,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintTextOutputTask,2,1,1,1,2,3,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintGlobalTask,0,0,0,0,0,1,ms
Task Path,:build-logic:convention:compileKotlin,12117,12486,12027,12082,12800,13958,ms
Task Path,:app:checkProdReleaseAarMetadata,1294,1123,1306,1064,1678,1594,ms
Task Path,:app:prodReleaseOssLicensesTask,1510,1617,1404,1534,2428,2293,ms
Task Path,:core:designsystem:packageProdReleaseResources,1317,1245,1264,1193,1909,1447,ms
Task Path,:app:parseProdReleaseLocalResources,1268,2426,1004,2062,4282,4845,ms
Task Path,:app:mergeProdReleaseResources,5705,5660,5697,5583,6207,6378,ms
Task Path,:core:common:kspKotlin,11453,11949,11439,11805,11950,13736,ms
Task Path,:app:processProdReleaseResources,2134,2278,2110,2265,2288,2552,ms
Task Path,:core:model:compileKotlin,13484,14205,13484,13972,13805,15875,ms
Task Path,:core:common:compileKotlin,2740,2891,2739,2893,3039,3283,ms
Task Path,:core:analytics:kspProdReleaseKotlin,5587,5893,5594,5788,5884,6352,ms
Task Path,:core:common:compileJava,1557,1603,1543,1597,1748,1893,ms
Task Path,:core:analytics:compileProdReleaseKotlin,2613,2774,2592,2803,3017,3190,ms
Task Path,:core:datastore-proto:compileProdReleaseKotlin,5266,5596,5255,5535,5476,6307,ms
Task Path,:core:analytics:compileProdReleaseJavaWithJavac,2620,2786,2670,2792,2902,2985,ms
Task Path,:core:network:kspProdReleaseKotlin,4262,4367,4280,4397,4553,4956,ms
Task Path,:core:datastore-proto:compileProdReleaseJavaWithJavac,3501,3728,3572,3681,3810,4468,ms
Task Path,:core:database:kspProdReleaseKotlin,10906,11448,10903,11515,11901,12188,ms
Task Path,:core:notifications:kspProdReleaseKotlin,3803,3815,3780,3753,4177,4590,ms
Task Path,:core:datastore:kspProdReleaseKotlin,3214,3291,3138,3216,3863,3760,ms
Task Path,:core:notifications:compileProdReleaseKotlin,2087,2045,2056,2041,2519,2240,ms
Task Path,:core:network:compileProdReleaseKotlin,6178,6449,6147,6244,6488,7409,ms
Task Path,:core:datastore:compileProdReleaseKotlin,4401,4399,4453,4328,4968,5061,ms
Task Path,:lint:compileKotlin,3865,4084,3779,4089,4635,4715,ms
Task Path,:core:datastore-test:kspProdReleaseKotlin,2801,2936,2787,2902,3051,3448,ms
Task Path,:core:datastore-test:compileProdReleaseKotlin,1232,1308,1219,1274,1555,1528,ms
Task Path,:core:database:compileProdReleaseKotlin,12663,13064,12643,12820,13260,14817,ms
Task Path,:core:data:kspProdReleaseKotlin,4284,4542,4232,4334,4894,5298,ms
Task Path,:core:designsystem:compileProdReleaseKotlin,18741,19914,18906,19629,20284,22661,ms
Task Path,:core:data:compileProdReleaseKotlin,5064,5385,5031,5344,5858,6182,ms
Task Path,:core:domain:compileProdReleaseKotlin,1259,1267,1229,1289,1522,1507,ms
Task Path,:core:ui:compileProdReleaseKotlin,6246,6716,6366,6735,6789,7795,ms
Task Path,:core:common:lintAnalyzeJvmMain,19885,21503,19907,21253,20977,23814,ms
Task Path,:sync:work:kspProdReleaseKotlin,6115,6503,6153,6611,6561,7141,ms
Task Path,:core:analytics:lintAnalyzeProdRelease,21161,22987,21243,22982,22964,25235,ms
Task Path,:feature:bookmarks:kspProdReleaseKotlin,4054,4426,3960,4513,4537,5304,ms
Task Path,:feature:interests:kspProdReleaseKotlin,3449,3464,3428,3467,4008,3727,ms
Task Path,:feature:foryou:kspProdReleaseKotlin,3887,4109,3819,4198,4564,4452,ms
Task Path,:feature:search:kspProdReleaseKotlin,3519,3427,3359,3353,4126,3979,ms
Task Path,:feature:bookmarks:compileProdReleaseKotlin,3774,3791,3725,3820,4441,4039,ms
Task Path,:feature:interests:compileProdReleaseKotlin,3394,3478,3367,3370,3761,4067,ms
Task Path,:feature:foryou:compileProdReleaseKotlin,5269,5295,5260,5152,5851,6163,ms
Task Path,:feature:settings:kspProdReleaseKotlin,3354,3282,3385,3265,3506,3877,ms
Task Path,:feature:search:compileProdReleaseKotlin,5204,5254,5176,5107,5723,5847,ms
Task Path,:feature:topic:kspProdReleaseKotlin,3405,3469,3428,3475,3654,3916,ms
Task Path,:sync:work:compileProdReleaseKotlin,2372,2440,2474,2458,2960,3085,ms
Task Path,:feature:settings:compileProdReleaseKotlin,3424,3364,3413,3304,3875,4266,ms
Task Path,:sync:sync-test:kspProdReleaseKotlin,2831,2788,2817,2757,3365,3420,ms
Task Path,:core:data-test:kspProdReleaseKotlin,3525,3420,3492,3379,4065,3942,ms
Task Path,:feature:topic:compileProdReleaseKotlin,4494,4703,4212,4719,5684,5400,ms
Task Path,:core:data-test:compileProdReleaseKotlin,1256,1433,1247,1377,1744,1965,ms
Task Path,:app:kspProdReleaseKotlin,5224,5474,5237,5399,5754,6167,ms
Task Path,:core:model:lintAnalyzeJvmMain,6995,7111,6983,7174,7634,7702,ms
Task Path,:app:compileProdReleaseKotlin,6835,7016,6901,7109,7471,8067,ms
Task Path,:core:datastore-proto:lintAnalyzeProdRelease,12438,12815,12610,12499,13600,14348,ms
Task Path,:core:database:lintAnalyzeProdRelease,7412,7773,7384,7867,8528,8807,ms
Task Path,:app:hiltAggregateDepsProdRelease,1159,1152,1228,1148,1336,1385,ms
Task Path,:core:datastore:lintAnalyzeProdRelease,5244,5394,5136,5579,6030,5935,ms
Task Path,:core:network:lintAnalyzeProdRelease,5404,5395,5379,5396,6393,5768,ms
Task Path,:app:hiltJavaCompileProdRelease,6097,6200,6094,6121,6745,6672,ms
Task Path,:core:notifications:lintAnalyzeProdRelease,3981,3779,3944,3701,4919,4803,ms
Task Path,:core:testing:kspProdReleaseKotlin,2498,2479,2383,2480,3385,2982,ms
Task Path,:core:testing:compileProdReleaseKotlin,2003,1945,2038,1862,2465,2701,ms
Task Path,:core:screenshot-testing:kspProdReleaseKotlin,1407,1599,1430,1556,1643,2206,ms
Task Path,:core:screenshot-testing:compileProdReleaseKotlin,1849,1834,1750,1779,2298,2129,ms
Task Path,:core:data:lintAnalyzeProdRelease,11157,11124,11018,11000,12033,12367,ms
Task Path,:app-nia-catalog:mergeReleaseResources,1697,2236,1586,2370,2329,2904,ms
Task Path,:app:lintAnalyzeProdReleaseUnitTest,13952,11071,14492,10629,16260,16301,ms
Task Path,:core:analytics:kspDemoReleaseKotlin,1618,2259,1519,2311,1956,2646,ms
Task Path,:core:domain:lintAnalyzeProdRelease,3301,2897,3239,2984,4082,3611,ms
Task Path,:core:common:lintAnalyzeJvmTest,3364,3022,3276,2936,4097,3764,ms
Task Path,:sync:work:lintAnalyzeProdRelease,6436,4934,6270,4853,7979,5849,ms
Task Path,:core:designsystem:lintAnalyzeProdRelease,44126,42928,44823,42049,45700,46939,ms
Task Path,:core:datastore:lintAnalyzeProdReleaseUnitTest,2662,2289,2756,2297,2955,2727,ms
Task Path,:core:designsystem:compileDemoReleaseKotlin,8250,8223,8319,8078,8970,9035,ms
Task Path,:core:ui:compileDemoReleaseKotlin,3537,3514,3528,3547,3979,3829,ms
Task Path,:app-nia-catalog:compileReleaseKotlin,3747,3614,3813,3575,4444,4289,ms
Task Path,:core:data:lintAnalyzeProdReleaseUnitTest,12156,9984,11932,9712,13759,11587,ms
Task Path,:core:domain:lintAnalyzeProdReleaseUnitTest,1515,1751,1371,1499,2126,3699,ms
Task Path,:core:screenshot-testing:kspDemoReleaseKotlin,1144,1210,1071,1157,1604,1599,ms
Task Path,:core:designsystem:lintAnalyzeProdReleaseUnitTest,9685,8334,9695,8333,10724,9185,ms
Task Path,:core:screenshot-testing:compileDemoReleaseKotlin,1644,1712,1635,1683,1943,1994,ms
Task Path,:core:model:lintAnalyzeJvmTest,2579,2400,2511,2343,3083,3138,ms
Task Path,:core:ui:lintAnalyzeProdRelease,13225,11950,13236,11854,14433,13338,ms
Task Path,:core:network:lintAnalyzeProdReleaseUnitTest,1438,2527,1367,2496,2140,3373,ms
Task Path,:feature:bookmarks:lintAnalyzeProdRelease,6867,10109,6614,10035,7812,10946,ms
Task Path,:feature:interests:lintAnalyzeProdRelease,6484,8705,6379,8622,7500,9786,ms
Task Path,:feature:foryou:lintAnalyzeProdRelease,8941,12827,8879,12798,9840,14628,ms
Task Path,:feature:settings:lintAnalyzeProdRelease,6388,8926,6248,9025,7181,9610,ms
Task Path,:feature:bookmarks:lintAnalyzeProdReleaseUnitTest,2744,2804,2644,2855,3612,3385,ms
Task Path,:feature:search:lintAnalyzeProdRelease,9004,12703,8974,12923,9540,13823,ms
Task Path,:feature:topic:lintAnalyzeProdRelease,7130,10933,6865,10986,8212,11995,ms
Task Path,:feature:interests:lintAnalyzeProdReleaseUnitTest,1995,2534,1787,2426,2914,3239,ms
Task Path,:feature:search:lintAnalyzeProdReleaseUnitTest,1661,2364,1665,2380,2014,2519,ms
Task Path,:feature:foryou:lintAnalyzeProdReleaseUnitTest,4725,5448,4632,5516,6727,6100,ms
Task Path,:feature:settings:lintAnalyzeProdReleaseUnitTest,1009,1444,967,1444,1242,1909,ms
Task Path,:feature:topic:lintAnalyzeProdReleaseUnitTest,1874,3067,1809,3063,2270,3771,ms
Task Path,:core:analytics:lintAnalyzeDemoRelease,1364,2789,1318,2885,1883,4562,ms
Task Path,:core:designsystem:lintAnalyzeDemoReleaseUnitTest,5029,6465,5076,6652,5554,7730,ms
Task Path,:lint:lintAnalyzeJvmMain,3138,5999,3178,5917,3497,7421,ms
Task Path,:lint:lintAnalyzeJvmTest,2175,4176,2200,4077,2392,5761,ms
Task Path,:core:designsystem:lintAnalyzeDemoRelease,14569,18087,14654,18181,15800,20197,ms
Task Path,:core:ui:lintAnalyzeDemoRelease,4135,4072,4169,3994,4483,4678,ms
Task Path,:app:lintAnalyzeProdRelease,18661,16673,19249,15709,21405,23996,ms
Task Path,:app-nia-catalog:lintAnalyzeRelease,3449,3575,3647,3603,3973,4034,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,10.35,10.14,10.18,9.82,11.25,11.33,Gb
Build process cpu,Max,95.6,95.4,96.0,95.5,96,96,%
Build processes memory,Max,5.18,5.2,5.18,5.18,5.21,5.25,Gb
Build child processes cpu,Max,91.0,90.5,91.0,91.0,94,93,%
Build child processes memory,Max,4.2,3.95,4.02,3.68,5.02,5.15,Gb
