Category,Metric,varianta_2.2.0 Mean,variantb_2.2.20-Beta2 Mean,varianta_2.2.0 P50,variantb_2.2.20-Beta2 P50,varianta_2.2.0 P90,variantb_2.2.20-Beta2 P90,Unit
Task Path,:core:checkout:compileDebugKotlin,5363,5606,5373,5609,6276,6309,ms
Task Path,:core:comment:kspDebugKotlin,5458,5598,5324,5541,6139,6520,ms
Task Path,:core:contact:kspDebugKotlin,4994,5151,4825,5089,5846,5700,ms
Task Path,:core:document:kspDebugKotlin,5472,5248,5390,5316,6246,5737,ms
Task Path,:core:event:kspDebugKotlin,5397,5294,5314,5245,6277,5892,ms
Task Path,:core:comment:compileDebugKotlin,7416,7664,7261,7388,8736,8618,ms
Task Path,:core:comment:compileDebugJavaWithJavac,1074,1032,1038,1039,1327,1275,ms
Task Path,:core:contact:compileDebugKotlin,4349,4221,4334,4333,5340,4769,ms
Task Path,:core:event:compileDebugKotlin,4006,4254,4109,4274,4346,4609,ms
Task Path,:core:document:compileDebugKotlin,6212,6549,6200,6499,6989,6970,ms
Task Path,:core:feed:kspDebugKotlin,4322,4316,4237,4238,4955,4639,ms
Task Path,:core:file:kspDebugKotlin,4292,4300,4177,4232,4808,4745,ms
Task Path,:core:feed:compileDebugKotlin,3707,3647,3845,3569,4372,4210,ms
Task Path,:core:forecast:kspDebugKotlin,5136,5183,5176,5074,5650,6193,ms
Task Path,:core:gallery:kspDebugKotlin,4260,4233,4192,4296,4934,4732,ms
Task Path,:core:file:compileDebugKotlin,4121,4270,4125,4253,4552,5255,ms
Task Path,:core:forecast:compileDebugKotlin,3934,4276,3883,4154,4727,5077,ms
Task Path,:core:group:kspDebugKotlin,4341,4454,4347,4512,5104,5238,ms
Task Path,:core:gallery:compileDebugKotlin,4629,4963,4473,5053,5800,5713,ms
Task Path,:core:group:compileDebugKotlin,3698,3733,3648,3526,4424,4861,ms
Task Path,:core:list:kspDebugKotlin,4049,4043,3997,3995,4750,4598,ms
Task Path,:core:identity:kspDebugKotlin,5215,5165,5237,5152,5974,6076,ms
Task Path,:core:location:kspDebugKotlin,4126,4163,4104,4026,4922,4717,ms
Task Path,:core:list:compileDebugKotlin,2869,2872,2837,2835,3649,3484,ms
Task Path,:core:log:kspDebugKotlin,4735,4780,4849,4790,5483,5398,ms
Task Path,:core:location:compileDebugKotlin,3949,3991,3904,3964,4370,4585,ms
Task Path,:core:identity:compileDebugKotlin,4732,5065,4743,4912,5728,5777,ms
Task Path,:core:login:kspDebugKotlin,4364,4383,4329,4352,5136,4859,ms
Task Path,:core:log:compileDebugKotlin,3089,3186,2997,3256,3726,3654,ms
Task Path,:core:map:kspDebugKotlin,4017,4095,3938,4196,4894,4424,ms
Task Path,:core:media:kspDebugKotlin,4122,4340,4052,4298,4770,5145,ms
Task Path,:core:login:compileDebugKotlin,3780,4178,3643,4102,4516,5127,ms
Task Path,:core:message:kspDebugKotlin,3591,3687,3566,3717,4069,4193,ms
Task Path,:core:map:compileDebugKotlin,3215,3323,3148,3078,3941,4139,ms
Task Path,:core:media:compileDebugKotlin,3954,4443,4020,4427,4415,5128,ms
Task Path,:core:message:compileDebugKotlin,2321,2673,2287,2581,2940,3289,ms
Task Path,:core:metric:kspDebugKotlin,4019,4404,4097,4330,4822,5134,ms
Task Path,:core:network:kspDebugKotlin,3943,4098,3936,3970,4638,4584,ms
Task Path,:core:metric:compileDebugKotlin,2511,2718,2469,2586,3057,3516,ms
Task Path,:core:news:kspDebugKotlin,3804,3824,3870,3871,4519,4649,ms
Task Path,:core:note:kspDebugKotlin,4109,4343,3982,4304,4949,5170,ms
Task Path,:core:network:compileDebugKotlin,2490,2650,2403,2483,2991,3256,ms
Task Path,:core:news:compileDebugKotlin,3172,3482,3072,3371,3885,4331,ms
Task Path,:core:notification:kspDebugKotlin,3956,4135,4092,3935,4355,5232,ms
Task Path,:core:note:compileDebugKotlin,2881,2852,2984,2644,3228,3902,ms
Task Path,:core:photo:kspDebugKotlin,4115,4382,4138,4222,4519,5399,ms
Task Path,:core:notification:compileDebugKotlin,3635,3842,3668,3777,4059,4808,ms
Task Path,:core:playlist:kspDebugKotlin,3494,3588,3382,3559,4034,4417,ms
Task Path,:core:podcast:kspDebugKotlin,3488,3642,3381,3529,4020,4514,ms
Task Path,:core:photo:compileDebugKotlin,2608,2747,2611,2641,3194,3630,ms
Task Path,:core:playlist:compileDebugKotlin,2147,2231,2133,2156,2541,2788,ms
Task Path,:core:podcast:compileDebugKotlin,2725,2875,2687,2874,3316,3844,ms
Task Path,:core:post:kspDebugKotlin,3575,3658,3559,3629,4107,4824,ms
Task Path,:core:profile:kspDebugKotlin,3673,4013,3714,3906,4350,4929,ms
Task Path,:core:push:kspDebugKotlin,3811,3829,3873,3723,4362,4334,ms
Task Path,:core:post:compileDebugKotlin,2945,2870,2959,2892,3401,3364,ms
Task Path,:core:profile:compileDebugKotlin,2490,2221,2530,2162,2804,2846,ms
Task Path,:core:push-contact:kspDebugKotlin,4189,4347,4322,4304,4739,4844,ms
Task Path,:core:push:compileDebugKotlin,3608,3393,3606,3273,4100,4218,ms
Task Path,:core:push-contact:compileDebugKotlin,2354,2241,2414,2143,2743,2844,ms
Task Path,:core:report:kspDebugKotlin,3588,3615,3585,3431,4129,4526,ms
Task Path,:core:search:kspDebugKotlin,3797,3774,3665,3747,4503,4539,ms
Task Path,:core:session:kspDebugKotlin,3370,3407,3282,3443,3840,3831,ms
Task Path,:core:report:compileDebugKotlin,1992,2029,1890,2019,2481,2434,ms
Task Path,:core:search:compileDebugKotlin,3097,3079,2942,3001,3814,3377,ms
Task Path,:core:setting:kspDebugKotlin,4238,4221,4234,4183,4925,4685,ms
Task Path,:core:session:compileDebugKotlin,2827,2762,2818,2715,3219,3242,ms
Task Path,:core:share:kspDebugKotlin,3477,3626,3487,3621,3828,4034,ms
Task Path,:core:setting:compileDebugKotlin,3560,3467,3474,3419,4248,4049,ms
Task Path,:core:status:kspDebugKotlin,3637,3730,3596,3668,4243,4165,ms
Task Path,:core:share:compileDebugKotlin,1817,1865,1644,1744,2247,2505,ms
Task Path,:core:sync:kspDebugKotlin,3968,4141,3840,4092,4717,4909,ms
Task Path,:core:sync:compileDebugKotlin,2001,2105,1952,2073,2445,2626,ms
Task Path,:core:status:compileDebugKotlin,3357,3386,3271,3279,4276,4285,ms
Task Path,:core:task:kspDebugKotlin,3617,3836,3611,3722,4156,4464,ms
Task Path,:core:timer:kspDebugKotlin,3522,3675,3575,3657,4025,4241,ms
Task Path,:core:timer:compileDebugKotlin,2176,2382,2054,2304,2840,3101,ms
Task Path,:core:task:compileDebugKotlin,2457,2483,2403,2474,2966,2967,ms
Task Path,:core:todo:kspDebugKotlin,3396,3532,3346,3505,4077,4153,ms
Task Path,:core:user:kspDebugKotlin,3245,3410,3205,3428,3864,4033,ms
Task Path,:core:todo:compileDebugKotlin,1864,1970,1722,1935,2448,2527,ms
Task Path,:core:user:compileDebugKotlin,2876,2864,2935,2816,3205,3465,ms
Task Path,:core:video:kspDebugKotlin,3408,3429,3362,3418,3847,3809,ms
Task Path,:core:weather:kspDebugKotlin,3576,3627,3619,3635,4106,4245,ms
Task Path,:core:video:compileDebugKotlin,1863,1860,1874,1817,2134,2557,ms
Task Path,:core:weather:compileDebugKotlin,3083,2845,3029,2790,3527,3411,ms
Task Path,:feature:cart-contact:kspDebugKotlin,3845,3674,3844,3714,4340,4324,ms
Task Path,:feature:user-contact:kspDebugKotlin,3557,3466,3496,3354,4149,4083,ms
Task Path,:feature:setting-contact:kspDebugKotlin,3710,3732,3722,3586,4340,4570,ms
Task Path,:feature:cart-contact:compileDebugKotlin,3012,3152,2976,3116,3720,3924,ms
Task Path,:feature:calendar-contact:kspDebugKotlin,3438,3606,3592,3601,4054,4498,ms
Task Path,:feature:file-contact:kspDebugKotlin,3503,3790,3440,3807,4233,4544,ms
Task Path,:feature:list-contact:kspDebugKotlin,3568,3770,3611,3755,4309,4550,ms
Task Path,:feature:calendar-contact:compileDebugKotlin,2438,2762,2384,2839,3113,3402,ms
Task Path,:feature:file-contact:compileDebugKotlin,2985,3123,3068,2935,3577,4250,ms
Task Path,:feature:network-contact:kspDebugKotlin,3580,3874,3607,3713,4226,5175,ms
Task Path,:feature:list-contact:compileDebugKotlin,3169,3462,3270,3328,3751,4861,ms
Task Path,:feature:user-contact:compileDebugKotlin,2406,2428,2285,2387,3141,2892,ms
Task Path,:feature:setting-contact:compileDebugKotlin,2940,3114,2826,3149,3627,3719,ms
Task Path,:feature:network-contact:compileDebugKotlin,3432,3782,3474,3690,3887,4401,ms
Task Path,:feature:account-contact:kspDebugKotlin,3491,3340,3506,3472,3993,3889,ms
Task Path,:feature:alarm-contact:kspDebugKotlin,3949,3818,4034,3752,4776,4300,ms
Task Path,:feature:account-contact:compileDebugKotlin,1949,1923,1963,1940,2356,2364,ms
Task Path,:domain:account-login:kspDebugKotlin,3239,3300,3329,3252,3613,3996,ms
Task Path,:feature:alarm-contact:compileDebugKotlin,2069,2227,2075,2163,2452,2984,ms
Task Path,:feature:analytics-contact:kspDebugKotlin,3270,3281,3245,3217,3919,3854,ms
Task Path,:domain:account-login:compileDebugKotlin,2506,2701,2293,2705,3675,3333,ms
Task Path,:feature:article-contact:kspDebugKotlin,3295,3584,3225,3567,4263,4521,ms
Task Path,:feature:analytics-contact:compileDebugKotlin,1965,2209,1918,2211,2382,3065,ms
Task Path,:feature:audio-contact:kspDebugKotlin,3255,3388,3247,3345,3822,3932,ms
Task Path,:feature:article-contact:compileDebugKotlin,2188,2109,2001,2081,2666,2690,ms
Task Path,:feature:comment-contact:kspDebugKotlin,3378,3303,3282,3284,3908,3890,ms
Task Path,:feature:audio-contact:compileDebugKotlin,2908,2801,2870,2704,3451,3342,ms
Task Path,:feature:contact-contact:kspDebugKotlin,3457,3360,3364,3364,4025,3834,ms
Task Path,:feature:document-contact:kspDebugKotlin,3423,3617,3378,3577,3935,4195,ms
Task Path,:feature:comment-contact:compileDebugKotlin,2962,2971,2856,2929,3526,3524,ms
Task Path,:feature:contact-contact:compileDebugKotlin,2778,2853,2765,2902,3353,3559,ms
Task Path,:feature:event-contact:kspDebugKotlin,2906,2989,2860,2882,3382,3618,ms
Task Path,:feature:document-contact:compileDebugKotlin,2699,2498,2606,2498,3330,2991,ms
Task Path,:feature:event-contact:compileDebugKotlin,1780,1812,1803,1733,2076,2199,ms
Task Path,:feature:feed-contact:kspDebugKotlin,3144,3241,3109,3175,3705,3676,ms
Task Path,:feature:forecast-contact:kspDebugKotlin,2939,3049,2874,3036,3530,3418,ms
Task Path,:feature:gallery-contact:kspDebugKotlin,3590,3859,3530,3810,4263,4342,ms
Task Path,:feature:feed-contact:compileDebugKotlin,2532,2670,2412,2611,3069,3240,ms
Task Path,:feature:forecast-contact:compileDebugKotlin,2040,2076,1933,2064,2585,2426,ms
Task Path,:feature:group-contact:kspDebugKotlin,3272,3549,3266,3641,3717,4171,ms
Task Path,:feature:gallery-contact:compileDebugKotlin,2619,2556,2714,2546,3111,3158,ms
Task Path,:feature:group-contact:compileDebugKotlin,3149,2906,3138,2721,3748,3854,ms
Task Path,:feature:identity-contact:kspDebugKotlin,3507,3349,3543,3314,4373,3959,ms
Task Path,:feature:location-contact:kspDebugKotlin,3626,3459,3594,3289,4368,4538,ms
Task Path,:feature:log-contact:kspDebugKotlin,3272,3334,3206,3248,3716,4111,ms
Task Path,:feature:identity-contact:compileDebugKotlin,2763,2707,2674,2503,3407,4059,ms
Task Path,:feature:login-contact:kspDebugKotlin,3360,3267,3348,3169,3862,4303,ms
Task Path,:feature:location-contact:compileDebugKotlin,3089,2979,2792,2948,3930,3752,ms
Task Path,:feature:log-contact:compileDebugKotlin,2105,1962,2071,1862,2562,2490,ms
Task Path,:feature:login-contact:compileDebugKotlin,2199,2159,2021,2129,2873,2532,ms
Task Path,:feature:map-contact:kspDebugKotlin,3234,3121,3230,3033,3804,3698,ms
Task Path,:feature:media-contact:kspDebugKotlin,3236,3213,3230,3195,3879,3710,ms
Task Path,:feature:metric-contact:kspDebugKotlin,3368,3379,3423,3286,3883,4148,ms
Task Path,:feature:map-contact:compileDebugKotlin,2775,2609,2555,2512,3561,3274,ms
Task Path,:feature:news-contact:kspDebugKotlin,3394,3578,3371,3608,4201,4276,ms
Task Path,:feature:media-contact:compileDebugKotlin,2355,2183,2330,2161,2956,2872,ms
Task Path,:feature:metric-contact:compileDebugKotlin,2503,2497,2401,2356,3079,2990,ms
Task Path,:feature:news-contact:compileDebugKotlin,1764,1692,1630,1719,2245,1991,ms
Task Path,:feature:note-contact:kspDebugKotlin,3310,3345,3260,3397,3832,3909,ms
Task Path,:feature:playlist-contact:kspDebugKotlin,3035,3123,2959,3138,3681,3653,ms
Task Path,:feature:notification-contact:kspDebugKotlin,3306,3405,3232,3364,3741,4084,ms
Task Path,:feature:podcast-contact:kspDebugKotlin,3114,3221,3124,3220,3360,3934,ms
Task Path,:feature:note-contact:compileDebugKotlin,2594,2611,2522,2571,3029,3088,ms
Task Path,:feature:playlist-contact:compileDebugKotlin,2294,2366,2254,2269,2621,2693,ms
Task Path,:feature:notification-contact:compileDebugKotlin,2511,2548,2503,2515,2855,2938,ms
Task Path,:feature:podcast-contact:compileDebugKotlin,1768,1780,1731,1854,2292,2149,ms
Task Path,:feature:post-contact:kspDebugKotlin,2997,2886,3069,2909,3712,3316,ms
Task Path,:feature:profile-contact:kspDebugKotlin,3087,2923,3107,2992,3847,3375,ms
Task Path,:feature:push-login:kspDebugKotlin,2879,2796,2861,2769,3420,3232,ms
Task Path,:feature:report-contact:kspDebugKotlin,2948,2933,2858,2943,3611,3366,ms
Task Path,:feature:post-contact:compileDebugKotlin,1619,1519,1574,1534,1890,1721,ms
Task Path,:feature:push-login:compileDebugKotlin,1993,1962,1916,1865,2418,2466,ms
Task Path,:feature:profile-contact:compileDebugKotlin,2388,2368,2313,2337,2819,2766,ms
Task Path,:feature:report-contact:compileDebugKotlin,1820,1918,1799,1907,2206,2375,ms
Task Path,:feature:search-contact:kspDebugKotlin,2671,2837,2698,3014,3292,3360,ms
Task Path,:feature:status-contact:kspDebugKotlin,2655,2598,2630,2578,3169,2937,ms
Task Path,:feature:search-contact:compileDebugKotlin,2313,2199,2266,2188,2858,2514,ms
Task Path,:feature:share-contact:kspDebugKotlin,2966,3048,2876,3061,3542,3544,ms
Task Path,:feature:sync-contact:kspDebugKotlin,2816,2811,2713,2744,3264,3561,ms
Task Path,:feature:status-contact:compileDebugKotlin,1660,1571,1637,1537,2066,2079,ms
Task Path,:feature:sync-contact:compileDebugKotlin,1486,1404,1406,1377,1904,1800,ms
Task Path,:feature:share-contact:compileDebugKotlin,1613,1670,1621,1635,1848,2134,ms
Task Path,:feature:task-contact:kspDebugKotlin,2567,2685,2588,2613,3245,3312,ms
Task Path,:feature:timer-contact:kspDebugKotlin,2827,2708,2830,2679,3310,3266,ms
Task Path,:feature:task-contact:compileDebugKotlin,2643,2595,2602,2455,3461,3389,ms
Task Path,:feature:todo-contact:kspDebugKotlin,2816,2788,2686,2719,3679,3323,ms
Task Path,:feature:video-contact:kspDebugKotlin,2903,3024,2940,2851,3549,3863,ms
Task Path,:feature:timer-contact:compileDebugKotlin,2626,2676,2479,2659,3236,3297,ms
Task Path,:feature:todo-contact:compileDebugKotlin,1622,1662,1592,1599,1937,2173,ms
Task Path,:feature:video-contact:compileDebugKotlin,2250,2145,2172,2113,2923,2848,ms
Task Path,:feature:weather-contact:kspDebugKotlin,2934,2989,2924,2938,3568,3793,ms
Task Path,:feature:weather-contact:compileDebugKotlin,1813,1857,1794,1887,2360,2393,ms
Task Path,:feature:checkout-contact:kspDebugKotlin,2939,2982,2919,2910,3342,3616,ms
Task Path,:feature:contact-login:kspDebugKotlin,3670,3790,3581,3671,4671,4577,ms
Task Path,:feature:message-contact:kspDebugKotlin,3209,3170,3227,3150,4146,3687,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,1644,1565,1695,1675,2224,1828,ms
Task Path,:domain:alarm-login:kspDebugKotlin,3430,3444,3329,3427,4025,4121,ms
Task Path,:feature:contact-login:compileDebugKotlin,1841,1722,1670,1542,2548,2331,ms
Task Path,:feature:message-contact:compileDebugKotlin,2097,1941,2087,1775,2742,2710,ms
Task Path,:feature:photo-contact:kspDebugKotlin,3098,2997,3045,2902,4014,3646,ms
Task Path,:domain:alarm-login:compileDebugKotlin,2966,2833,2969,2714,3647,3479,ms
Task Path,:feature:photo-contact:compileDebugKotlin,1698,1742,1759,1772,2031,2114,ms
Task Path,:feature:session-contact:kspDebugKotlin,3149,3138,3089,3014,3612,3606,ms
Task Path,:domain:calendar-login:kspDebugKotlin,3111,3097,3098,3104,3571,3665,ms
Task Path,:feature:session-contact:compileDebugKotlin,1797,1776,1787,1847,2251,2068,ms
Task Path,:domain:checkout-login:kspDebugKotlin,3218,3285,3099,3170,4213,4159,ms
Task Path,:domain:calendar-login:compileDebugKotlin,2551,2535,2458,2433,3102,3066,ms
Task Path,:domain:comment-login:kspDebugKotlin,3188,3169,3034,3108,3856,3803,ms
Task Path,:domain:checkout-login:compileDebugKotlin,2663,2684,2567,2596,3380,3284,ms
Task Path,:domain:analytics-login:kspDebugKotlin,2801,2962,2898,2966,3276,3696,ms
Task Path,:domain:article-login:kspDebugKotlin,3132,3237,3187,3081,3568,4206,ms
Task Path,:domain:audio-login:kspDebugKotlin,2894,2997,2844,2901,3460,3952,ms
Task Path,:domain:analytics-login:compileDebugKotlin,1843,1828,1745,1745,2299,2403,ms
Task Path,:domain:cart-login:kspDebugKotlin,2894,3084,2823,2902,3427,3919,ms
Task Path,:domain:article-login:compileDebugKotlin,1588,1605,1517,1582,1997,1998,ms
Task Path,:domain:audio-login:compileDebugKotlin,2041,2033,2029,2003,2425,2467,ms
Task Path,:domain:cart-login:compileDebugKotlin,1905,1915,1877,1841,2399,2255,ms
Task Path,:domain:comment-login:compileDebugKotlin,2643,2696,2542,2620,3350,3254,ms
Task Path,:domain:contact-identity:kspDebugKotlin,2878,2972,2909,2828,3409,3815,ms
Task Path,:domain:document-login:kspDebugKotlin,2926,2981,2995,2736,3657,3865,ms
Task Path,:domain:event-login:kspDebugKotlin,3188,2892,3205,2804,3891,3647,ms
Task Path,:domain:contact-identity:compileDebugKotlin,1750,1764,1829,1647,2252,2463,ms
Task Path,:domain:feed-login:kspDebugKotlin,2934,2704,3033,2744,3590,3436,ms
Task Path,:domain:document-login:compileDebugKotlin,1698,1579,1636,1587,2022,1809,ms
Task Path,:domain:event-login:compileDebugKotlin,2512,2233,2400,2318,3231,2574,ms
Task Path,:domain:feed-login:compileDebugKotlin,2394,2066,2436,1987,3091,2482,ms
Task Path,:domain:file-login:kspDebugKotlin,3251,2953,3165,2955,4026,3427,ms
Task Path,:domain:forecast-login:kspDebugKotlin,3118,2884,3045,2756,3822,3497,ms
Task Path,:domain:gallery-login:kspDebugKotlin,2944,2957,2978,2936,3735,3398,ms
Task Path,:domain:file-login:compileDebugKotlin,2623,2382,2538,2334,3367,2974,ms
Task Path,:domain:gallery-login:compileDebugKotlin,1726,1565,1646,1582,2364,1904,ms
Task Path,:domain:forecast-login:compileDebugKotlin,2441,2278,2276,2192,3486,2797,ms
Task Path,:domain:group-login:kspDebugKotlin,3648,3582,3691,3615,4597,4229,ms
Task Path,:domain:group-login:compileDebugKotlin,2125,2162,2077,2035,2489,2946,ms
Task Path,:domain:identity-login:kspDebugKotlin,2888,2845,2879,2743,3432,3442,ms
Task Path,:domain:location-login:kspDebugKotlin,2900,2908,2771,2801,3583,3395,ms
Task Path,:domain:list-login:kspDebugKotlin,3127,3090,3073,3013,3600,3535,ms
Task Path,:domain:identity-login:compileDebugKotlin,1997,1862,1909,1858,2448,2160,ms
Task Path,:domain:list-login:compileDebugKotlin,1521,1375,1482,1392,2074,1618,ms
Task Path,:domain:log-login:kspDebugKotlin,2815,2730,2741,2681,3880,3319,ms
Task Path,:domain:location-login:compileDebugKotlin,2312,2171,2185,2098,3248,2964,ms
Task Path,:domain:log-login:compileDebugKotlin,1787,1705,1680,1666,2235,2264,ms
Task Path,:domain:login-login:kspDebugKotlin,2589,2602,2515,2558,3216,3321,ms
Task Path,:domain:login-identity:kspDebugKotlin,2992,3051,2993,3024,3768,3949,ms
Task Path,:domain:map-login:kspDebugKotlin,2563,2634,2384,2502,3232,3343,ms
Task Path,:domain:login-login:compileDebugKotlin,1530,1529,1430,1496,1972,1952,ms
Task Path,:domain:login-identity:compileDebugKotlin,1520,1528,1489,1472,2043,2011,ms
Task Path,:domain:map-login:compileDebugKotlin,1504,1546,1434,1584,1995,1933,ms
Task Path,:domain:media-login:kspDebugKotlin,2967,3046,3049,2999,3407,3556,ms
Task Path,:domain:media-login:compileDebugKotlin,2059,1966,1955,2059,3095,2497,ms
Task Path,:domain:message-login:kspDebugKotlin,2633,2710,2651,2663,3392,3237,ms
Task Path,:domain:network-login:kspDebugKotlin,2968,2848,2921,2842,3976,3359,ms
Task Path,:domain:metric-login:kspDebugKotlin,3243,3257,3254,3240,4044,3747,ms
Task Path,:domain:message-login:compileDebugKotlin,1950,1774,1838,1759,2557,2043,ms
Task Path,:domain:network-login:compileDebugKotlin,1677,1600,1616,1518,2370,1963,ms
Task Path,:domain:news-login:kspDebugKotlin,2548,2629,2418,2552,3234,3052,ms
Task Path,:domain:metric-login:compileDebugKotlin,2132,1982,2065,1857,2911,2495,ms
Task Path,:domain:news-login:compileDebugKotlin,1485,1355,1432,1326,1956,1698,ms
Task Path,:domain:note-login:kspDebugKotlin,2581,2473,2366,2399,3479,3161,ms
Task Path,:domain:notification-login:kspDebugKotlin,2748,2694,2550,2587,3551,3318,ms
Task Path,:domain:note-login:compileDebugKotlin,1777,1582,1767,1541,2128,1936,ms
Task Path,:domain:photo-login:kspDebugKotlin,2803,2642,2745,2484,3468,3236,ms
Task Path,:domain:notification-login:compileDebugKotlin,2041,1872,1957,1781,2559,2479,ms
Task Path,:domain:playlist-login:kspDebugKotlin,2767,2646,2727,2580,3393,3398,ms
Task Path,:domain:photo-login:compileDebugKotlin,2175,1880,2171,1792,2793,2491,ms
Task Path,:domain:playlist-login:compileDebugKotlin,1804,1558,1690,1542,2404,1838,ms
Task Path,:domain:podcast-login:kspDebugKotlin,2817,2716,2720,2548,3371,3396,ms
Task Path,:domain:post-login:kspDebugKotlin,2784,2566,2667,2420,3591,3158,ms
Task Path,:domain:podcast-login:compileDebugKotlin,1957,1828,1908,1748,2510,2557,ms
Task Path,:domain:post-login:compileDebugKotlin,1723,1699,1693,1670,2231,2007,ms
Task Path,:domain:profile-login:kspDebugKotlin,2828,2777,2798,2690,3584,3464,ms
Task Path,:domain:push-identity:kspDebugKotlin,2707,2746,2615,2664,3236,3456,ms
Task Path,:domain:push-identity:compileDebugKotlin,1472,1492,1449,1413,1743,1898,ms
Task Path,:domain:profile-login:compileDebugKotlin,2088,2202,2055,2243,2487,2598,ms
Task Path,:domain:report-login:kspDebugKotlin,2697,2761,2722,2811,3239,3116,ms
Task Path,:domain:search-login:kspDebugKotlin,3327,3152,3295,3159,3995,3680,ms
Task Path,:domain:report-login:compileDebugKotlin,1755,1686,1654,1694,2144,2009,ms
Task Path,:domain:session-login:kspDebugKotlin,3018,2976,2950,2833,3716,3839,ms
Task Path,:domain:setting-login:kspDebugKotlin,2685,2646,2726,2514,3425,3381,ms
Task Path,:domain:search-login:compileDebugKotlin,2469,2380,2228,2272,3566,3454,ms
Task Path,:domain:session-login:compileDebugKotlin,1515,1559,1481,1529,1907,2108,ms
Task Path,:domain:setting-login:compileDebugKotlin,1700,1786,1636,1753,2296,2406,ms
Task Path,:domain:share-login:kspDebugKotlin,2712,2808,2575,2691,3758,3906,ms
Task Path,:domain:status-login:kspDebugKotlin,2708,2637,2593,2523,3487,3998,ms
Task Path,:domain:share-login:compileDebugKotlin,1882,1702,1834,1623,2272,2125,ms
Task Path,:domain:sync-login:kspDebugKotlin,2785,2814,2638,2546,3396,3737,ms
Task Path,:domain:task-login:kspDebugKotlin,2824,2870,2747,2704,3361,3848,ms
Task Path,:domain:status-login:compileDebugKotlin,2229,2242,2186,2184,2787,2743,ms
Task Path,:domain:sync-login:compileDebugKotlin,2284,2138,2301,2104,2746,2516,ms
Task Path,:domain:task-login:compileDebugKotlin,2286,2070,2287,1962,2814,2508,ms
Task Path,:domain:timer-login:kspDebugKotlin,3354,3298,3416,3199,3812,4255,ms
Task Path,:domain:todo-login:kspDebugKotlin,2788,2710,2795,2621,3419,3249,ms
Task Path,:domain:timer-login:compileDebugKotlin,2373,2092,2365,2036,2923,2419,ms
Task Path,:domain:todo-login:compileDebugKotlin,1763,1755,1684,1703,2178,2043,ms
Task Path,:domain:user-login:kspDebugKotlin,3095,2986,2996,2849,3983,3534,ms
Task Path,:domain:video-login:kspDebugKotlin,2962,2788,2812,2651,3979,3290,ms
Task Path,:domain:user-login:compileDebugKotlin,1822,1677,1775,1602,2188,2108,ms
