Category,Metric,varianta_main Mean,variantb_agp_8_10_1 Mean,varianta_main P50,variantb_agp_8_10_1 P50,varianta_main P90,variantb_agp_8_10_1 P90,Unit
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,13,9,10,19,22,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,67,67,8,8,315,294,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,98,110,94,120,160,192,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3898,4049,3422,3561,6457,6389,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,7,2,2,9,10,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractNativeDebugMetadataTask,33,33,12,13,76,78,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,2,3,9,10,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,240,281,121,126,381,819,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,27,29,22,22,42,41,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,29,32,29,31,46,48,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,8,8,7,7,14,14,ms
Task Type,com.android.build.gradle.internal.tasks.ExportConsumerProguardFilesTask,10,10,8,9,17,17,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,310,341,128,142,793,870,ms
Task Type,org.jetbrains.kotlin.gradle.tooling.BuildKotlinToolingMetadataTask$FromKotlinExtension,65,74,78,71,147,157,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,45,51,9,11,20,26,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,149,157,61,69,401,396,ms
Task Type,com.android.build.gradle.internal.tasks.PerModuleReportDependenciesTask,350,306,360,295,489,438,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,6,5,4,4,14,11,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,348,349,373,375,551,538,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,37,40,33,35,81,71,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,21,22,21,20,37,37,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,15,14,11,10,31,28,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,8,9,7,7,15,16,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,32,35,24,26,48,53,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,70,67,11,11,57,73,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,1310,1410,1331,1433,1837,1908,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,40,45,19,23,45,52,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,552,544,386,359,1177,1156,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,85,85,16,17,234,246,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,75,57,27,30,322,92,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractProguardFiles,12,12,11,12,19,20,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,23,26,21,22,33,36,ms
Task Type,com.android.build.gradle.internal.tasks.MergeStartupProfileTask,6,8,6,6,12,16,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,53,84,14,15,85,82,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractVersionControlInfoTask,88,89,12,15,277,272,ms
Task Type,com.android.build.gradle.tasks.ZipMergingTask,15,15,13,13,24,24,ms
Task Type,com.android.build.gradle.internal.lint.LintModelWriterTask,78,80,39,39,172,165,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,41,64,8,9,22,64,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1767,1700,1531,1552,2469,2374,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,31,33,26,27,48,52,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,6,7,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,186,185,19,20,94,84,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,51,53,41,43,90,92,ms
Task Type,com.android.build.gradle.tasks.BundleAar,20,23,17,18,31,37,ms
Task Type,com.android.build.gradle.internal.tasks.LintModelMetadataTask,8,8,7,7,14,14,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintAnalysisTask,4651,4695,2882,3015,11063,11024,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,743,764,641,629,1465,1447,ms
Task Type,com.android.build.gradle.internal.tasks.SdkDependencyDataGeneratorTask,141,154,62,72,347,369,ms
Task Type,com.android.build.gradle.internal.tasks.OptimizeResourcesTask,839,911,519,519,1606,1598,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,8,6,7,14,14,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,24,22,8,10,60,53,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,756,774,11,12,2556,2514,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintTask,1162,1154,367,362,3877,4479,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintTextOutputTask,9,13,9,10,19,20,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,33,37,30,35,38,48,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2020,2540,1875,2398,2899,3758,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,1974,2020,1849,2185,2213,2461,ms
Task Type,com.android.build.gradle.tasks.VerifyLibraryResourcesTask,1119,1358,970,1183,2123,2551,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,22200,30196,21150,29118,28322,36164,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,22621,25816,14954,17551,45859,53784,ms
Task Type,com.android.build.gradle.internal.tasks.CompileArtProfileTask,779,754,201,208,2257,2038,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1539,1446,557,611,4107,3463,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,4,4,3,3,10,9,ms
Task Type,com.android.build.gradle.internal.tasks.R8Task,178689,179211,181689,184094,269306,272275,ms
Task Path,:build-logic:convention:compileKotlin,12277,12354,12091,12185,13213,13307,ms
Task Path,:app:mergeDemoReleaseArtProfile,2343,2188,2130,1912,3491,3230,ms
Task Path,:core:analytics:parseDemoReleaseLocalResources,2376,2219,2169,1943,3546,3247,ms
Task Path,:app:expandDemoReleaseL8ArtProfileWildcards,2219,2194,2224,2239,2470,2432,ms
Task Path,:core:analytics:kspDemoReleaseKotlin,5465,5640,5421,5699,6781,6580,ms
Task Path,:core:common:kspKotlin,8426,8388,8356,8369,9142,8850,ms
Task Path,:core:common:compileKotlin,2484,2505,2514,2516,2701,2732,ms
Task Path,:core:model:compileKotlin,10862,10904,10872,10851,11423,11604,ms
Task Path,:core:analytics:compileDemoReleaseKotlin,2654,2669,2705,2660,2890,2938,ms
Task Path,:core:datastore-proto:compileDemoReleaseKotlin,5657,5629,5579,5564,6305,6293,ms
Task Path,:core:common:compileJava,1547,1459,1581,1439,1774,1678,ms
Task Path,:core:analytics:compileDemoReleaseJavaWithJavac,2171,2038,2118,1979,2605,2323,ms
Task Path,:core:datastore-proto:compileDemoReleaseJavaWithJavac,1737,1834,1762,1755,1831,1957,ms
Task Path,:core:network:kspDemoReleaseKotlin,3939,3933,3932,3891,4313,4356,ms
Task Path,:core:datastore:kspDemoReleaseKotlin,2951,2952,2952,2945,3257,3233,ms
Task Path,:core:database:kspProdReleaseKotlin,9180,9297,9206,9297,9979,9853,ms
Task Path,:core:database:kspDemoReleaseKotlin,9790,9712,9728,9605,10480,10418,ms
Task Path,:core:datastore:compileDemoReleaseKotlin,4024,4056,4038,4036,4349,4323,ms
Task Path,:core:network:compileDemoReleaseKotlin,5415,5407,5419,5381,5789,5835,ms
Task Path,:core:designsystem:packageDemoReleaseResources,1205,1216,1214,1223,1357,1378,ms
Task Path,:core:notifications:kspDemoReleaseKotlin,3931,3851,3900,3808,4262,4323,ms
Task Path,:core:notifications:compileDemoReleaseKotlin,1716,1710,1739,1682,1888,1889,ms
Task Path,:core:database:compileDemoReleaseKotlin,12121,11956,12061,11901,12974,12728,ms
Task Path,:core:database:compileProdReleaseKotlin,11980,11865,11896,11832,12790,12599,ms
Task Path,:app:demoReleaseOssLicensesTask,1707,1731,1715,1698,1999,1991,ms
Task Path,:core:designsystem:compileDemoReleaseLibraryResources,1269,1219,1216,1218,1584,1442,ms
Task Path,:app:processDemoReleaseMainManifest,1088,1083,1061,1102,1309,1265,ms
Task Path,:core:data:kspDemoReleaseKotlin,5360,5190,5209,5098,6354,5978,ms
Task Path,:app:mergeDemoReleaseResources,5784,5770,5819,5757,6194,6257,ms
Task Path,:app:processDemoReleaseResources,2256,2247,2256,2254,2563,2555,ms
Task Path,:core:designsystem:compileDemoReleaseKotlin,19572,19539,19514,19352,20486,21136,ms
Task Path,:lint:compileKotlin,3197,3321,3205,3354,3584,3599,ms
Task Path,:core:data:compileDemoReleaseKotlin,5600,5598,5541,5564,6425,6110,ms
Task Path,:core:domain:compileDemoReleaseKotlin,1276,1314,1269,1323,1558,1552,ms
Task Path,:sync:work:kspDemoReleaseKotlin,4843,4796,4827,4756,5619,5203,ms
Task Path,:core:ui:compileDemoReleaseKotlin,6421,6503,6302,6518,7120,7001,ms
Task Path,:sync:work:compileDemoReleaseKotlin,2076,2081,2097,2088,2396,2394,ms
Task Path,:feature:interests:kspDemoReleaseKotlin,4122,4181,4082,4155,4575,4568,ms
Task Path,:core:analytics:lintVitalAnalyzeDemoRelease,11610,11449,11436,11325,12646,12329,ms
Task Path,:feature:foryou:kspDemoReleaseKotlin,4323,4407,4216,4394,4852,4924,ms
Task Path,:core:common:lintVitalAnalyzeJvmMain,10629,10873,10903,11043,11410,11683,ms
Task Path,:feature:interests:compileDemoReleaseKotlin,3648,3729,3631,3742,3972,4115,ms
Task Path,:feature:topic:kspDemoReleaseKotlin,3882,3905,3817,3919,4119,4185,ms
Task Path,:feature:bookmarks:kspDemoReleaseKotlin,3763,3789,3694,3785,4045,4077,ms
Task Path,:feature:foryou:compileDemoReleaseKotlin,5609,5740,5632,5692,6136,6187,ms
Task Path,:feature:bookmarks:compileDemoReleaseKotlin,3534,3455,3526,3381,3999,3919,ms
Task Path,:feature:search:kspDemoReleaseKotlin,3628,3599,3575,3594,4022,3988,ms
Task Path,:feature:topic:compileDemoReleaseKotlin,4670,4710,4612,4692,5394,5312,ms
Task Path,:feature:settings:kspDemoReleaseKotlin,3590,3586,3498,3550,4231,4068,ms
Task Path,:feature:search:compileDemoReleaseKotlin,5828,5701,5689,5760,6529,6365,ms
Task Path,:feature:settings:compileDemoReleaseKotlin,3655,3635,3717,3622,4200,4106,ms
Task Path,:core:database:lintVitalAnalyzeDemoRelease,4987,4489,4868,4443,5826,5062,ms
Task Path,:core:data:lintVitalAnalyzeDemoRelease,9505,9248,9420,9346,10788,10207,ms
Task Path,:core:datastore:lintVitalAnalyzeDemoRelease,4947,4792,4755,4670,6011,5543,ms
Task Path,:core:datastore-proto:lintVitalAnalyzeDemoRelease,6600,6834,6635,6909,7432,7460,ms
Task Path,:app:kspDemoReleaseKotlin,6752,6831,6624,6671,7711,7953,ms
Task Path,:core:domain:lintVitalAnalyzeDemoRelease,1750,1727,1652,1700,2354,2007,ms
Task Path,:core:model:lintVitalAnalyzeJvmMain,2069,1873,2093,1895,2369,2240,ms
Task Path,:core:network:lintVitalAnalyzeDemoRelease,4159,4108,4256,4124,4634,4649,ms
Task Path,:core:notifications:lintVitalAnalyzeDemoRelease,2913,2941,2882,2943,3344,3272,ms
Task Path,:app:compileDemoReleaseKotlin,8699,8687,8663,8744,9698,9418,ms
Task Path,:feature:bookmarks:lintVitalAnalyzeDemoRelease,4187,4219,4204,4157,4851,5186,ms
Task Path,:core:ui:lintVitalAnalyzeDemoRelease,4872,4976,4886,4887,5769,5980,ms
Task Path,:app:compileDemoReleaseJavaWithJavac,1204,1167,1145,1143,1567,1401,ms
Task Path,:app:hiltAggregateDepsDemoRelease,1307,1328,1282,1255,1634,1630,ms
Task Path,:feature:interests:lintVitalAnalyzeDemoRelease,2053,1978,1980,1944,2517,2280,ms
Task Path,:feature:foryou:lintVitalAnalyzeDemoRelease,3603,3787,3524,3734,4229,4398,ms
Task Path,:core:designsystem:lintVitalAnalyzeDemoRelease,16158,16362,16230,16466,17223,17480,ms
Task Path,:feature:settings:lintVitalAnalyzeDemoRelease,2368,2411,2341,2387,2740,2826,ms
Task Path,:feature:search:lintVitalAnalyzeDemoRelease,3746,3890,3678,3921,4383,4340,ms
Task Path,:feature:topic:lintVitalAnalyzeDemoRelease,2787,2792,2743,2851,3194,3144,ms
Task Path,:sync:work:lintVitalAnalyzeDemoRelease,1918,1982,1829,1975,2338,2398,ms
Task Path,:app:hiltJavaCompileDemoRelease,6848,6865,6819,6753,7452,7623,ms
Task Path,:app:validateSigningDemoRelease,2249,2303,2091,2151,3090,3189,ms
Task Path,:app:transformDemoReleaseClassesWithAsm,1355,1387,1322,1371,1729,1754,ms
Task Path,:core:analytics:kspProdReleaseKotlin,3047,3022,3053,3020,3578,3490,ms
Task Path,:app:mergeDemoReleaseJavaResource,3538,3337,3392,3349,4289,4093,ms
Task Path,:core:analytics:compileProdReleaseKotlin,1525,1652,1465,1611,2137,2291,ms
Task Path,:app:expandDemoReleaseArtProfileWildcards,3283,3273,3261,3304,3957,4113,ms
Task Path,:core:datastore-proto:compileProdReleaseKotlin,2282,2372,2287,2312,2778,2897,ms
Task Path,:core:network:kspProdReleaseKotlin,3313,3602,3322,3616,3756,4169,ms
Task Path,:core:datastore:kspProdReleaseKotlin,2763,3112,2778,3186,3208,3616,ms
Task Path,:core:network:compileProdReleaseKotlin,2639,2657,2570,2597,3323,3221,ms
Task Path,:core:datastore:compileProdReleaseKotlin,2065,2178,2018,2150,2406,2694,ms
Task Path,:core:notifications:kspProdReleaseKotlin,2860,2827,2839,2795,3350,3268,ms
Task Path,:core:notifications:compileProdReleaseKotlin,1080,1266,1060,1286,1412,1566,ms
Task Path,:core:data:kspProdReleaseKotlin,3653,4110,3684,4035,4163,5014,ms
Task Path,:app:lintVitalAnalyzeDemoRelease,18171,18903,18842,17803,21728,23148,ms
Task Path,:core:data:compileProdReleaseKotlin,3508,3795,3494,3726,4044,4736,ms
Task Path,:core:designsystem:compileProdReleaseKotlin,10799,11584,10713,11533,11891,12871,ms
Task Path,:core:domain:compileProdReleaseKotlin,1029,1053,986,1005,1314,1481,ms
Task Path,:sync:work:kspProdReleaseKotlin,5374,5249,5322,5261,6279,5865,ms
Task Path,:core:ui:compileProdReleaseKotlin,4844,4675,4777,4675,5740,5331,ms
Task Path,:sync:work:compileProdReleaseKotlin,2027,1965,2009,1912,2383,2309,ms
Task Path,:app:mergeProdReleaseResources,5486,5317,5485,5219,6528,6917,ms
Task Path,:feature:interests:kspProdReleaseKotlin,3259,3300,3221,3310,3740,3671,ms
Task Path,:feature:bookmarks:kspProdReleaseKotlin,3327,3369,3312,3336,3705,3711,ms
Task Path,:feature:foryou:kspProdReleaseKotlin,3608,3619,3631,3591,3991,3893,ms
Task Path,:feature:interests:compileProdReleaseKotlin,3095,3108,3042,3034,3542,3466,ms
Task Path,:feature:bookmarks:compileProdReleaseKotlin,2978,2963,3018,3038,3293,3359,ms
Task Path,:feature:foryou:compileProdReleaseKotlin,4395,4360,4436,4407,4837,4834,ms
Task Path,:feature:topic:kspProdReleaseKotlin,3324,3373,3345,3400,3694,3787,ms
Task Path,:feature:search:kspProdReleaseKotlin,3346,3318,3335,3314,3784,3661,ms
Task Path,:feature:settings:kspProdReleaseKotlin,3203,3262,3123,3274,3629,3660,ms
Task Path,:feature:topic:compileProdReleaseKotlin,4063,4072,4050,4039,4431,4537,ms
Task Path,:feature:settings:compileProdReleaseKotlin,2976,3109,2946,3019,3401,3568,ms
Task Path,:feature:search:compileProdReleaseKotlin,4562,4705,4530,4672,5120,5251,ms
Task Path,:app:processProdReleaseResources,1500,1497,1470,1511,1860,1806,ms
Task Path,:core:analytics:lintVitalAnalyzeProdRelease,1901,1932,1979,2017,2721,2597,ms
Task Path,:core:database:lintVitalAnalyzeProdRelease,2183,2112,2242,2104,2636,2489,ms
Task Path,:app:kspProdReleaseKotlin,5414,5642,5340,5635,6214,6389,ms
Task Path,:core:data:lintVitalAnalyzeProdRelease,4596,4607,4681,4618,5518,5310,ms
Task Path,:core:datastore:lintVitalAnalyzeProdRelease,2133,2274,2066,2265,2534,2821,ms
Task Path,:core:datastore-proto:lintVitalAnalyzeProdRelease,3117,3272,3097,3340,3760,3783,ms
Task Path,:app:compileProdReleaseKotlin,5702,5914,5550,5895,6607,6771,ms
Task Path,:core:network:lintVitalAnalyzeProdRelease,2087,2140,1958,2115,2611,2604,ms
Task Path,:app:compileProdReleaseJavaWithJavac,1099,1106,1115,1078,1368,1394,ms
Task Path,:core:notifications:lintVitalAnalyzeProdRelease,1399,1373,1340,1393,1801,1688,ms
Task Path,:core:ui:lintVitalAnalyzeProdRelease,2702,2768,2637,2719,3181,3240,ms
Task Path,:core:designsystem:lintVitalAnalyzeProdRelease,9377,9821,9117,9775,10908,11472,ms
Task Path,:app:hiltJavaCompileProdRelease,6075,6042,6014,5993,6610,6759,ms
Task Path,:feature:bookmarks:lintVitalAnalyzeProdRelease,2426,2547,2459,2555,3053,3015,ms
Task Path,:feature:foryou:lintVitalAnalyzeProdRelease,3089,3075,2865,3070,3976,3690,ms
Task Path,:app:mergeProdReleaseJavaResource,2599,2577,2630,2538,2920,2925,ms
Task Path,:app:expandProdReleaseArtProfileWildcards,2104,2114,2115,2127,2366,2442,ms
Task Path,:feature:interests:lintVitalAnalyzeProdRelease,1693,1738,1725,1763,1926,2030,ms
Task Path,:feature:settings:lintVitalAnalyzeProdRelease,2022,2091,1991,2090,2308,2397,ms
Task Path,:feature:search:lintVitalAnalyzeProdRelease,3003,3098,3015,3076,3418,3474,ms
Task Path,:feature:topic:lintVitalAnalyzeProdRelease,2240,2299,2249,2302,2592,2561,ms
Task Path,:sync:work:lintVitalAnalyzeProdRelease,1676,1774,1687,1773,1918,2093,ms
Task Path,:app-nia-catalog:mergeReleaseResources,1780,2315,1752,2458,2276,2879,ms
Task Path,:app-nia-catalog:processReleaseResources,1545,1356,911,1095,3455,1592,ms
Task Path,:app:lintVitalAnalyzeProdRelease,13374,12396,12050,11223,16501,18190,ms
Task Path,:app-nia-catalog:compileReleaseKotlin,7298,7219,6333,6261,10599,11787,ms
Task Path,:app:lintVitalReportProdRelease,2887,2902,3453,3852,4843,5567,ms
Task Path,:app-nia-catalog:dexBuilderRelease,2020,2540,1875,2398,2899,3758,ms
Task Path,:app-nia-catalog:lintVitalAnalyzeRelease,2406,3218,2207,3069,3548,4511,ms
Task Path,:app-nia-catalog:mergeReleaseGlobalSynthetics,1974,2020,1849,2185,2213,2461,ms
Task Path,:app-nia-catalog:optimizeReleaseResources,1562,1717,1457,1399,3718,4042,ms
Task Path,:app-nia-catalog:mergeReleaseJavaResource,1682,1792,1616,1753,2021,2131,ms
Task Path,:ui-test-hilt-manifest:verifyDemoReleaseResources,1994,2369,2418,2650,3272,3450,ms
Task Path,:ui-test-hilt-manifest:kspDemoReleaseKotlin,3007,3334,2731,3054,4270,4629,ms
Task Path,:ui-test-hilt-manifest:compileDemoReleaseKotlin,1482,1606,1421,1357,2133,2682,ms
Task Path,:ui-test-hilt-manifest:kspProdReleaseKotlin,2543,2512,2524,2474,3026,3131,ms
Task Path,:ui-test-hilt-manifest:compileProdReleaseKotlin,1196,1120,1118,1076,1587,1622,ms
Task Path,:app-nia-catalog:mergeExtDexRelease,26065,33363,26211,32942,29117,37659,ms
Task Path,:core:analytics:verifyProdReleaseResources,1037,1161,996,1179,1353,1524,ms
Task Path,:core:data-test:kspDemoReleaseKotlin,2733,3171,2748,3180,3077,3719,ms
Task Path,:core:data:verifyProdReleaseResources,1477,2058,1006,1296,3213,4202,ms
Task Path,:core:data-test:compileDemoReleaseKotlin,1427,1482,1244,1341,2352,2199,ms
Task Path,:core:data-test:verifyDemoReleaseResources,1037,1010,789,952,2198,1524,ms
Task Path,:core:data-test:kspProdReleaseKotlin,2711,3056,2688,2930,3369,4151,ms
Task Path,:core:data-test:compileProdReleaseKotlin,1209,1237,1126,1172,1764,1760,ms
Task Path,:core:data-test:verifyProdReleaseResources,1347,1608,1128,1442,2627,2893,ms
Task Path,:core:datastore-test:verifyDemoReleaseResources,1679,2191,1945,2550,2413,3062,ms
Task Path,:core:datastore-test:kspDemoReleaseKotlin,2006,2484,1992,2492,2294,3041,ms
Task Path,:core:datastore-test:kspProdReleaseKotlin,2041,2641,1942,2628,2638,3135,ms
Task Path,:app-nia-catalog:mergeDexRelease,18335,27029,18300,26549,19764,29555,ms
Task Path,:core:designsystem:mergeDemoReleaseResources,1296,1754,1302,1737,1550,2022,ms
Task Path,:core:designsystem:mergeProdReleaseResources,1191,1659,1162,1680,1497,1896,ms
Task Path,:core:designsystem:verifyDemoReleaseResources,1297,1861,1289,1842,1692,2250,ms
Task Path,:core:designsystem:verifyProdReleaseResources,1132,1973,1169,2092,1702,2648,ms
Task Path,:core:screenshot-testing:kspDemoReleaseKotlin,2033,2586,2009,2509,2577,3167,ms
Task Path,:core:screenshot-testing:mergeDemoReleaseResources,2786,3413,2796,3371,3293,3864,ms
Task Path,:core:screenshot-testing:compileDemoReleaseKotlin,2379,2844,2368,2815,3060,3675,ms
Task Path,:core:screenshot-testing:kspProdReleaseKotlin,1558,1967,1471,1844,2237,2829,ms
Task Path,:core:screenshot-testing:verifyDemoReleaseResources,3503,4402,3491,4378,4132,4978,ms
Task Path,:core:screenshot-testing:compileProdReleaseKotlin,1965,2281,1893,2230,2424,2664,ms
Task Path,:core:screenshot-testing:mergeProdReleaseResources,2698,3360,2720,3349,3162,4034,ms
Task Path,:core:testing:kspDemoReleaseKotlin,2881,3535,2914,3459,3381,4316,ms
Task Path,:core:testing:compileDemoReleaseKotlin,2155,2454,2129,2457,2669,2893,ms
Task Path,:core:testing:kspProdReleaseKotlin,2869,3463,2847,3382,3545,4107,ms
Task Path,:core:testing:verifyProdReleaseResources,1084,1420,1099,1430,1293,1633,ms
Task Path,:core:testing:compileProdReleaseKotlin,1872,2260,1893,2208,2257,2797,ms
Task Path,:core:ui:mergeDemoReleaseResources,1475,1821,1495,1792,1682,2170,ms
Task Path,:core:ui:mergeProdReleaseResources,1705,2050,1708,2080,1975,2380,ms
Task Path,:core:ui:verifyDemoReleaseResources,1555,1915,1532,1839,1867,2376,ms
Task Path,:core:ui:verifyProdReleaseResources,1542,2042,1590,2038,1830,2619,ms
Task Path,:feature:bookmarks:mergeDemoReleaseResources,1303,1669,1319,1704,1525,1991,ms
Task Path,:feature:bookmarks:mergeProdReleaseResources,1560,1974,1558,2001,1840,2275,ms
Task Path,:feature:bookmarks:verifyDemoReleaseResources,1534,1940,1553,1908,1853,2368,ms
Task Path,:feature:bookmarks:verifyProdReleaseResources,1447,1905,1463,1930,1703,2198,ms
Task Path,:feature:foryou:mergeDemoReleaseResources,1282,1635,1264,1669,1528,1865,ms
Task Path,:feature:foryou:mergeProdReleaseResources,1508,1950,1500,1979,1791,2211,ms
Task Path,:feature:foryou:verifyProdReleaseResources,1491,1911,1517,1906,1800,2394,ms
Task Path,:feature:foryou:verifyDemoReleaseResources,1560,1891,1548,1965,1923,2299,ms
Task Path,:feature:interests:mergeDemoReleaseResources,1257,1569,1239,1508,1509,1861,ms
Task Path,:feature:interests:mergeProdReleaseResources,1502,1783,1520,1833,1787,2064,ms
Task Path,:feature:interests:verifyProdReleaseResources,1575,1809,1585,1863,1910,2126,ms
Task Path,:feature:interests:verifyDemoReleaseResources,1484,1784,1478,1763,1850,2178,ms
Task Path,:feature:search:mergeDemoReleaseResources,1276,1481,1274,1464,1474,1788,ms
Task Path,:feature:search:mergeProdReleaseResources,1546,1758,1578,1779,1874,2029,ms
Task Path,:feature:search:verifyDemoReleaseResources,1435,1713,1395,1718,1788,2087,ms
Task Path,:feature:search:verifyProdReleaseResources,1728,2008,1669,1986,2273,2703,ms
Task Path,:feature:settings:mergeDemoReleaseResources,2185,2526,2243,2540,2562,2883,ms
Task Path,:feature:settings:mergeProdReleaseResources,2043,2447,2082,2429,2408,2923,ms
Task Path,:feature:settings:verifyDemoReleaseResources,2754,3033,2709,3003,3477,3892,ms
