Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_814 Mean,varianta_gradle_8_13 P50,variantb_gradle_814 P50,varianta_gradle_8_13 P90,variantb_gradle_814 P90,Unit
Task Path,:core:database:compileDemoDebugKotlin,11620,11500,11522,11471,12528,12147,ms
Task Path,:core:database:compileProdDebugKotlin,11193,11161,11146,11112,11810,11965,ms
Task Path,:core:data:kspDemoDebugKotlin,4990,4934,4902,4827,5724,5723,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18574,18088,18612,17994,19990,19630,ms
Task Path,:core:data:compileDemoDebugKotlin,8427,9329,7037,7053,13267,14499,ms
Task Path,:core:ui:compileDemoDebugKotlin,5498,5291,5437,5410,6441,6133,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3456,3653,3692,3691,4528,4728,ms
Task Path,:core:domain:compileDemoDebugKotlin,1235,1301,1104,1072,1344,1447,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2662,2005,2882,2541,5235,4696,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5497,4822,5749,4407,6874,6554,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5522,5049,6145,5545,6977,7001,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1124,1156,1055,1149,1553,1441,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,5965,6171,5963,6136,6942,7354,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1612,1851,1756,2090,3344,3512,ms
Task Path,:app:l8DexDesugarLibDemoDebug,39349,38865,39185,38737,41613,41839,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3104,3223,3045,2979,3631,3863,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,7154,6716,7673,6926,8933,8805,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2991,3000,2949,2959,3580,3504,ms
Task Path,:feature:search:kspDemoDebugKotlin,3008,3032,3007,2999,3418,3555,ms
Task Path,:app:mergeExtDexDemoDebug,42602,42595,43038,42651,44521,44869,ms
Task Path,:feature:settings:kspDemoDebugKotlin,3006,3014,2999,2998,3614,3415,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3169,3104,3209,3044,3555,3595,ms
Task Path,:feature:search:compileDemoDebugKotlin,4673,4723,4720,4676,5242,5402,ms
Task Path,:feature:settings:compileDemoDebugKotlin,3018,3066,3031,3084,3436,3521,ms
Task Path,:sync:work:kspDemoDebugKotlin,4054,4307,3969,3800,4529,7608,ms
Task Path,:sync:work:compileDemoDebugKotlin,1546,1540,1488,1503,1796,1881,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3472,3705,3479,3613,3946,4622,ms
Task Path,:app:kspDemoDebugKotlin,5277,5034,5246,5032,6109,5567,ms
Task Path,:app:validateSigningDemoDebug,2733,2791,2396,2564,4080,4028,ms
Task Path,:app:compileDemoDebugKotlin,6123,6071,6100,6095,7059,7147,ms
Task Path,:app:mergeLibDexDemoDebug,1507,1518,1496,1452,1846,1943,ms
Task Path,:app:mergeProdDebugResources,3744,3679,3601,3578,4381,4616,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1346,1229,1247,1173,1730,1536,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2720,2641,2638,2618,3328,2928,ms
Task Path,:core:analytics:kspProdDebugKotlin,2575,2478,2532,2490,3187,2833,ms
Task Path,:app:processProdDebugResources,1466,1446,1394,1404,2325,2080,ms
Task Path,:core:analytics:compileProdDebugKotlin,1298,1240,1225,1177,1837,1610,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1280,1253,1225,1212,1589,1688,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1645,1562,1618,1533,2064,1978,ms
Task Path,:core:notifications:kspProdDebugKotlin,2657,2573,2596,2497,3213,3100,ms
Task Path,:core:network:kspProdDebugKotlin,2793,2694,2709,2600,3503,3204,ms
Task Path,:app:hiltJavaCompileDemoDebug,6483,6473,6230,6308,8082,7459,ms
Task Path,:core:datastore:kspProdDebugKotlin,2412,2352,2350,2302,2885,2798,ms
Task Path,:app:transformDemoDebugClassesWithAsm,2159,2403,1332,1447,4872,4791,ms
Task Path,:core:network:compileProdDebugKotlin,2306,2276,2290,2273,2734,2755,ms
Task Path,:core:datastore:compileProdDebugKotlin,1657,1581,1654,1507,2092,2055,ms
Task Path,:app:jacocoDemoDebug,1664,1674,1203,1234,4168,3226,ms
Task Path,:app:mergeDemoDebugJavaResource,5403,5419,5097,5044,7230,6997,ms
Task Path,:core:data:kspProdDebugKotlin,3527,3698,3448,3507,4305,4824,ms
Task Path,:app:dexBuilderDemoDebug,3241,3127,3068,3004,4162,3824,ms
Task Path,:core:data:compileProdDebugKotlin,3294,3336,3076,2986,4561,5407,ms
Task Path,:app:packageDemoDebug,4246,3933,3931,3678,5681,5595,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8766,8456,8595,8339,10046,9577,ms
Task Path,:sync:work:kspProdDebugKotlin,4371,4156,4190,4049,5245,5020,ms
Task Path,:core:ui:compileProdDebugKotlin,3925,3827,3719,3762,5232,4749,ms
Task Path,:sync:work:compileProdDebugKotlin,1589,1589,1531,1527,1956,2099,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3805,3877,3535,3685,5114,5467,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,3294,3142,2958,2982,4488,4774,ms
Task Path,:feature:interests:kspProdDebugKotlin,3713,3616,3445,3611,4969,4978,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4432,4124,4325,3995,5973,5366,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3509,3060,3256,2936,5397,4302,ms
Task Path,:feature:interests:compileProdDebugKotlin,3122,2834,2715,2561,4831,4273,ms
Task Path,:feature:search:kspProdDebugKotlin,3132,3051,2925,2820,4367,4183,ms
Task Path,:feature:settings:kspProdDebugKotlin,2774,2634,2755,2581,3330,3178,ms
Task Path,:feature:topic:kspProdDebugKotlin,2908,2902,2705,2711,4133,4171,ms
Task Path,:app:mergeExtDexProdDebug,25518,25112,25031,24754,29728,28302,ms
Task Path,:feature:settings:compileProdDebugKotlin,2502,2458,2385,2390,3057,3050,ms
Task Path,:feature:search:compileProdDebugKotlin,3730,3702,3666,3588,4415,4603,ms
Task Path,:feature:topic:compileProdDebugKotlin,3046,3046,3010,2982,3616,3520,ms
Task Path,:app:kspProdDebugKotlin,4458,4501,4422,4429,4915,5239,ms
Task Path,:app:mergeLibDexProdDebug,1251,1253,1216,1281,1651,1647,ms
Task Path,:app-nia-catalog:mergeDebugResources,2496,2581,2494,2602,2976,3060,ms
Task Path,:app-nia-catalog:processDebugResources,1146,1107,1116,1006,1580,1636,ms
Task Path,:app:compileProdDebugKotlin,4976,5080,4940,4818,5820,6186,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3374,3387,3332,3344,4081,4111,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1734,1770,1733,1661,2171,2190,ms
Task Path,:app:hiltJavaCompileProdDebug,5629,5768,5566,5694,6502,6588,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2733,2672,2707,2685,3187,3094,ms
Task Path,:core:data-test:kspProdDebugKotlin,2718,2652,2527,2536,3930,3229,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1159,1134,1092,1126,1699,1461,ms
Task Path,:app:jacocoProdDebug,1171,1117,1013,1033,1920,1646,ms
Task Path,:core:data-test:compileProdDebugKotlin,1060,1049,1025,1007,1334,1371,ms
Task Path,:app:dexBuilderProdDebug,2025,1933,2045,1933,2636,2491,ms
Task Path,:app:mergeProdDebugJavaResource,2956,3123,2867,2945,4136,4403,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17549,17802,17335,17584,19374,20286,ms
Task Path,:app-nia-catalog:packageDebug,2075,2035,2005,1945,2520,2596,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,2021,2135,1989,2132,2453,2588,ms
Task Path,:app:packageProdDebug,2948,3032,2905,2936,3514,3642,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2110,2205,2054,2150,2593,2687,ms
Task Path,:lint:compileKotlin,2073,2105,2025,2093,2625,2621,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1707,1720,1710,1688,1926,2117,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1609,1568,1609,1526,1926,2018,ms
Task Path,:core:testing:kspDemoDebugKotlin,2733,2748,2652,2710,3186,3273,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1805,1884,1753,1837,2269,2310,ms
Task Path,:core:testing:kspProdDebugKotlin,2477,2551,2433,2512,2944,3023,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1821,1849,1793,1790,2227,2265,ms
Task Path,:core:testing:compileDemoDebugKotlin,1477,1775,1423,1713,1831,2346,ms
Task Path,:core:testing:compileProdDebugKotlin,1363,1580,1306,1498,1806,2118,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1224,1418,1163,1342,1655,1907,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1277,1504,1215,1440,1731,2008,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,10.7,10.54,10.69,10.57,11.36,11.19,Gb
Build process cpu,Max,93.48,93.64,93.0,94.0,95,95,%
Build processes memory,Max,5.32,5.3,5.33,5.31,5.45,5.45,Gb
Build child processes cpu,Max,92.46,91.88,93.0,92.0,94,94,%
Build child processes memory,Max,4.46,4.31,4.4,4.26,5.13,4.9,Gb
gc-gradle_gc.log,total-collections,69.0,70.0,69.0,70.0,75.0,77.0,
gc-kotlin_gc.log,total-collections,48.0,48.0,49.0,48.5,56.0,56.8,
