Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,19,18,11,11,24,23,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,28,27,12,11,70,65,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,8,5,3,2,23,7,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,17,15,14,12,31,31,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,20,18,18,17,29,28,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,318,316,122,113,790,792,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,113,108,34,32,303,289,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,13009,12000,78,80,39349,36691,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9929,8869,1266,1110,40937,37045,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,12,12,3,2,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,11,9,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,6,6,2,1,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,7,6,6,13,12,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,20,9,7,52,54,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,897,836,9,8,3103,2732,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,624,651,746,811,1132,1229,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1241,1077,1093,1030,1680,1361,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,218,204,13,12,67,59,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1815,1594,1742,1560,2952,2496,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3014,2723,2838,2490,4778,4170,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,7,8,6,6,14,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,7,5,5,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,5,5,4,9,8,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,5,4,9,8,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,34,32,22,20,43,42,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,13,12,5,5,13,12,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,41,37,33,30,73,66,ms
Task Type,com.android.build.gradle.tasks.BundleAar,19,18,16,15,32,31,ms
Task Path,:build-logic:convention:compileKotlin,12281,12286,12032,12015,13031,13409,ms
Task Path,:app:checkDemoDebugAarMetadata,1350,1257,1291,1215,1686,1582,ms
Task Path,:app:parseDemoDebugLocalResources,1887,2167,1718,1537,4126,5430,ms
Task Path,:app:processDemoDebugMainManifest,1189,1473,946,933,2394,3782,ms
Task Path,:app:mergeDemoDebugResources,5174,6517,5102,6504,5735,7069,ms
Task Path,:app:processDemoDebugResources,2123,2005,2123,2003,2346,2227,ms
Task Path,:core:common:kspKotlin,12386,12150,12372,12086,13303,13202,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3463,3398,3432,3380,3823,3634,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6568,6310,6575,6297,6936,6689,ms
Task Path,:core:model:compileKotlin,14278,14062,14233,13962,15000,14653,ms
Task Path,:core:common:compileKotlin,2539,2486,2501,2436,2802,2936,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2949,2597,2939,2568,3224,2893,ms
Task Path,:core:common:compileJava,1607,1555,1600,1545,1794,1699,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4075,3691,4087,3680,4394,3956,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2450,2278,2459,2271,2740,2499,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugJavaWithJavac,1165,1066,885,834,2450,2251,ms
Task Path,:core:network:kspDemoDebugKotlin,3742,3875,3708,3849,4011,4174,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4626,4633,4620,4616,5009,5009,ms
Task Path,:core:database:kspProdDebugKotlin,8762,8593,8709,8589,9264,9034,ms
Task Path,:core:database:kspDemoDebugKotlin,10629,10455,10601,10413,11248,10984,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1547,1473,1540,1466,1692,1631,ms
Task Path,:core:network:compileDemoDebugKotlin,5956,5422,5929,5414,6325,5814,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3141,2914,3152,2901,3384,3192,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3601,3296,3592,3315,3948,3585,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3337,3155,3318,3133,3630,3481,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1786,1770,1768,1765,2077,2060,ms
Task Path,:core:database:compileDemoDebugKotlin,11537,10759,11410,10675,12271,11590,ms
Task Path,:core:database:compileProdDebugKotlin,11126,10480,11041,10463,11978,11004,ms
Task Path,:core:data:kspDemoDebugKotlin,4980,4781,4931,4787,5744,5354,ms
Task Path,:core:data:compileDemoDebugKotlin,8770,8509,6987,6432,13240,13136,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3353,3547,3332,3588,4447,4436,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,17971,17267,17929,17333,19547,18640,ms
Task Path,:core:designsystem:bundleLibCompileToJarDemoDebug,1587,1212,1007,802,3583,3520,ms
Task Path,:core:domain:compileDemoDebugKotlin,1257,1275,1109,1032,1377,1407,ms
Task Path,:core:designsystem:bundleLibRuntimeToJarDemoDebug,1200,1115,47,51,4917,4658,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2500,2549,2613,2750,5033,4953,ms
Task Path,:core:ui:compileDemoDebugKotlin,5359,5121,5255,5027,6167,5878,ms
Task Path,:sync:work:kspDemoDebugKotlin,3809,3632,3756,3568,4215,4216,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5234,5367,5631,5953,6803,6966,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,6018,6129,5968,6188,7061,7032,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5135,5200,5693,5892,7267,6913,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1124,1012,1122,999,1474,1310,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1905,,2089,,3497,,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38882,35859,38766,35669,40764,38143,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6772,5972,7310,6143,8677,7967,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3278,2938,3021,2915,4062,3380,ms
Task Path,:feature:search:kspDemoDebugKotlin,3036,2877,3013,2795,3534,3412,ms
Task Path,:app:mergeExtDexDemoDebug,42949,39457,42719,39375,45118,41560,ms
Task Path,:feature:interests:compileDemoDebugKotlin,3042,2923,3028,2937,3490,3431,ms
Task Path,:feature:settings:kspDemoDebugKotlin,3023,3229,2970,3255,3439,3637,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3066,2904,3035,2895,3469,3346,ms
Task Path,:feature:search:compileDemoDebugKotlin,4644,4514,4546,4537,5231,5026,ms
Task Path,:sync:work:compileDemoDebugKotlin,1471,1348,1461,1340,1812,1579,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2965,2700,2925,2659,3428,3057,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3573,3242,3500,3239,4263,3673,ms
Task Path,:app:kspDemoDebugKotlin,4835,4503,4761,4422,5447,4980,ms
Task Path,:app:mergeLibDexDemoDebug,1572,1359,1552,1342,1823,1587,ms
Task Path,:app:validateSigningDemoDebug,2675,2497,2474,2356,3902,3758,ms
Task Path,:app:compileDemoDebugKotlin,5856,5246,5768,5206,6713,5797,ms
Task Path,:app:mergeProdDebugResources,3452,3242,3421,3223,4189,3665,ms
Task Path,:app:processProdDebugResources,1183,1195,1123,1168,1565,1521,ms
Task Path,:core:analytics:kspProdDebugKotlin,2506,2257,2488,2244,3016,2586,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2595,2289,2598,2253,3027,2603,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1024,,1024,,1206,,ms
Task Path,:core:analytics:compileProdDebugKotlin,1189,1086,1137,1082,1560,1229,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1288,1105,1249,1088,1577,1355,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1581,1361,1550,1329,1925,1590,ms
Task Path,:core:network:kspProdDebugKotlin,2579,2352,2541,2319,2996,2676,ms
Task Path,:core:notifications:kspProdDebugKotlin,2421,2225,2365,2189,2817,2480,ms
Task Path,:core:datastore:kspProdDebugKotlin,2198,2048,2111,2045,2597,2301,ms
Task Path,:app:hiltJavaCompileDemoDebug,5403,5112,5370,5073,6140,5611,ms
Task Path,:core:network:compileProdDebugKotlin,2086,1910,2055,1915,2449,2173,ms
Task Path,:core:datastore:compileProdDebugKotlin,1499,1377,1496,1338,1769,1664,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1585,1230,1245,1142,3466,1333,ms
Task Path,:app:jacocoDemoDebug,1304,1073,1062,1002,2709,1247,ms
Task Path,:app:mergeDemoDebugJavaResource,4623,4125,4516,4087,5527,4689,ms
Task Path,:app:dexBuilderDemoDebug,2679,2340,2679,2327,3388,2964,ms
Task Path,:core:data:kspProdDebugKotlin,3256,3021,3179,2985,4225,3569,ms
Task Path,:core:data:compileProdDebugKotlin,3181,2769,2893,2623,4492,3577,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8597,7724,8567,7681,9669,8571,ms
Task Path,:app:packageDemoDebug,4309,3902,4088,3724,5980,4994,ms
Task Path,:core:domain:compileProdDebugKotlin,1041,,821,,1833,,ms
Task Path,:core:ui:compileProdDebugKotlin,3658,3166,3601,3132,4477,3553,ms
Task Path,:sync:work:kspProdDebugKotlin,3969,3492,3896,3435,4744,4018,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3320,3206,3139,2973,4480,4525,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,2948,2618,2630,2408,4429,3739,ms
Task Path,:feature:interests:kspProdDebugKotlin,3593,3365,3669,3319,4594,4403,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4331,4051,4127,4012,5750,5061,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3221,2921,3133,2791,4436,3947,ms
Task Path,:feature:interests:compileProdDebugKotlin,3105,3253,2886,3128,4359,4639,ms
Task Path,:feature:search:kspProdDebugKotlin,2984,3075,2770,3016,4140,4098,ms
Task Path,:feature:settings:kspProdDebugKotlin,2620,2564,2544,2536,3115,3142,ms
Task Path,:feature:topic:kspProdDebugKotlin,2701,2397,2613,2305,3433,2785,ms
Task Path,:feature:settings:compileProdDebugKotlin,2377,2047,2307,2022,2914,2362,ms
Task Path,:feature:search:compileProdDebugKotlin,3580,3032,3534,2969,4174,3483,ms
Task Path,:feature:topic:compileProdDebugKotlin,2907,2493,2854,2463,3461,2771,ms
Task Path,:sync:work:compileProdDebugKotlin,1464,1292,1445,1280,1776,1489,ms
Task Path,:app:mergeExtDexProdDebug,24547,20425,24239,20065,27193,22116,ms
Task Path,:app:kspProdDebugKotlin,4194,3981,4119,3984,4627,4388,ms
Task Path,:app:mergeLibDexProdDebug,1311,1090,1240,1072,1832,1417,ms
Task Path,:app-nia-catalog:mergeDebugResources,2212,1949,2154,1886,2680,2326,ms
Task Path,:app:compileProdDebugKotlin,4747,4212,4730,4182,5586,4851,ms
Task Path,:app-nia-catalog:processDebugResources,1052,,966,,1487,,ms
Task Path,:app:compileProdDebugJavaWithJavac,1005,,967,,1413,,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3253,3274,3212,3135,3817,4234,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1689,1987,1631,1717,2152,2835,ms
Task Path,:app:hiltJavaCompileProdDebug,5478,5588,5533,5791,6195,6436,ms
Task Path,:core:data-test:kspProdDebugKotlin,2472,2209,2383,2200,2937,2421,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2607,2299,2511,2256,3264,2589,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1217,1083,1181,1087,1509,1363,ms
Task Path,:app:mergeProdDebugJavaResource,3163,2742,3249,2694,4177,3668,ms
Task Path,:app:jacocoProdDebug,1178,1082,1118,1070,1630,1439,ms
Task Path,:core:data-test:compileProdDebugKotlin,1077,,1063,,1478,,ms
Task Path,:app:dexBuilderProdDebug,1782,1468,1746,1448,2319,1773,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17664,16369,17637,16363,19052,17528,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2049,1797,2019,1821,2398,2025,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,1976,1765,1956,1752,2297,1929,ms
Task Path,:app:packageProdDebug,2872,2503,2808,2488,3464,2715,ms
Task Path,:app-nia-catalog:packageDebug,1860,1764,1748,1731,2238,2002,ms
Task Path,:lint:compileKotlin,1823,1589,1790,1561,2220,1892,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1533,1400,1494,1371,1821,1548,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1391,1243,1365,1238,1676,1416,ms
Task Path,:core:testing:kspDemoDebugKotlin,2522,2279,2460,2231,2942,2461,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1700,1527,1659,1528,2054,1731,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1695,1525,1631,1491,2049,1757,ms
Task Path,:core:testing:kspProdDebugKotlin,2361,2147,2288,2127,2825,2414,ms
Task Path,:core:testing:compileDemoDebugKotlin,1537,1335,1490,1314,1930,1524,ms
Task Path,:core:testing:compileProdDebugKotlin,1450,1287,1419,1282,1827,1484,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1280,1125,1191,1107,1706,1292,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1347,1183,1285,1151,1771,1385,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,11.17,9.58,11.21,9.6,11.78,9.74,Gb
Build process cpu,Max,93.25,93.22,93.0,93.0,95,95,%
Build processes memory,Max,5.38,5.19,5.4,5.2,5.46,5.31,Gb
Build child processes cpu,Max,92.32,92.19,92.0,92.0,94,94,%
Build child processes memory,Max,4.78,3.36,4.82,3.36,5.41,3.44,Gb
gc-gradle_gc.log,Concurrent Mark Cycle,10.0,,10.0,,11.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (G1 Evacuation Pause),2.0,,3.0,,3.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (G1 Humongous Allocation),2.0,,3.0,,5.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-gradle_gc.log,Pause Young (Concurrent Start) (Metadata GC Threshold),4.0,,4.0,,5.0,,
gc-gradle_gc.log,Pause Young (Mixed) (G1 Evacuation Pause),8.0,,7.0,,12.9,,
gc-gradle_gc.log,Pause Young (Mixed) (GCLocker Initiated GC),1.0,,1.0,,3.0,,
gc-gradle_gc.log,Pause Young (Normal) (G1 Evacuation Pause),40.0,,40.0,,45.9,,
gc-gradle_gc.log,Pause Young (Normal) (GCLocker Initiated GC),3.0,,3.0,,5.0,,
gc-gradle_gc.log,Pause Young (Prepare Mixed) (G1 Evacuation Pause),5.0,,5.0,,7.0,,
gc-gradle_gc.log,Pause Young (Prepare Mixed) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-gradle_gc.log,total-collections,69.0,58.0,69.0,58.0,77.0,60.0,
gc-gradle_gc.log,Pause Young (Concurrent Start) (G1 Preventive Collection),1.0,,1.0,,1.0,,
gc-kotlin_gc.log,Concurrent Mark Cycle,8.0,,9.0,,10.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (G1 Evacuation Pause),2.0,,3.0,,3.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (Metadata GC Threshold),5.0,,5.0,,6.0,,
gc-kotlin_gc.log,Pause Young (Mixed) (G1 Evacuation Pause),4.0,,4.0,,6.0,,
gc-kotlin_gc.log,Pause Young (Normal) (G1 Evacuation Pause),25.0,,25.0,,31.0,,
gc-kotlin_gc.log,Pause Young (Normal) (GCLocker Initiated GC),1.0,,1.0,,3.0,,
gc-kotlin_gc.log,Pause Young (Prepare Mixed) (G1 Evacuation Pause),4.0,,4.0,,5.0,,
gc-kotlin_gc.log,total-collections,43.0,34.0,44.0,35.0,50.9,36.0,
gc-kotlin_gc.log,Pause Young (Prepare Mixed) (GCLocker Initiated GC),1.0,,1.0,,1.0,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (GCLocker Initiated GC),1.0,,1.0,,2.0,,
gc-kotlin_gc.log,Pause Young (Mixed) (GCLocker Initiated GC),1.0,,1.0,,1.4,,
gc-kotlin_gc.log,Pause Young (Concurrent Start) (G1 Humongous Allocation),1.0,,1.0,,1.0,,
gc-gradle_gc.log,Pause Full (Ergonomics),,1.0,,1.0,,1.0,
gc-gradle_gc.log,Pause Full (Metadata GC Threshold),,5.0,,5.0,,5.0,
gc-gradle_gc.log,Pause Young (Allocation Failure),,42.0,,43.0,,45.0,
gc-gradle_gc.log,Pause Young (GCLocker Initiated GC),,4.0,,5.0,,7.0,
gc-gradle_gc.log,Pause Young (Metadata GC Threshold),,5.0,,5.0,,5.0,
gc-kotlin_gc.log,Pause Full (Metadata GC Threshold),,7.0,,7.0,,7.0,
gc-kotlin_gc.log,Pause Young (Allocation Failure),,19.0,,20.0,,21.0,
gc-kotlin_gc.log,Pause Young (GCLocker Initiated GC),,1.0,,1.0,,3.0,
gc-kotlin_gc.log,Pause Young (Metadata GC Threshold),,7.0,,7.0,,7.0,
