Category,Metric,varianta_2.2.0 Mean,variantb_2.2.20-Beta2 Mean,varianta_2.2.0 P50,variantb_2.2.20-Beta2 P50,varianta_2.2.0 P90,variantb_2.2.20-Beta2 P90,Unit
Task Path,:core:calendar:kspDebugKotlin,5169,22538,5163,22269,5715,24028,ms
Task Path,:core:cart:kspDebugKotlin,4892,22225,4916,22107,5415,23775,ms
Task Path,:core:checkout:kspDebugKotlin,5405,23213,5410,23101,6089,24566,ms
Task Path,:core:audio:compileDebugKotlin,5988,29320,5932,29189,6694,30886,ms
Task Path,:core:audio:compileDebugJavaWithJavac,1078,1728,1041,1726,1352,1978,ms
Task Path,:core:cart:compileDebugKotlin,5640,31880,5591,31853,6208,33391,ms
Task Path,:core:checkout:compileDebugKotlin,5333,31645,5253,31719,6112,33385,ms
Task Path,:core:calendar:compileDebugKotlin,7008,34724,6989,34447,7581,36234,ms
Task Path,:core:comment:kspDebugKotlin,5377,23718,5390,23712,5948,25567,ms
Task Path,:core:contact:kspDebugKotlin,4719,20969,4618,20948,5522,22467,ms
Task Path,:core:document:kspDebugKotlin,5099,22249,5127,22290,5610,23298,ms
Task Path,:core:event:kspDebugKotlin,5220,22561,5259,22554,5991,23688,ms
Task Path,:core:comment:compileDebugKotlin,7084,35236,7083,35265,7868,36680,ms
Task Path,:core:contact:compileDebugKotlin,4079,29660,3953,29599,4751,31164,ms
Task Path,:core:comment:compileDebugJavaWithJavac,1065,1486,1089,1502,1270,1810,ms
Task Path,:core:event:compileDebugKotlin,4014,29874,4026,29823,4580,31630,ms
Task Path,:core:document:compileDebugKotlin,6237,35371,6196,35488,6960,37558,ms
Task Path,:core:feed:kspDebugKotlin,4237,21296,4140,21156,4988,23165,ms
Task Path,:core:file:kspDebugKotlin,4278,21304,4264,21396,4936,22711,ms
Task Path,:core:forecast:kspDebugKotlin,4958,22766,4925,22803,5606,24561,ms
Task Path,:core:gallery:kspDebugKotlin,4075,21126,4033,21097,4504,22372,ms
Task Path,:core:feed:compileDebugKotlin,3646,28829,3555,28888,4150,30362,ms
Task Path,:core:file:compileDebugKotlin,3954,31082,3860,31064,4603,32430,ms
Task Path,:core:forecast:compileDebugKotlin,3848,30542,3915,30514,4385,31487,ms
Task Path,:core:gallery:compileDebugKotlin,4624,32678,4622,32594,5534,34247,ms
Task Path,:core:group:kspDebugKotlin,4024,20797,4036,20436,4555,22014,ms
Task Path,:core:identity:kspDebugKotlin,4908,21808,4861,21733,5628,23144,ms
Task Path,:core:list:kspDebugKotlin,4103,20014,4067,20066,4743,21132,ms
Task Path,:core:group:compileDebugKotlin,3624,28021,3663,27979,4169,29534,ms
Task Path,:core:location:kspDebugKotlin,4154,20410,4095,20415,4767,21445,ms
Task Path,:core:list:compileDebugKotlin,2798,27213,2694,27228,3405,29054,ms
Task Path,:core:identity:compileDebugKotlin,4878,33979,4851,33854,5904,35673,ms
Task Path,:core:location:compileDebugKotlin,3828,31000,3742,30793,4335,32567,ms
Task Path,:core:log:kspDebugKotlin,4742,22051,4623,22162,5520,23410,ms
Task Path,:core:login:kspDebugKotlin,4296,20961,4297,20895,4661,21951,ms
Task Path,:core:log:compileDebugKotlin,3058,27590,3053,27447,3540,29509,ms
Task Path,:core:map:kspDebugKotlin,3997,20276,3934,20203,4422,21402,ms
Task Path,:core:media:kspDebugKotlin,4022,21112,4018,21177,4534,22402,ms
Task Path,:core:login:compileDebugKotlin,3843,32256,3906,32059,4319,34347,ms
Task Path,:core:message:kspDebugKotlin,3594,21124,3641,21281,4016,22858,ms
Task Path,:core:map:compileDebugKotlin,3200,30394,3234,30300,3702,32060,ms
Task Path,:core:media:compileDebugKotlin,3993,33028,3995,32826,4664,34838,ms
Task Path,:core:message:compileDebugKotlin,2312,24068,2324,23812,2678,25494,ms
Task Path,:core:metric:kspDebugKotlin,3918,20227,3961,20269,4437,21756,ms
Task Path,:core:network:kspDebugKotlin,3833,20111,3775,19723,4566,22385,ms
Task Path,:core:metric:compileDebugKotlin,2645,27710,2606,27561,3355,29365,ms
Task Path,:core:news:kspDebugKotlin,3736,20559,3676,20354,4276,22061,ms
Task Path,:core:network:compileDebugKotlin,2505,27800,2440,27661,3012,29488,ms
Task Path,:core:note:kspDebugKotlin,4160,23067,4072,22850,4675,24423,ms
Task Path,:core:notification:kspDebugKotlin,3962,21475,3927,21457,4560,22629,ms
Task Path,:core:news:compileDebugKotlin,3302,30117,3252,30120,3950,32021,ms
Task Path,:core:note:compileDebugKotlin,2887,28096,2859,27978,3397,29422,ms
Task Path,:core:photo:kspDebugKotlin,4162,22135,4076,21932,4723,23604,ms
Task Path,:core:notification:compileDebugKotlin,3696,33483,3648,33192,4436,35197,ms
Task Path,:core:playlist:kspDebugKotlin,3428,20363,3438,20257,3760,21466,ms
Task Path,:core:photo:compileDebugKotlin,2653,29547,2611,29539,3200,30656,ms
Task Path,:core:podcast:kspDebugKotlin,3513,22018,3377,21896,4057,23471,ms
Task Path,:core:playlist:compileDebugKotlin,2216,27059,2157,26941,2655,28504,ms
Task Path,:core:post:kspDebugKotlin,3411,20199,3437,20002,3893,21793,ms
Task Path,:core:podcast:compileDebugKotlin,2722,27873,2691,27800,3232,29342,ms
Task Path,:core:profile:kspDebugKotlin,3516,20869,3474,20850,4286,22557,ms
Task Path,:core:post:compileDebugKotlin,2778,29178,2815,29015,3163,29808,ms
Task Path,:core:push:kspDebugKotlin,3663,21200,3645,21139,4237,22181,ms
Task Path,:core:profile:compileDebugKotlin,2481,27559,2540,27623,2768,29050,ms
Task Path,:core:push-contact:kspDebugKotlin,4078,23166,4115,22921,4565,24613,ms
Task Path,:core:push:compileDebugKotlin,3412,32340,3393,32343,3909,33917,ms
Task Path,:core:report:kspDebugKotlin,3617,21574,3717,21532,4063,23162,ms
Task Path,:core:search:kspDebugKotlin,3788,22391,3789,22376,4308,23642,ms
Task Path,:core:push-contact:compileDebugKotlin,2341,26373,2257,26296,2704,27969,ms
Task Path,:core:report:compileDebugKotlin,2068,26509,2116,26454,2489,28032,ms
Task Path,:core:session:kspDebugKotlin,3477,21172,3448,21256,4120,22171,ms
Task Path,:core:search:compileDebugKotlin,3082,32232,3048,32187,3656,33972,ms
Task Path,:core:session:compileDebugKotlin,2830,30542,2792,30359,3428,32431,ms
Task Path,:core:share:kspDebugKotlin,3524,21299,3521,21154,4170,22683,ms
Task Path,:core:setting:kspDebugKotlin,4315,24990,4212,24893,5068,26605,ms
Task Path,:core:status:kspDebugKotlin,3781,21285,3745,21202,4418,22378,ms
Task Path,:core:share:compileDebugKotlin,1892,25327,1849,25142,2262,26775,ms
Task Path,:core:setting:compileDebugKotlin,3488,32649,3499,32508,4126,34388,ms
Task Path,:core:status:compileDebugKotlin,3310,33602,3323,33473,3979,36167,ms
Task Path,:core:sync:kspDebugKotlin,4003,22218,3981,22154,4636,24092,ms
Task Path,:core:task:kspDebugKotlin,3653,22791,3703,22512,4112,24446,ms
Task Path,:core:sync:compileDebugKotlin,2144,28168,2055,27930,2755,29618,ms
Task Path,:core:timer:kspDebugKotlin,3533,22209,3551,21890,4042,24142,ms
Task Path,:core:task:compileDebugKotlin,2522,28684,2485,28527,3069,30159,ms
Task Path,:core:todo:kspDebugKotlin,3464,21274,3416,21227,4228,22681,ms
Task Path,:core:timer:compileDebugKotlin,2259,27920,2204,27739,2711,29348,ms
Task Path,:core:todo:compileDebugKotlin,1838,26330,1815,26233,2220,27548,ms
Task Path,:core:user:kspDebugKotlin,3363,21273,3326,21030,4034,22754,ms
Task Path,:core:video:kspDebugKotlin,3254,21654,3223,21543,3710,23137,ms
Task Path,:core:weather:kspDebugKotlin,3405,21774,3383,21762,3908,23021,ms
Task Path,:core:video:compileDebugKotlin,1793,24508,1799,24454,2123,25555,ms
Task Path,:core:user:compileDebugKotlin,2820,30813,2785,30585,3217,32618,ms
Task Path,:feature:cart-contact:kspDebugKotlin,3726,22375,3770,22454,4185,23549,ms
Task Path,:core:weather:compileDebugKotlin,2883,31836,2865,31854,3281,33762,ms
Task Path,:feature:cart-contact:compileDebugKotlin,2854,31614,2766,31131,3316,33283,ms
Task Path,:feature:setting-contact:kspDebugKotlin,3640,22967,3553,22881,4228,24603,ms
Task Path,:feature:user-contact:kspDebugKotlin,3307,21452,3286,21239,3650,22643,ms
Task Path,:feature:calendar-contact:kspDebugKotlin,3341,21399,3233,21285,3903,22393,ms
Task Path,:feature:calendar-contact:compileDebugKotlin,2367,28144,2289,27998,2779,29500,ms
Task Path,:feature:file-contact:kspDebugKotlin,3492,20869,3452,20672,4049,22042,ms
Task Path,:feature:list-contact:kspDebugKotlin,3442,21213,3406,21172,4041,22164,ms
Task Path,:feature:network-contact:kspDebugKotlin,3549,21214,3536,21007,4150,22261,ms
Task Path,:feature:file-contact:compileDebugKotlin,2888,32047,2826,31792,3403,33734,ms
Task Path,:feature:setting-contact:compileDebugKotlin,2904,32226,2863,32240,3344,33864,ms
Task Path,:feature:list-contact:compileDebugKotlin,3192,34067,3172,33973,3875,35989,ms
Task Path,:feature:network-contact:compileDebugKotlin,3362,34835,3345,34576,3916,36523,ms
Task Path,:feature:user-contact:compileDebugKotlin,2379,28289,2364,27983,2861,30062,ms
Task Path,:feature:account-contact:kspDebugKotlin,3261,20642,3269,20594,3834,23017,ms
Task Path,:feature:alarm-contact:kspDebugKotlin,3884,22449,3886,22243,4385,24217,ms
Task Path,:feature:analytics-contact:kspDebugKotlin,3328,21019,3318,20750,3764,22577,ms
Task Path,:feature:account-contact:compileDebugKotlin,1996,26237,1924,26182,2652,27509,ms
Task Path,:domain:account-login:kspDebugKotlin,3292,20523,3278,20634,3757,21588,ms
Task Path,:feature:alarm-contact:compileDebugKotlin,2142,27345,2120,27117,2673,28869,ms
Task Path,:feature:analytics-contact:compileDebugKotlin,2073,26539,1998,26593,2679,27481,ms
Task Path,:domain:account-login:compileDebugKotlin,2603,29388,2448,29321,3392,30524,ms
Task Path,:feature:article-contact:kspDebugKotlin,3445,20998,3326,21017,4168,22060,ms
Task Path,:feature:comment-contact:kspDebugKotlin,3323,21647,3297,21558,3788,22792,ms
Task Path,:feature:audio-contact:kspDebugKotlin,3360,21685,3230,21642,3975,22885,ms
Task Path,:feature:article-contact:compileDebugKotlin,2123,28327,2079,28423,2518,30198,ms
Task Path,:feature:contact-contact:kspDebugKotlin,3424,21539,3337,21491,4037,22629,ms
Task Path,:feature:audio-contact:compileDebugKotlin,3018,33615,2927,33530,3586,35277,ms
Task Path,:feature:comment-contact:compileDebugKotlin,3009,33642,2855,33511,3857,35626,ms
Task Path,:feature:contact-contact:compileDebugKotlin,2832,32782,2726,32448,3636,34273,ms
Task Path,:feature:document-contact:kspDebugKotlin,3542,22685,3390,22659,4363,23912,ms
Task Path,:feature:event-contact:kspDebugKotlin,2921,20438,2915,20227,3325,21967,ms
Task Path,:feature:feed-contact:kspDebugKotlin,3099,21082,3122,20905,3439,22476,ms
Task Path,:feature:document-contact:compileDebugKotlin,2502,32475,2478,32478,2912,34677,ms
Task Path,:feature:forecast-contact:kspDebugKotlin,2933,21014,2921,20994,3292,22227,ms
Task Path,:feature:event-contact:compileDebugKotlin,1771,26957,1723,26921,2139,28257,ms
Task Path,:feature:feed-contact:compileDebugKotlin,2586,32165,2538,32226,3018,33912,ms
Task Path,:feature:forecast-contact:compileDebugKotlin,2112,28946,2059,28902,2628,30305,ms
Task Path,:feature:gallery-contact:kspDebugKotlin,3646,22797,3546,22853,4141,24029,ms
Task Path,:feature:group-contact:kspDebugKotlin,3175,21443,3157,21289,3644,22330,ms
Task Path,:feature:identity-contact:kspDebugKotlin,3312,20977,3297,20983,3824,21679,ms
Task Path,:feature:gallery-contact:compileDebugKotlin,2566,32927,2501,32815,3159,34345,ms
Task Path,:feature:location-contact:kspDebugKotlin,3349,21614,3284,21606,3794,22889,ms
Task Path,:feature:group-contact:compileDebugKotlin,2959,34896,2920,34794,3472,36594,ms
Task Path,:feature:identity-contact:compileDebugKotlin,2716,33921,2642,33810,3193,35843,ms
Task Path,:feature:location-contact:compileDebugKotlin,3045,35582,3016,35351,3479,37140,ms
Task Path,:feature:log-contact:kspDebugKotlin,3233,21485,3233,21347,3721,22888,ms
Task Path,:feature:login-contact:kspDebugKotlin,3056,21554,3089,21734,3557,22733,ms
Task Path,:feature:map-contact:kspDebugKotlin,3118,20954,3065,20900,3687,21789,ms
Task Path,:feature:log-contact:compileDebugKotlin,1961,28273,1870,27982,2406,30489,ms
Task Path,:feature:login-contact:compileDebugKotlin,2222,30945,2117,30923,2816,31984,ms
Task Path,:feature:media-contact:kspDebugKotlin,3253,21903,3149,21931,3792,22911,ms
Task Path,:feature:map-contact:compileDebugKotlin,2549,33419,2492,33191,3154,34773,ms
Task Path,:feature:media-contact:compileDebugKotlin,2183,30419,2076,30226,2838,32074,ms
Task Path,:feature:metric-contact:kspDebugKotlin,3344,22972,3335,23109,3900,23925,ms
Task Path,:feature:news-contact:kspDebugKotlin,3347,21710,3282,21561,4062,23183,ms
Task Path,:feature:note-contact:kspDebugKotlin,3137,21862,3075,21939,3642,22813,ms
Task Path,:feature:news-contact:compileDebugKotlin,1604,27395,1570,27231,2027,28534,ms
Task Path,:feature:metric-contact:compileDebugKotlin,2360,31084,2296,30732,2809,32567,ms
Task Path,:feature:notification-contact:kspDebugKotlin,3177,22424,3125,22594,3585,23382,ms
Task Path,:feature:note-contact:compileDebugKotlin,2721,34057,2691,33901,3287,36311,ms
Task Path,:feature:notification-contact:compileDebugKotlin,2602,32913,2541,32903,3182,34618,ms
Task Path,:feature:playlist-contact:kspDebugKotlin,3118,22493,3083,22404,3524,23749,ms
Task Path,:feature:podcast-contact:kspDebugKotlin,3275,22384,3199,22099,3729,23653,ms
Task Path,:feature:post-contact:kspDebugKotlin,2981,21203,2881,21264,3522,22168,ms
Task Path,:feature:podcast-contact:compileDebugKotlin,1776,28420,1716,28337,2322,29758,ms
Task Path,:feature:playlist-contact:compileDebugKotlin,2428,31459,2380,31548,2839,33016,ms
Task Path,:feature:post-contact:compileDebugKotlin,1723,27008,1647,27150,2153,28320,ms
Task Path,:feature:profile-contact:kspDebugKotlin,3115,21958,3109,21876,3611,23135,ms
Task Path,:feature:profile-contact:compileDebugKotlin,2496,31398,2445,31625,3067,32596,ms
Task Path,:feature:push-login:kspDebugKotlin,3057,21118,3033,20980,3633,22630,ms
Task Path,:feature:report-contact:kspDebugKotlin,3097,21092,3051,20918,3660,22224,ms
Task Path,:feature:search-contact:kspDebugKotlin,2838,21322,2837,21025,3408,22487,ms
Task Path,:feature:push-login:compileDebugKotlin,2084,28692,2033,28649,2486,29937,ms
Task Path,:feature:report-contact:compileDebugKotlin,1869,28757,1814,28769,2369,29902,ms
Task Path,:feature:share-contact:kspDebugKotlin,3003,22359,2970,22505,3597,23540,ms
Task Path,:feature:search-contact:compileDebugKotlin,2345,33446,2285,33488,2899,34960,ms
Task Path,:feature:share-contact:compileDebugKotlin,1614,27015,1561,26719,1953,28515,ms
Task Path,:feature:status-contact:kspDebugKotlin,2663,21444,2586,21581,3174,22522,ms
Task Path,:feature:sync-contact:kspDebugKotlin,2798,21589,2727,21499,3251,23014,ms
Task Path,:feature:task-contact:kspDebugKotlin,2717,21610,2711,21453,3242,23239,ms
Task Path,:feature:status-contact:compileDebugKotlin,1630,26064,1592,26090,2103,27372,ms
Task Path,:feature:sync-contact:compileDebugKotlin,1453,25730,1451,25591,1850,26802,ms
Task Path,:feature:timer-contact:kspDebugKotlin,2792,21876,2689,21803,3563,23144,ms
Task Path,:feature:task-contact:compileDebugKotlin,2640,33408,2561,33181,3243,35212,ms
Task Path,:feature:todo-contact:kspDebugKotlin,2738,21474,2667,21575,3437,22450,ms
Task Path,:feature:timer-contact:compileDebugKotlin,2615,32271,2478,32091,3143,34296,ms
Task Path,:feature:video-contact:kspDebugKotlin,2939,22374,2943,22429,3440,23879,ms
Task Path,:feature:todo-contact:compileDebugKotlin,1579,25821,1538,25827,2015,27059,ms
Task Path,:feature:weather-contact:kspDebugKotlin,2934,21570,2887,21796,3556,22672,ms
Task Path,:feature:video-contact:compileDebugKotlin,2110,29152,2060,29290,2687,30856,ms
Task Path,:feature:weather-contact:compileDebugKotlin,1709,27029,1628,26942,2112,28072,ms
Task Path,:feature:checkout-contact:kspDebugKotlin,2816,20772,2725,20696,3608,22087,ms
Task Path,:feature:contact-login:kspDebugKotlin,3457,22569,3258,22388,4184,23780,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,1519,24939,1356,25035,2077,25887,ms
Task Path,:feature:message-contact:kspDebugKotlin,2975,21494,2866,21295,3567,22654,ms
Task Path,:feature:contact-login:compileDebugKotlin,1737,26593,1688,26616,2079,27713,ms
Task Path,:domain:alarm-login:kspDebugKotlin,3448,22270,3434,22131,4011,23610,ms
Task Path,:feature:message-contact:compileDebugKotlin,1949,27785,1909,27840,2237,29211,ms
Task Path,:domain:alarm-login:compileDebugKotlin,2783,32172,2729,31940,3240,33936,ms
Task Path,:feature:photo-contact:kspDebugKotlin,3004,21015,2998,21024,3501,22019,ms
Task Path,:feature:session-contact:kspDebugKotlin,3113,20626,3063,20475,3656,21988,ms
Task Path,:feature:photo-contact:compileDebugKotlin,1712,26298,1607,26260,2271,27636,ms
Task Path,:feature:session-contact:compileDebugKotlin,1912,27092,1882,27236,2222,28340,ms
Task Path,:domain:calendar-login:kspDebugKotlin,3196,22470,3111,22386,3858,23957,ms
Task Path,:domain:checkout-login:kspDebugKotlin,3105,21617,3054,21597,3724,23361,ms
Task Path,:domain:analytics-login:kspDebugKotlin,2842,20743,2741,20707,3501,21868,ms
Task Path,:domain:comment-login:kspDebugKotlin,3118,22321,3031,22081,3740,23857,ms
Task Path,:domain:article-login:kspDebugKotlin,3100,21576,2942,21691,3766,22633,ms
Task Path,:domain:audio-login:kspDebugKotlin,2851,20592,2783,20488,3340,22351,ms
Task Path,:domain:analytics-login:compileDebugKotlin,1810,28163,1785,27930,2201,29773,ms
Task Path,:domain:article-login:compileDebugKotlin,1664,26708,1578,26678,1982,27887,ms
Task Path,:domain:calendar-login:compileDebugKotlin,2698,32596,2613,32518,3065,34372,ms
Task Path,:domain:audio-login:compileDebugKotlin,2127,29505,2083,29546,2402,31159,ms
Task Path,:domain:checkout-login:compileDebugKotlin,2633,33017,2562,32809,3076,35038,ms
Task Path,:domain:comment-login:compileDebugKotlin,2768,33090,2730,32952,3392,35243,ms
Task Path,:domain:cart-login:kspDebugKotlin,2933,20822,2919,20822,3423,22352,ms
Task Path,:domain:contact-identity:kspDebugKotlin,2927,21822,2828,21978,3579,23172,ms
Task Path,:domain:cart-login:compileDebugKotlin,1832,28241,1790,28113,2206,30145,ms
Task Path,:domain:contact-identity:compileDebugKotlin,1717,26720,1641,26549,2324,28048,ms
Task Path,:domain:document-login:kspDebugKotlin,2889,21687,2917,21643,3348,22778,ms
Task Path,:domain:event-login:kspDebugKotlin,3015,21386,2998,21422,3699,22457,ms
Task Path,:domain:feed-login:kspDebugKotlin,2874,21319,2845,21292,3377,22345,ms
Task Path,:domain:document-login:compileDebugKotlin,1638,26788,1600,26644,1897,28149,ms
Task Path,:domain:file-login:kspDebugKotlin,2998,22000,2913,21978,3470,23709,ms
Task Path,:domain:event-login:compileDebugKotlin,2269,31576,2226,31642,2868,33229,ms
Task Path,:domain:feed-login:compileDebugKotlin,2012,30178,1982,29968,2344,32074,ms
Task Path,:domain:forecast-login:kspDebugKotlin,2904,22414,2893,22315,3407,23759,ms
Task Path,:domain:file-login:compileDebugKotlin,2369,31682,2305,31591,2891,33376,ms
Task Path,:domain:gallery-login:kspDebugKotlin,2799,21151,2770,20956,3254,22920,ms
Task Path,:domain:forecast-login:compileDebugKotlin,2275,30127,2195,30084,2736,31781,ms
Task Path,:domain:group-login:kspDebugKotlin,3514,23757,3547,23712,4090,25368,ms
Task Path,:domain:gallery-login:compileDebugKotlin,1641,26239,1578,25908,2070,28613,ms
Task Path,:domain:identity-login:kspDebugKotlin,2918,21432,2788,21257,3682,23336,ms
Task Path,:domain:group-login:compileDebugKotlin,2243,31385,2239,31030,2679,33409,ms
Task Path,:domain:identity-login:compileDebugKotlin,2013,29649,2000,29338,2434,31356,ms
Task Path,:domain:list-login:kspDebugKotlin,3213,22411,3200,22463,3757,23859,ms
Task Path,:domain:location-login:kspDebugKotlin,3060,22334,3101,22356,3566,24133,ms
Task Path,:domain:list-login:compileDebugKotlin,1572,26058,1527,25981,2121,27888,ms
Task Path,:domain:log-login:kspDebugKotlin,2917,21752,2804,21670,3596,23561,ms
Task Path,:domain:location-login:compileDebugKotlin,2320,32727,2193,32528,2947,35075,ms
Task Path,:domain:login-identity:kspDebugKotlin,3133,22377,3086,22350,3763,24264,ms
Task Path,:domain:log-login:compileDebugKotlin,1773,28354,1736,28353,2157,29559,ms
Task Path,:domain:login-login:kspDebugKotlin,2667,21251,2587,21145,3234,22607,ms
Task Path,:domain:login-identity:compileDebugKotlin,1469,26600,1390,26484,1830,27729,ms
Task Path,:domain:map-login:kspDebugKotlin,2586,21063,2462,21038,3162,22323,ms
Task Path,:domain:login-login:compileDebugKotlin,1424,26012,1347,25767,1827,27655,ms
Task Path,:domain:map-login:compileDebugKotlin,1424,26422,1364,26485,1981,27655,ms
Task Path,:domain:media-login:kspDebugKotlin,2933,22745,2872,22647,3492,24028,ms
Task Path,:domain:message-login:kspDebugKotlin,2523,20772,2504,20617,3003,21917,ms
Task Path,:domain:media-login:compileDebugKotlin,1982,30642,1955,30500,2360,32797,ms
Task Path,:domain:metric-login:kspDebugKotlin,3124,22719,3043,22530,3591,23935,ms
Task Path,:domain:message-login:compileDebugKotlin,1878,29178,1833,29237,2355,31468,ms
Task Path,:domain:network-login:kspDebugKotlin,2838,21627,2752,21491,3486,22936,ms
Task Path,:domain:metric-login:compileDebugKotlin,2031,30244,1985,30045,2462,32214,ms
Task Path,:domain:news-login:kspDebugKotlin,2661,20774,2636,20643,3155,22077,ms
Task Path,:domain:network-login:compileDebugKotlin,1660,26722,1592,26545,2182,28301,ms
Task Path,:domain:note-login:kspDebugKotlin,2578,20427,2551,20385,2994,21611,ms
Task Path,:domain:news-login:compileDebugKotlin,1458,26091,1406,26029,1769,27552,ms
Task Path,:domain:note-login:compileDebugKotlin,1650,28079,1596,28097,2015,29475,ms
Task Path,:domain:notification-login:kspDebugKotlin,2665,21102,2677,20957,3138,22477,ms
Task Path,:domain:photo-login:kspDebugKotlin,2710,21262,2673,21217,3155,22551,ms
Task Path,:domain:notification-login:compileDebugKotlin,1957,29473,1884,29482,2375,30872,ms
Task Path,:domain:playlist-login:kspDebugKotlin,2758,21255,2723,21381,3316,22240,ms
Task Path,:domain:photo-login:compileDebugKotlin,2135,30694,2074,30552,2646,32532,ms
Task Path,:domain:podcast-login:kspDebugKotlin,2803,21155,2732,20867,3265,22936,ms
Task Path,:domain:playlist-login:compileDebugKotlin,1688,27870,1714,27814,2014,29300,ms
Task Path,:domain:podcast-login:compileDebugKotlin,1941,29878,1913,29694,2275,31577,ms
Task Path,:domain:post-login:kspDebugKotlin,2674,21438,2625,21440,3131,22614,ms
Task Path,:domain:profile-login:kspDebugKotlin,2953,22059,2894,21965,3447,23362,ms
Task Path,:domain:push-identity:kspDebugKotlin,2823,21538,2675,21231,3506,23077,ms
Task Path,:domain:post-login:compileDebugKotlin,1806,27995,1777,27733,2254,29875,ms
Task Path,:domain:profile-login:compileDebugKotlin,2191,31872,2162,32021,2611,34016,ms
Task Path,:domain:report-login:kspDebugKotlin,2803,20805,2807,20856,3301,22108,ms
Task Path,:domain:push-identity:compileDebugKotlin,1564,27131,1508,27011,1968,28864,ms
Task Path,:domain:report-login:compileDebugKotlin,1773,28436,1696,28229,2226,30230,ms
Task Path,:domain:search-login:kspDebugKotlin,3324,23885,3264,23662,4075,25481,ms
Task Path,:domain:setting-login:kspDebugKotlin,2754,21326,2695,20940,3453,23083,ms
Task Path,:domain:session-login:kspDebugKotlin,3137,22152,3118,21971,3856,23562,ms
Task Path,:domain:search-login:compileDebugKotlin,2316,32859,2207,32498,2811,34910,ms
Task Path,:domain:setting-login:compileDebugKotlin,1671,27877,1616,27938,2090,29612,ms
Task Path,:domain:session-login:compileDebugKotlin,1451,26327,1359,26297,1884,27214,ms
Task Path,:domain:share-login:kspDebugKotlin,2845,21548,2811,21328,3463,22893,ms
Task Path,:domain:share-login:compileDebugKotlin,1723,29307,1682,29198,2074,30865,ms
Task Path,:domain:status-login:kspDebugKotlin,2625,21890,2586,21726,3081,23030,ms
Task Path,:domain:sync-login:kspDebugKotlin,2840,21382,2765,21222,3411,22354,ms
Task Path,:domain:task-login:kspDebugKotlin,2859,21552,2772,21368,3336,22766,ms
Task Path,:domain:sync-login:compileDebugKotlin,2279,32637,2206,32557,2843,33996,ms
Task Path,:domain:status-login:compileDebugKotlin,2330,33181,2170,33302,2988,34699,ms
Task Path,:domain:task-login:compileDebugKotlin,2172,32352,2098,32347,2842,34031,ms
Task Path,:domain:timer-login:kspDebugKotlin,3405,23976,3353,24050,3977,25341,ms
Task Path,:domain:timer-login:compileDebugKotlin,2257,33836,2173,33790,2807,35155,ms
Task Path,:domain:todo-login:kspDebugKotlin,2754,21804,2744,21725,3301,23662,ms
Task Path,:domain:user-login:kspDebugKotlin,3214,22755,3198,22458,3789,24225,ms
Task Path,:domain:video-login:kspDebugKotlin,3029,22674,3017,22619,3363,23938,ms
Task Path,:domain:todo-login:compileDebugKotlin,1966,29946,1856,29867,2491,31671,ms
Task Path,:domain:weather-login:kspDebugKotlin,2693,21119,2624,20906,3465,22648,ms
Task Path,:domain:user-login:compileDebugKotlin,1800,29422,1715,29490,2222,31082,ms
