Category,Metric,varianta_baseline Mean,variantb_kotlin-2.4.20 Mean,varianta_baseline P50,variantb_kotlin-2.4.20 P50,varianta_baseline P90,variantb_kotlin-2.4.20 P90,Unit
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,7,7,6,7,12,12,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,61,45,53,40,75,106,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,44,46,35,37,58,61,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,6,6,5,5,10,10,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,29,22,20,22,51,37,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,21,23,18,19,29,31,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,497,519,487,487,665,760,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,22,26,14,15,24,25,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,334,340,314,328,437,465,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,34,56,35,37,45,63,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,6,6,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,12,11,6,6,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,8,9,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,11,7,10,14,14,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,41,44,40,44,60,61,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,27,23,20,21,34,34,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,8,8,7,7,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,7,7,6,6,12,12,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,4,4,8,9,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,10,10,5,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,41,43,38,40,60,63,ms
Task Type,com.android.build.gradle.tasks.BundleAar,18,19,17,18,28,28,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,2142,2155,2180,2111,2766,2890,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2666,2684,2572,2655,3601,3422,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,993,990,941,1022,1460,1277,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1225,1241,1227,1252,1658,1692,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,6,7,6,8,11,13,ms
Task Path,:build-logic:convention:compileKotlin,8530,8567,8729,8738,9413,9573,ms
Task Path,:core:cart:parseDebugLocalResources,2113,2084,1924,1983,2883,2700,ms
Task Path,:model:article-contact:parseDebugLocalResources,2124,1884,1919,1883,2892,2705,ms
Task Path,:core:checkout:parseDebugLocalResources,2046,1947,1823,1937,2841,2631,ms
Task Path,:app:app:processDebugNavigationResources,2091,1965,1901,1972,3112,2533,ms
Task Path,:core:checkout:kspDebugKotlin,7995,7951,8207,8332,8777,8907,ms
Task Path,:core:cart:kspDebugKotlin,7720,7698,7880,7961,8541,8667,ms
Task Path,:core:contact:kspDebugKotlin,7390,7480,7559,7753,8172,8422,ms
Task Path,:core:comment:kspDebugKotlin,7738,7776,7919,8029,8698,8628,ms
Task Path,:core:contact:compileDebugKotlin,8910,14537,9176,15032,10314,16150,ms
Task Path,:core:comment:compileDebugKotlin,8593,14304,8870,14734,9597,15785,ms
Task Path,:core:cart:compileDebugKotlin,8867,14530,9136,15007,10170,16137,ms
Task Path,:core:checkout:compileDebugKotlin,8609,14263,8854,14744,9529,15597,ms
Task Path,:core:contact:compileDebugJavaWithJavac,2978,2947,2870,2865,4028,3748,ms
Task Path,:core:cart:compileDebugJavaWithJavac,3030,2965,2913,2886,4090,3771,ms
Task Path,:core:comment:compileDebugJavaWithJavac,3013,2978,2896,2894,4135,3793,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3028,2976,2938,2896,4069,3794,ms
Task Path,:core:group:kspDebugKotlin,2935,3167,2856,3190,3728,3968,ms
Task Path,:core:location:kspDebugKotlin,2923,3102,2852,3202,3766,3945,ms
Task Path,:core:feed:kspDebugKotlin,2981,3196,2956,3271,3606,4065,ms
Task Path,:core:identity:kspDebugKotlin,3115,3267,3083,3274,4095,3981,ms
Task Path,:core:feed:compileDebugKotlin,4947,5517,4944,5567,6141,6406,ms
Task Path,:core:group:compileDebugKotlin,5265,5820,5330,5874,6398,6758,ms
Task Path,:core:location:compileDebugKotlin,5185,5811,5204,6102,6635,6577,ms
Task Path,:core:identity:compileDebugKotlin,5197,5767,5235,5848,5950,6718,ms
Task Path,:core:network:kspDebugKotlin,2431,2651,2358,2581,3173,3397,ms
Task Path,:core:message:kspDebugKotlin,2537,2750,2427,2657,3264,3538,ms
Task Path,:core:login:kspDebugKotlin,2674,2946,2581,2845,3552,3884,ms
Task Path,:core:notification:kspDebugKotlin,2388,2605,2337,2626,3028,3367,ms
Task Path,:core:message:compileDebugKotlin,4230,4476,4298,4431,5134,5621,ms
Task Path,:core:login:compileDebugKotlin,4247,4631,4092,4728,5355,5891,ms
Task Path,:core:notification:compileDebugKotlin,4500,4670,4524,4442,5475,6148,ms
Task Path,:core:network:compileDebugKotlin,4550,4699,4379,4716,5872,6102,ms
Task Path,:core:post:kspDebugKotlin,2548,2655,2578,2581,3288,3526,ms
Task Path,:core:profile:kspDebugKotlin,2578,2655,2574,2524,3151,3478,ms
Task Path,:core:push:kspDebugKotlin,2425,2451,2369,2461,3198,3068,ms
Task Path,:core:search:kspDebugKotlin,2555,2570,2562,2492,3274,3413,ms
Task Path,:core:push:compileDebugKotlin,3959,4218,3890,4274,4769,5169,ms
Task Path,:core:post:compileDebugKotlin,4120,4362,4087,4288,5280,5645,ms
Task Path,:core:search:compileDebugKotlin,3848,3993,3937,4066,4799,4961,ms
Task Path,:core:profile:compileDebugKotlin,4023,4199,4039,4167,4862,5163,ms
Task Path,:core:user:kspDebugKotlin,2308,2355,2221,2203,3186,3201,ms
Task Path,:core:share:kspDebugKotlin,2551,2560,2422,2541,3355,3257,ms
Task Path,:core:setting:kspDebugKotlin,3715,3669,3730,3677,4660,4654,ms
Task Path,:core:sync:kspDebugKotlin,3514,3434,3485,3361,4440,4622,ms
Task Path,:core:user:compileDebugKotlin,4444,4436,4420,4543,5276,5380,ms
Task Path,:core:share:compileDebugKotlin,4387,4417,4338,4478,5314,5535,ms
Task Path,:core:sync:compileDebugKotlin,4025,3956,3983,4024,5143,5289,ms
Task Path,:core:setting:compileDebugKotlin,3959,4009,3928,3876,5027,5207,ms
Task Path,:feature:alarm:kspDebugKotlin,2215,2273,2198,2229,2726,2825,ms
Task Path,:feature:account:kspDebugKotlin,2140,2411,2073,2412,2758,3226,ms
Task Path,:feature:calendar:kspDebugKotlin,2198,2321,2261,2344,2725,2969,ms
Task Path,:feature:document:kspDebugKotlin,2240,2294,2165,2191,2939,3037,ms
Task Path,:feature:analytics:kspDebugKotlin,2309,2338,2207,2352,2950,2973,ms
Task Path,:feature:alarm:compileDebugKotlin,3803,4092,3794,4117,4970,5086,ms
Task Path,:feature:calendar:compileDebugKotlin,3727,4107,3672,4099,4562,5270,ms
Task Path,:feature:account:compileDebugKotlin,3548,3891,3559,3867,4142,4814,ms
Task Path,:feature:analytics:compileDebugKotlin,3825,3870,3952,3790,4673,4742,ms
Task Path,:feature:file:kspDebugKotlin,2291,2421,2075,2415,3503,3132,ms
Task Path,:feature:document:compileDebugKotlin,3803,3974,3798,4014,4674,4904,ms
Task Path,:feature:event:kspDebugKotlin,3231,3436,3089,3298,4330,4642,ms
Task Path,:feature:forecast:kspDebugKotlin,3361,3443,3260,3521,4283,4668,ms
Task Path,:feature:list:kspDebugKotlin,2502,2401,2487,2425,3245,3015,ms
Task Path,:feature:file:compileDebugKotlin,3520,3669,3445,3611,4561,4607,ms
Task Path,:feature:event:compileDebugKotlin,3708,3512,3868,3430,4544,4408,ms
Task Path,:feature:list:compileDebugKotlin,3753,3746,3724,3666,4628,5026,ms
Task Path,:feature:forecast:compileDebugKotlin,3406,3518,3520,3361,4429,4613,ms
Task Path,:feature:log:kspDebugKotlin,3239,3301,3253,3193,3866,4309,ms
Task Path,:feature:metric:kspDebugKotlin,2392,2421,2356,2469,2932,3087,ms
Task Path,:feature:report:kspDebugKotlin,2534,2539,2631,2509,3097,3341,ms
Task Path,:feature:note:kspDebugKotlin,3247,3254,3151,3311,3969,4010,ms
Task Path,:feature:log:compileDebugKotlin,3426,3551,3441,3688,4283,4242,ms
Task Path,:feature:metric:compileDebugKotlin,3331,3505,3222,3541,4054,4525,ms
Task Path,:feature:note:compileDebugKotlin,3270,3381,3217,3391,4262,4323,ms
Task Path,:feature:report:compileDebugKotlin,3441,3446,3413,3356,4136,4399,ms
Task Path,:feature:session:kspDebugKotlin,2254,2218,2258,2182,2847,2930,ms
Task Path,:feature:status:kspDebugKotlin,2224,2107,2115,2055,2957,2584,ms
Task Path,:feature:timer:kspDebugKotlin,2276,2339,2147,2374,2970,2856,ms
Task Path,:feature:task:kspDebugKotlin,2448,2356,2510,2364,3128,2890,ms
Task Path,:feature:session:compileDebugKotlin,3471,3457,3445,3463,4311,4477,ms
Task Path,:feature:status:compileDebugKotlin,3298,3270,3223,3205,4169,4086,ms
Task Path,:feature:todo:kspDebugKotlin,2252,2360,2157,2256,3089,3001,ms
Task Path,:feature:task:compileDebugKotlin,3218,3238,3125,3214,4175,4020,ms
Task Path,:feature:timer:compileDebugKotlin,3578,3193,3432,3123,4665,4050,ms
Task Path,:feature:todo:compileDebugKotlin,3336,3226,3341,3198,4369,4014,ms
Task Path,:feature:weather:kspDebugKotlin,2151,2150,2050,2034,2999,2957,ms
Task Path,:feature:map:kspDebugKotlin,2068,2181,1944,2162,2703,2874,ms
Task Path,:domain:podcast:kspDebugKotlin,2068,2165,2085,2061,2633,2939,ms
Task Path,:domain:news:kspDebugKotlin,2151,2271,2085,2215,2956,3165,ms
Task Path,:feature:weather:compileDebugKotlin,3155,3227,3032,3224,3999,4044,ms
Task Path,:feature:map:compileDebugKotlin,3104,3000,2970,3059,4274,3894,ms
Task Path,:domain:podcast:compileDebugKotlin,2891,2897,2769,2865,3804,3552,ms
Task Path,:domain:news:compileDebugKotlin,2858,2861,2878,3006,3656,3567,ms
Task Path,:domain:article:kspDebugKotlin,2174,2134,2165,2079,2858,2679,ms
Task Path,:domain:audio:kspDebugKotlin,2152,2080,2153,1996,2801,2683,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,2276,2517,2285,2507,2917,3311,ms
Task Path,:domain:cart-contact:kspDebugKotlin,2972,3151,3100,3261,3915,4042,ms
Task Path,:domain:article:compileDebugKotlin,3007,3439,3023,3184,3804,4813,ms
Task Path,:domain:audio:compileDebugKotlin,3190,3546,3169,3264,3886,4846,ms
Task Path,:domain:cart-contact:compileDebugKotlin,2949,3210,2932,3029,3703,4519,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,2887,3240,2828,3109,3781,4479,ms
Task Path,:domain:contact-contact:kspDebugKotlin,2377,2435,2389,2534,3014,3091,ms
Task Path,:domain:comment-contact:kspDebugKotlin,2308,2490,2306,2428,2948,3418,ms
Task Path,:domain:feed-contact:kspDebugKotlin,2032,2028,2130,1994,2461,2405,ms
Task Path,:domain:gallery:kspDebugKotlin,2225,2302,2115,2193,2788,3068,ms
Task Path,:domain:contact-contact:compileDebugKotlin,2762,2802,2752,2893,3423,3305,ms
Task Path,:domain:comment-contact:compileDebugKotlin,2973,3110,3101,3260,3771,3667,ms
Task Path,:domain:feed-contact:compileDebugKotlin,3013,2958,2969,2997,3922,3802,ms
Task Path,:domain:gallery:compileDebugKotlin,2827,2916,2777,2804,3692,4100,ms
Task Path,:domain:identity-contact:kspDebugKotlin,1963,1958,2023,1925,2447,2442,ms
Task Path,:domain:login-contact:kspDebugKotlin,2255,2467,2200,2423,2849,3683,ms
Task Path,:domain:media:kspDebugKotlin,2185,2293,2137,2302,2676,3272,ms
Task Path,:domain:photo:kspDebugKotlin,2781,3000,2687,3037,3825,3819,ms
Task Path,:domain:identity-contact:compileDebugKotlin,2704,2845,2653,2718,3574,3868,ms
Task Path,:domain:login-contact:compileDebugKotlin,2865,2891,2829,2983,3710,3825,ms
Task Path,:domain:media:compileDebugKotlin,2830,2927,2596,2972,4048,3991,ms
Task Path,:domain:photo:compileDebugKotlin,2857,2822,2790,2888,3648,3439,ms
Task Path,:domain:playlist:kspDebugKotlin,2122,2258,2066,2248,2893,2851,ms
Task Path,:domain:profile-contact:kspDebugKotlin,2046,2246,1948,2216,2602,2853,ms
Task Path,:domain:post-contact:kspDebugKotlin,2940,3108,2948,3124,3697,3874,ms
Task Path,:domain:playlist:compileDebugKotlin,2858,2968,2783,2980,3690,3481,ms
Task Path,:domain:push-contact:kspDebugKotlin,2653,2913,2590,2774,3454,3805,ms
Task Path,:domain:profile-contact:compileDebugKotlin,2453,2553,2469,2490,3108,3332,ms
Task Path,:domain:user-contact:kspDebugKotlin,2111,2269,2140,2146,2700,3200,ms
Task Path,:domain:post-contact:compileDebugKotlin,2621,2743,2576,2595,3464,3510,ms
Task Path,:domain:video:kspDebugKotlin,2045,2282,2056,2153,2702,3087,ms
Task Path,:domain:push-contact:compileDebugKotlin,2886,2773,2706,2633,4275,3761,ms
Task Path,:domain:user-contact:compileDebugKotlin,2838,2784,2809,2847,3852,3530,ms
Task Path,:domain:video:compileDebugKotlin,2807,2732,2726,2813,3713,3592,ms
Task Path,:repository:group-contact:kspDebugKotlin,1933,2135,1906,2066,2510,2953,ms
Task Path,:repository:account-contact:kspDebugKotlin,2417,2500,2306,2496,3260,3482,ms
Task Path,:repository:group-contact:compileDebugKotlin,2578,2558,2485,2532,3463,3408,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,2006,2042,1909,1927,2580,2708,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,2668,2749,2599,2645,3696,3952,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,2036,2060,1958,2083,2944,2661,ms
Task Path,:repository:account-contact:compileDebugKotlin,2683,2714,2673,2637,3584,3461,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2633,2754,2511,2629,3510,3548,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2413,2659,2404,2591,3035,3476,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,2346,2635,2296,2596,3225,3567,ms
Task Path,:repository:event-contact:kspDebugKotlin,1846,1985,1780,1884,2403,2616,ms
Task Path,:repository:message-contact:kspDebugKotlin,1917,2144,1870,2021,2524,2785,ms
Task Path,:repository:metric-contact:kspDebugKotlin,1950,2079,1894,2037,2683,2709,ms
Task Path,:repository:network-contact:kspDebugKotlin,1915,2016,1894,1926,2402,2666,ms
Task Path,:repository:event-contact:compileDebugKotlin,2491,2691,2452,2650,3335,3454,ms
Task Path,:repository:message-contact:compileDebugKotlin,2472,2560,2467,2541,3115,3315,ms
Task Path,:repository:network-contact:compileDebugKotlin,2372,2337,2351,2321,2976,3023,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2420,2519,2418,2538,2950,3374,ms
Task Path,:repository:notification-contact:kspDebugKotlin,2021,2063,1975,2057,2564,2492,ms
Task Path,:repository:report-contact:kspDebugKotlin,1863,1906,1856,1823,2397,2469,ms
Task Path,:repository:search-contact:kspDebugKotlin,1876,1901,2020,2010,2478,2362,ms
Task Path,:repository:session-contact:kspDebugKotlin,1802,1839,1739,1839,2470,2400,ms
Task Path,:repository:notification-contact:compileDebugKotlin,2398,2476,2320,2409,3069,3226,ms
Task Path,:repository:report-contact:compileDebugKotlin,2430,2546,2524,2445,2956,3392,ms
Task Path,:repository:session-contact:compileDebugKotlin,2261,2562,2304,2466,2726,3187,ms
Task Path,:repository:search-contact:compileDebugKotlin,2272,2514,2323,2342,2961,3296,ms
Task Path,:repository:sync-contact:kspDebugKotlin,1870,2015,1935,1887,2318,2668,ms
Task Path,:repository:task-contact:kspDebugKotlin,1815,1969,1741,1884,2561,2562,ms
Task Path,:repository:share-contact:kspDebugKotlin,2275,2510,2196,2433,3045,3361,ms
Task Path,:repository:status-contact:kspDebugKotlin,2365,2627,2389,2546,2882,3505,ms
Task Path,:repository:share-contact:compileDebugKotlin,2312,2456,2286,2459,2991,3114,ms
Task Path,:repository:sync-contact:compileDebugKotlin,2411,2333,2450,2276,2991,3153,ms
Task Path,:repository:status-contact:compileDebugKotlin,2196,2368,2202,2340,2730,3034,ms
Task Path,:repository:task-contact:compileDebugKotlin,2303,2326,2211,2227,2917,3184,ms
Task Path,:repository:setting-contact:kspDebugKotlin,1738,1687,1782,1706,2247,2101,ms
Task Path,:repository:location-contact:kspDebugKotlin,1776,1731,1807,1698,2104,2378,ms
Task Path,:model:article-contact:kspDebugKotlin,1688,1741,1635,1682,2161,2354,ms
Task Path,:model:contact-login:kspDebugKotlin,2329,2277,2339,2256,2952,2757,ms
Task Path,:model:article-contact:compileDebugKotlin,2367,2334,2268,2381,3139,3120,ms
Task Path,:repository:setting-contact:compileDebugKotlin,2266,2193,2231,2236,3003,2843,ms
Task Path,:model:contact-login:compileDebugKotlin,2183,2250,2031,2285,2834,2927,ms
Task Path,:repository:location-contact:compileDebugKotlin,2405,2291,2320,2236,3188,2959,ms
Task Path,:model:audio-contact:kspDebugKotlin,1712,1760,1663,1728,2426,2421,ms
Task Path,:model:document-contact:kspDebugKotlin,1713,1854,1783,1794,2121,2525,ms
Task Path,:repository:log-contact:kspDebugKotlin,1697,1808,1666,1902,2234,2385,ms
Task Path,:model:map-contact:kspDebugKotlin,1649,1781,1639,1788,2051,2425,ms
Task Path,:model:audio-contact:compileDebugKotlin,2283,2336,2197,2192,3212,3247,ms
Task Path,:repository:log-contact:compileDebugKotlin,2301,2361,2191,2466,3170,3094,ms
Task Path,:model:document-contact:compileDebugKotlin,2200,2339,2116,2189,2907,3121,ms
Task Path,:model:map-contact:compileDebugKotlin,2065,2168,2040,2249,2654,2966,ms
Task Path,:model:forecast-contact:kspDebugKotlin,1568,1721,1570,1657,2023,2204,ms
Task Path,:model:file-contact:kspDebugKotlin,1614,1737,1650,1604,2045,2407,ms
Task Path,:model:list-contact:kspDebugKotlin,1543,1696,1645,1662,1915,2210,ms
Task Path,:model:gallery-contact:kspDebugKotlin,2040,2219,2053,2158,2855,2853,ms
Task Path,:model:gallery-contact:compileDebugKotlin,2326,2195,2346,2055,3192,3113,ms
Task Path,:model:file-contact:compileDebugKotlin,2483,2290,2531,2212,3481,2918,ms
Task Path,:model:forecast-contact:compileDebugKotlin,2468,2352,2547,2202,3466,3268,ms
Task Path,:model:list-contact:compileDebugKotlin,2294,2383,2259,2262,3125,3283,ms
Task Path,:model:media-contact:kspDebugKotlin,1707,1796,1643,1658,2296,2848,ms
Task Path,:model:note-contact:kspDebugKotlin,1594,1774,1475,1869,2094,2251,ms
Task Path,:model:photo-contact:kspDebugKotlin,1539,1701,1520,1715,1985,2233,ms
Task Path,:model:news-contact:kspDebugKotlin,2114,2199,1993,2229,2774,2820,ms
Task Path,:model:note-contact:compileDebugKotlin,2177,2338,2064,2328,2917,3040,ms
Task Path,:model:media-contact:compileDebugKotlin,2126,2242,2128,2256,2692,3065,ms
Task Path,:model:photo-contact:compileDebugKotlin,2147,2356,2125,2383,2863,3021,ms
Task Path,:model:news-contact:compileDebugKotlin,2191,2290,2078,2426,3031,2977,ms
Task Path,:model:push-login:kspDebugKotlin,1690,1726,1711,1700,2177,2175,ms
Task Path,:model:playlist-contact:kspDebugKotlin,1630,1751,1581,1745,2138,2365,ms
Task Path,:model:timer-contact:kspDebugKotlin,1676,1754,1620,1680,2228,2316,ms
Task Path,:model:podcast-contact:kspDebugKotlin,1708,1861,1676,1780,2221,2359,ms
Task Path,:model:push-login:compileDebugKotlin,2088,2181,2173,2216,2640,2783,ms
Task Path,:model:timer-contact:compileDebugKotlin,2033,2061,2037,2028,2504,2507,ms
Task Path,:model:playlist-contact:compileDebugKotlin,2152,2295,2194,2247,2578,2984,ms
Task Path,:model:podcast-contact:compileDebugKotlin,2140,2184,2082,2183,2772,2747,ms
Task Path,:model:video-contact:kspDebugKotlin,1705,1741,1606,1713,2203,2255,ms
Task Path,:model:todo-contact:kspDebugKotlin,2148,2213,2071,2094,2715,2900,ms
Task Path,:model:weather-contact:kspDebugKotlin,1829,1901,1740,1921,2354,2285,ms
Task Path,:model:video-contact:compileDebugKotlin,2481,2379,2509,2349,3302,2946,ms
Task Path,:model:todo-contact:compileDebugKotlin,2286,2330,2237,2213,3087,3074,ms
Task Path,:model:weather-contact:compileDebugKotlin,2506,2447,2609,2377,3172,3184,ms
Task Path,:app:app:generateDebugGlobalSynthetics,5616,5604,5707,5705,6807,7119,ms
Task Path,:app:app:kspDebugKotlin,4425,4384,4598,4392,5420,6044,ms
Task Path,:app:app:compileDebugKotlin,3411,3781,3393,3667,4093,4781,ms
Task Path,:app:app:mergeDebugJavaResource,2528,2795,2341,2845,3248,3528,ms
Task Path,:app:app:mergeExtDexDebug,19063,20031,19540,20885,21916,22997,ms
Task Path,:app:app:mergeLibDexDebug,1304,1517,1274,1500,1898,2162,ms
Task Path,:app:app:mergeDebugResources,6255,6234,6151,6454,7586,7647,ms
Task Path,:app:app:hiltJavaCompileDebug,8032,8229,8192,8888,9183,9661,ms
Task Path,:app:app:validateSigningDebug,2142,2155,2180,2111,2766,2890,ms
Task Path,:app:app:processDebugResources,2666,2684,2572,2655,3601,3422,ms
Task Path,:app:app:packageDebug,1225,1241,1227,1252,1658,1692,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,9.03,9.29,9.01,9.39,9.84,9.8,Gb
Build process cpu,Max,95.93333333333334,95.43333333333334,96.0,95.0,97,97,%
Build processes memory,Max,4.49,4.52,4.49,4.48,4.95,4.99,Gb
Build child processes cpu,Max,94.26666666666667,93.76666666666667,94.0,94.0,96,96,%
Build child processes memory,Max,3.42,3.68,3.34,3.64,3.82,3.95,Gb
