Category,Metric,varianta_main Mean,variantb_9.5.0-rc-1 Mean,varianta_main P50,variantb_9.5.0-rc-1 P50,varianta_main P90,variantb_9.5.0-rc-1 P90,Unit
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,11,11,9,9,13,14,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,419,418,390,406,644,530,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,244,240,248,240,273,279,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,143,148,143,145,163,166,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,32,32,27,26,55,46,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,7,7,6,7,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,5,5,5,5,7,7,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1735,1757,1724,1754,1997,1934,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,45,44,42,42,60,60,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,139,123,123,121,212,168,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1095,1074,1082,1035,1477,1448,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,365,352,298,268,692,604,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,12,13,5,5,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5091,5072,2611,2532,12412,12709,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,4,4,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1017,978,1021,930,1356,1270,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,4,3,4,4,7,5,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,25,23,26,23,31,30,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,1,1,1,1,1,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,9,9,8,8,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,1,1,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,1,1,2,2,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,14,14,13,13,18,18,ms
Task Type,com.android.build.gradle.tasks.BundleAar,6,6,6,6,7,8,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,891,849,880,820,1059,1004,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,6,2,3,3,4,4,ms
Task Path,:build-logic:convention:compileKotlin,7516,7699,7490,7622,7818,8195,ms
Task Path,:core:account:kspDebugKotlin,6950,6996,6962,6969,7586,7440,ms
Task Path,:core:analytics:kspDebugKotlin,6258,6311,6257,6287,6829,6792,ms
Task Path,:core:alarm:kspDebugKotlin,6534,6583,6521,6548,7129,7063,ms
Task Path,:core:article:kspDebugKotlin,6071,6130,6079,6118,6597,6574,ms
Task Path,:core:article:compileDebugKotlin,7898,7977,7751,7937,8523,8520,ms
Task Path,:core:analytics:compileDebugKotlin,7915,8052,7805,8067,8511,8595,ms
Task Path,:core:account:compileDebugKotlin,8014,8218,7893,8290,8623,8820,ms
Task Path,:core:alarm:compileDebugKotlin,8012,8219,7881,8350,8580,8763,ms
Task Path,:core:audio:kspDebugKotlin,2701,2663,2659,2607,3156,3227,ms
Task Path,:core:calendar:kspDebugKotlin,3522,3441,3450,3337,4005,3950,ms
Task Path,:core:cart:kspDebugKotlin,3647,3557,3636,3491,4202,3991,ms
Task Path,:core:cart-contact:kspDebugKotlin,5266,5191,5174,5109,6149,5946,ms
Task Path,:core:audio:compileDebugKotlin,7023,6905,7033,6808,7739,7477,ms
Task Path,:core:cart:compileDebugKotlin,5408,5427,5423,5330,5962,5983,ms
Task Path,:core:calendar:compileDebugKotlin,5933,5992,5984,5921,6562,6587,ms
Task Path,:core:cart-contact:compileDebugKotlin,5364,5452,5293,5384,6177,6176,ms
Task Path,:core:checkout:kspDebugKotlin,4082,4172,4039,4196,4728,4733,ms
Task Path,:core:checkout-contact:kspDebugKotlin,2809,2933,2806,2898,3318,3476,ms
Task Path,:core:comment-contact:kspDebugKotlin,3007,3001,2985,2974,3423,3450,ms
Task Path,:core:comment:kspDebugKotlin,3928,4089,3866,4131,4426,4699,ms
Task Path,:core:checkout-contact:compileDebugKotlin,4377,4352,4362,4310,4805,4844,ms
Task Path,:core:checkout:compileDebugKotlin,4939,4960,4904,5026,5466,5561,ms
Task Path,:core:comment-contact:compileDebugKotlin,4206,4274,4177,4267,4629,4791,ms
Task Path,:core:comment:compileDebugKotlin,4035,4114,3976,4139,4575,4568,ms
Task Path,:core:contact:kspDebugKotlin,2367,2337,2379,2344,2743,2816,ms
Task Path,:core:contact-contact:kspDebugKotlin,2446,2414,2418,2376,3045,2893,ms
Task Path,:core:document:kspDebugKotlin,2586,2526,2536,2535,3065,2974,ms
Task Path,:core:event:kspDebugKotlin,3681,3658,3742,3574,4214,4264,ms
Task Path,:core:contact-contact:compileDebugKotlin,4356,4310,4345,4250,5173,4951,ms
Task Path,:core:contact:compileDebugKotlin,4640,4625,4580,4530,5304,5418,ms
Task Path,:core:document:compileDebugKotlin,4529,4401,4572,4385,5166,4980,ms
Task Path,:core:feed:kspDebugKotlin,2626,2597,2741,2629,3178,3044,ms
Task Path,:core:event:compileDebugKotlin,4220,4092,4216,4121,4864,4655,ms
Task Path,:core:feed-contact:kspDebugKotlin,2562,2559,2532,2603,3069,2964,ms
Task Path,:core:file:kspDebugKotlin,2587,2668,2560,2695,3125,3089,ms
Task Path,:core:feed:compileDebugKotlin,3812,3910,3825,3844,4376,4669,ms
Task Path,:core:feed-contact:compileDebugKotlin,3906,4045,3949,3984,4276,4617,ms
Task Path,:core:forecast:kspDebugKotlin,3674,3751,3608,3713,4079,4287,ms
Task Path,:core:file:compileDebugKotlin,3513,3617,3506,3581,3957,4121,ms
Task Path,:core:gallery:kspDebugKotlin,2408,2549,2419,2508,2879,3123,ms
Task Path,:core:group:kspDebugKotlin,2368,2490,2364,2484,2666,2905,ms
Task Path,:core:forecast:compileDebugKotlin,3508,3591,3490,3641,3834,4035,ms
Task Path,:core:identity:kspDebugKotlin,2473,2585,2486,2626,2914,3093,ms
Task Path,:core:gallery:compileDebugKotlin,3453,3555,3481,3505,3903,4126,ms
Task Path,:core:group:compileDebugKotlin,3425,3498,3409,3488,3920,3913,ms
Task Path,:core:identity-contact:kspDebugKotlin,2291,2397,2304,2388,2651,2806,ms
Task Path,:core:identity:compileDebugKotlin,3304,3396,3325,3421,3799,3847,ms
Task Path,:core:list:kspDebugKotlin,2180,2209,2242,2252,2650,2691,ms
Task Path,:core:location:kspDebugKotlin,2231,2236,2238,2250,2760,2734,ms
Task Path,:core:identity-contact:compileDebugKotlin,3156,3236,3155,3200,3570,3804,ms
Task Path,:core:log:kspDebugKotlin,3080,3091,3005,3025,3703,3761,ms
Task Path,:core:list:compileDebugKotlin,3284,3327,3345,3272,3733,3871,ms
Task Path,:core:location:compileDebugKotlin,3242,3268,3221,3293,3768,3791,ms
Task Path,:core:login:kspDebugKotlin,2368,2302,2372,2350,2651,2776,ms
Task Path,:core:log:compileDebugKotlin,3069,3026,3089,3006,3471,3635,ms
Task Path,:core:login-contact:kspDebugKotlin,2284,2344,2307,2347,2766,2973,ms
Task Path,:core:map:kspDebugKotlin,2215,2152,2259,2143,2731,2585,ms
Task Path,:core:login:compileDebugKotlin,2993,2975,2987,2912,3384,3472,ms
Task Path,:core:media:kspDebugKotlin,2221,2136,2292,2139,2714,2656,ms
Task Path,:core:login-contact:compileDebugKotlin,3200,3209,3172,3199,3664,3571,ms
Task Path,:core:map:compileDebugKotlin,3269,3225,3266,3107,3889,3947,ms
Task Path,:core:message:kspDebugKotlin,2215,2184,2200,2137,2647,2685,ms
Task Path,:core:media:compileDebugKotlin,3280,3310,3235,3277,3899,3887,ms
Task Path,:core:metric:kspDebugKotlin,2048,2091,2051,2134,2481,2549,ms
Task Path,:core:network:kspDebugKotlin,1909,2002,1857,2008,2328,2347,ms
Task Path,:core:message:compileDebugKotlin,2982,3055,2944,3049,3517,3658,ms
Task Path,:core:news:kspDebugKotlin,1961,1995,1929,1993,2397,2492,ms
Task Path,:core:metric:compileDebugKotlin,2772,2897,2753,2828,3262,3366,ms
Task Path,:core:network:compileDebugKotlin,2902,2989,2891,2906,3396,3502,ms
Task Path,:core:news:compileDebugKotlin,3024,3010,2982,3027,3456,3457,ms
Task Path,:core:notification:kspDebugKotlin,2065,2069,2061,2061,2575,2527,ms
Task Path,:core:note:kspDebugKotlin,2765,2822,2749,2816,3271,3427,ms
Task Path,:core:photo:kspDebugKotlin,2799,2770,2819,2795,3353,3316,ms
Task Path,:core:playlist:kspDebugKotlin,2016,2013,2083,2027,2348,2514,ms
Task Path,:core:notification:compileDebugKotlin,2980,2986,2960,2917,3397,3412,ms
Task Path,:core:note:compileDebugKotlin,2977,2849,2957,2823,3361,3301,ms
Task Path,:core:photo:compileDebugKotlin,2732,2708,2752,2728,3051,3180,ms
Task Path,:core:playlist:compileDebugKotlin,2823,2814,2846,2783,3253,3371,ms
Task Path,:core:post:kspDebugKotlin,2073,1949,2124,1881,2532,2507,ms
Task Path,:core:podcast:kspDebugKotlin,2117,2079,2119,2137,2543,2538,ms
Task Path,:core:profile:kspDebugKotlin,2176,2021,2227,1941,2596,2588,ms
Task Path,:core:post-contact:kspDebugKotlin,2857,2704,2929,2698,3398,3211,ms
Task Path,:core:podcast:compileDebugKotlin,2796,2794,2864,2840,3227,3359,ms
Task Path,:core:post:compileDebugKotlin,2809,2790,2838,2768,3277,3285,ms
Task Path,:core:post-contact:compileDebugKotlin,2610,2537,2585,2558,2989,3046,ms
Task Path,:core:profile:compileDebugKotlin,2732,2664,2718,2614,3157,3053,ms
Task Path,:core:profile-contact:kspDebugKotlin,2025,1972,2033,1965,2444,2382,ms
Task Path,:core:push:kspDebugKotlin,1933,1879,1907,1908,2312,2268,ms
Task Path,:core:report:kspDebugKotlin,1919,1961,1905,1975,2362,2362,ms
Task Path,:core:push-contact:kspDebugKotlin,2402,2507,2406,2479,2940,2998,ms
Task Path,:core:profile-contact:compileDebugKotlin,2507,2475,2499,2454,2878,2923,ms
Task Path,:core:push:compileDebugKotlin,2491,2525,2540,2510,2940,2978,ms
Task Path,:core:report:compileDebugKotlin,2497,2662,2479,2630,2924,3098,ms
Task Path,:core:push-contact:compileDebugKotlin,2525,2592,2520,2606,2916,2984,ms
Task Path,:core:search:kspDebugKotlin,1995,2019,1995,2008,2356,2316,ms
Task Path,:core:session:kspDebugKotlin,1832,1892,1784,1905,2286,2226,ms
Task Path,:core:share:kspDebugKotlin,1884,1923,1859,1913,2351,2358,ms
Task Path,:core:search:compileDebugKotlin,2526,2612,2481,2645,3100,3073,ms
Task Path,:core:setting:kspDebugKotlin,2437,2476,2450,2433,2877,2989,ms
Task Path,:core:session:compileDebugKotlin,2485,2648,2433,2567,2977,3157,ms
Task Path,:core:share:compileDebugKotlin,2708,2736,2595,2695,3260,3380,ms
Task Path,:core:status:kspDebugKotlin,1755,1808,1768,1838,2114,2173,ms
Task Path,:core:setting:compileDebugKotlin,2549,2585,2543,2534,3064,3297,ms
Task Path,:core:sync:kspDebugKotlin,2521,2477,2526,2449,2845,3046,ms
Task Path,:core:task:kspDebugKotlin,1787,1885,1767,1854,2216,2380,ms
Task Path,:core:timer:kspDebugKotlin,1873,1899,1863,1854,2319,2405,ms
Task Path,:core:status:compileDebugKotlin,2755,2656,2612,2627,3425,3123,ms
Task Path,:core:sync:compileDebugKotlin,2413,2425,2313,2366,3047,2985,ms
Task Path,:core:task:compileDebugKotlin,2531,2545,2509,2532,3011,2889,ms
Task Path,:core:timer:compileDebugKotlin,2513,2529,2493,2501,2980,2985,ms
Task Path,:core:todo:kspDebugKotlin,1902,1946,1917,1929,2310,2357,ms
Task Path,:core:user:kspDebugKotlin,1839,1852,1821,1899,2213,2259,ms
Task Path,:core:video:kspDebugKotlin,1866,1819,1779,1795,2367,2276,ms
Task Path,:core:user-contact:kspDebugKotlin,1805,1823,1741,1783,2434,2337,ms
Task Path,:core:todo:compileDebugKotlin,2402,2457,2355,2405,2971,2863,ms
Task Path,:core:user:compileDebugKotlin,2392,2410,2335,2348,2947,3012,ms
Task Path,:core:user-contact:compileDebugKotlin,2547,2574,2551,2538,3073,3169,ms
Task Path,:core:video:compileDebugKotlin,2520,2613,2506,2518,3010,3108,ms
Task Path,:core:weather:kspDebugKotlin,1788,1837,1716,1786,2228,2224,ms
Task Path,:feature:article-contact:kspDebugKotlin,1776,1843,1808,1863,2112,2243,ms
Task Path,:feature:account-contact:kspDebugKotlin,2271,2323,2221,2298,2881,3053,ms
Task Path,:feature:audio-contact:kspDebugKotlin,1891,2039,1896,1995,2221,2643,ms
Task Path,:core:weather:compileDebugKotlin,2372,2330,2336,2337,2851,2748,ms
Task Path,:feature:account-contact:compileDebugKotlin,2509,2547,2467,2530,2942,3026,ms
Task Path,:feature:article-contact:compileDebugKotlin,2527,2626,2532,2618,2877,3130,ms
Task Path,:feature:audio-contact:compileDebugKotlin,2393,2468,2376,2438,2906,3005,ms
Task Path,:feature:comment-login:kspDebugKotlin,2036,2030,2032,2011,2450,2473,ms
Task Path,:feature:document-contact:kspDebugKotlin,1800,1838,1823,1876,2189,2316,ms
Task Path,:feature:event-contact:kspDebugKotlin,1699,1785,1660,1788,2136,2226,ms
Task Path,:feature:comment-login:compileDebugKotlin,2375,2518,2388,2534,2709,2878,ms
Task Path,:feature:file-contact:kspDebugKotlin,1645,1768,1629,1784,1949,2230,ms
Task Path,:feature:event-contact:compileDebugKotlin,2307,2363,2293,2414,2688,2789,ms
Task Path,:feature:document-contact:compileDebugKotlin,2305,2324,2325,2292,2549,2787,ms
Task Path,:feature:file-contact:compileDebugKotlin,2280,2329,2258,2338,2640,2748,ms
Task Path,:feature:identity-login:kspDebugKotlin,1757,1832,1727,1803,2054,2200,ms
Task Path,:feature:identity-login:compileDebugKotlin,2051,2141,2011,2145,2459,2529,ms
Task Path,:feature:note-contact:kspDebugKotlin,1820,1824,1838,1814,2291,2257,ms
Task Path,:feature:notification-login:kspDebugKotlin,1661,1669,1604,1686,2147,2039,ms
Task Path,:feature:post-login:kspDebugKotlin,1709,1704,1681,1729,2063,2059,ms
Task Path,:feature:note-contact:compileDebugKotlin,2116,2195,2058,2163,2544,2575,ms
Task Path,:feature:push-login:kspDebugKotlin,1772,1753,1774,1730,2227,2144,ms
Task Path,:feature:post-login:compileDebugKotlin,2230,2139,2190,2095,2699,2538,ms
Task Path,:feature:notification-login:compileDebugKotlin,2166,2106,2133,2113,2674,2471,ms
Task Path,:feature:session-contact:kspDebugKotlin,1684,1715,1697,1719,2081,1981,ms
Task Path,:feature:push-login:compileDebugKotlin,2090,2041,2046,2038,2619,2456,ms
Task Path,:feature:setting-contact:kspDebugKotlin,1631,1660,1658,1641,2013,2135,ms
Task Path,:feature:status-contact:kspDebugKotlin,2185,2240,2133,2161,2710,2735,ms
Task Path,:feature:session-contact:compileDebugKotlin,2206,2228,2195,2172,2774,2836,ms
Task Path,:feature:sync-login:kspDebugKotlin,1729,1698,1681,1682,2165,2161,ms
Task Path,:feature:setting-contact:compileDebugKotlin,2095,2270,2042,2192,2508,2770,ms
Task Path,:feature:status-contact:compileDebugKotlin,2242,2165,2241,2087,2688,2763,ms
Task Path,:feature:timer-contact:kspDebugKotlin,1721,1672,1686,1629,2159,2032,ms
Task Path,:feature:sync-login:compileDebugKotlin,2385,2331,2334,2297,2891,2809,ms
Task Path,:feature:todo-contact:kspDebugKotlin,2102,2148,2107,2116,2616,2615,ms
Task Path,:feature:account-login:kspDebugKotlin,1772,1707,1765,1685,2126,2009,ms
Task Path,:feature:timer-contact:compileDebugKotlin,2222,2169,2181,2155,2661,2575,ms
Task Path,:feature:calendar-contact:kspDebugKotlin,1723,1709,1667,1744,2032,1986,ms
Task Path,:feature:cart-login:kspDebugKotlin,1775,1810,1742,1802,2127,2218,ms
Task Path,:feature:todo-contact:compileDebugKotlin,2135,2188,2148,2248,2621,2616,ms
Task Path,:feature:account-login:compileDebugKotlin,2357,2336,2312,2345,2786,2817,ms
Task Path,:feature:calendar-contact:compileDebugKotlin,2177,2151,2109,2090,2569,2586,ms
Task Path,:feature:cart-login:compileDebugKotlin,2246,2269,2207,2277,2713,2705,ms
Task Path,:domain:account-identity:kspDebugKotlin,1757,1635,1737,1659,2205,2118,ms
Task Path,:feature:checkout-login:kspDebugKotlin,1649,1625,1637,1657,2068,1989,ms
Task Path,:feature:feed-login:kspDebugKotlin,1732,1714,1683,1701,2133,2100,ms
Task Path,:feature:contact-login:kspDebugKotlin,2188,2260,2162,2228,2568,2709,ms
Task Path,:domain:account-identity:compileDebugKotlin,2238,2269,2219,2237,2723,2817,ms
Task Path,:feature:checkout-login:compileDebugKotlin,2195,2271,2140,2186,2580,2827,ms
Task Path,:feature:feed-login:compileDebugKotlin,2257,2266,2249,2248,2560,2745,ms
Task Path,:feature:contact-login:compileDebugKotlin,2138,2161,2142,2115,2439,2680,ms
Task Path,:feature:forecast-contact:kspDebugKotlin,1740,1686,1706,1710,2082,2119,ms
Task Path,:feature:gallery-contact:kspDebugKotlin,2033,2027,2051,1950,2502,2509,ms
Task Path,:feature:forecast-contact:compileDebugKotlin,2144,2086,2115,2068,2511,2529,ms
Task Path,:feature:list-contact:kspDebugKotlin,1634,1611,1637,1582,2025,1987,ms
Task Path,:feature:group-login:kspDebugKotlin,2010,2038,2014,2042,2524,2402,ms
Task Path,:feature:gallery-contact:compileDebugKotlin,2022,2041,1977,1986,2350,2417,ms
Task Path,:feature:location-contact:kspDebugKotlin,1606,1540,1539,1506,2093,1943,ms
Task Path,:feature:group-login:compileDebugKotlin,1934,2081,1922,2020,2292,2515,ms
Task Path,:feature:list-contact:compileDebugKotlin,2004,2137,2008,2117,2310,2622,ms
Task Path,:feature:location-login:kspDebugKotlin,1453,1486,1454,1495,1844,1814,ms
Task Path,:feature:location-contact:compileDebugKotlin,1926,2015,1843,1971,2348,2494,ms
Task Path,:feature:log-contact:kspDebugKotlin,1471,1445,1457,1452,1830,1743,ms
Task Path,:feature:map-contact:kspDebugKotlin,1558,1573,1551,1555,1913,1879,ms
Task Path,:feature:location-login:compileDebugKotlin,1783,1887,1768,1884,2107,2324,ms
Task Path,:feature:media-contact:kspDebugKotlin,1655,1674,1636,1664,1968,2023,ms
Task Path,:feature:log-contact:compileDebugKotlin,1937,2118,1951,2126,2227,2544,ms
Task Path,:feature:map-contact:compileDebugKotlin,1884,1927,1856,1910,2304,2266,ms
Task Path,:feature:message-contact:kspDebugKotlin,1539,1447,1515,1382,1897,1782,ms
Task Path,:feature:media-contact:compileDebugKotlin,1868,1885,1865,1836,2253,2380,ms
Task Path,:feature:message-login:kspDebugKotlin,1589,1599,1599,1620,1963,2076,ms
Task Path,:feature:metric-contact:kspDebugKotlin,1656,1648,1648,1612,1940,2070,ms
Task Path,:feature:message-contact:compileDebugKotlin,1948,2048,1927,2024,2346,2564,ms
Task Path,:feature:network-contact:kspDebugKotlin,1620,1612,1614,1567,2032,2051,ms
Task Path,:feature:message-login:compileDebugKotlin,2042,2032,2040,1933,2504,2519,ms
Task Path,:feature:metric-contact:compileDebugKotlin,1940,1960,1924,1912,2275,2407,ms
Task Path,:feature:network-login:kspDebugKotlin,1508,1494,1482,1429,1904,1992,ms
Task Path,:feature:network-contact:compileDebugKotlin,1798,1811,1787,1762,2069,2229,ms
Task Path,:feature:news-contact:kspDebugKotlin,1822,1791,1814,1769,2370,2082,ms
Task Path,:feature:network-login:compileDebugKotlin,1833,1785,1824,1794,2232,2077,ms
Task Path,:feature:playlist-contact:kspDebugKotlin,1440,1368,1407,1341,1758,1632,ms
Task Path,:feature:podcast-contact:kspDebugKotlin,1546,1491,1499,1483,1943,1816,ms
Task Path,:feature:news-contact:compileDebugKotlin,1931,1887,1873,1914,2199,2189,ms
Task Path,:feature:profile-login:kspDebugKotlin,1381,1370,1398,1348,1674,1665,ms
Task Path,:feature:playlist-contact:compileDebugKotlin,1997,1958,1940,1937,2377,2322,ms
Task Path,:feature:podcast-contact:compileDebugKotlin,1880,1928,1873,1871,2263,2300,ms
Task Path,:feature:profile-login:compileDebugKotlin,1920,1933,1923,1956,2461,2240,ms
Task Path,:feature:report-contact:kspDebugKotlin,1306,1384,1275,1382,1656,1730,ms
Task Path,:feature:search-contact:kspDebugKotlin,1424,1459,1399,1456,1804,1806,ms
Task Path,:feature:search-login:kspDebugKotlin,2004,2025,2001,2028,2330,2421,ms
Task Path,:feature:setting-login:kspDebugKotlin,1496,1537,1504,1546,1798,1855,ms
Task Path,:feature:search-contact:compileDebugKotlin,2092,2161,2074,2145,2446,2574,ms
Task Path,:feature:report-contact:compileDebugKotlin,2015,2123,2029,2111,2292,2573,ms
Task Path,:feature:search-login:compileDebugKotlin,1969,1991,1969,2046,2449,2524,ms
Task Path,:feature:setting-login:compileDebugKotlin,2050,2094,2055,2108,2522,2581,ms
Task Path,:feature:share-contact:kspDebugKotlin,1866,1889,1829,1865,2407,2317,ms
Task Path,:feature:share-login:kspDebugKotlin,1495,1487,1526,1500,1833,1754,ms
Task Path,:feature:sync-contact:kspDebugKotlin,1457,1555,1456,1521,1818,2042,ms
Task Path,:feature:task-contact:kspDebugKotlin,1353,1392,1324,1395,1648,1816,ms
Task Path,:feature:share-login:compileDebugKotlin,1923,1928,1904,1950,2445,2321,ms
Task Path,:feature:share-contact:compileDebugKotlin,1954,2095,1882,2089,2296,2624,ms
Task Path,:feature:sync-contact:compileDebugKotlin,1862,1919,1809,1958,2362,2308,ms
Task Path,:feature:task-contact:compileDebugKotlin,1831,1834,1827,1782,2228,2270,ms
Task Path,:feature:weather-contact:kspDebugKotlin,1557,1510,1535,1463,1930,1865,ms
Task Path,:feature:user-login:kspDebugKotlin,1821,1790,1823,1746,2194,2159,ms
Task Path,:feature:photo-contact:kspDebugKotlin,1589,1552,1591,1570,1891,1870,ms
Task Path,:feature:session-login:kspDebugKotlin,2133,2072,2164,2100,2556,2430,ms
Task Path,:feature:user-login:compileDebugKotlin,1915,2043,1924,1924,2157,2761,ms
Task Path,:feature:weather-contact:compileDebugKotlin,2018,2023,1983,1969,2382,2537,ms
Task Path,:feature:photo-contact:compileDebugKotlin,2109,2188,2063,2174,2629,2719,ms
Task Path,:feature:session-login:compileDebugKotlin,1939,1957,1886,1913,2472,2299,ms
Task Path,:domain:alarm-identity:kspDebugKotlin,1675,1747,1697,1724,2044,2175,ms
Task Path,:domain:alarm-login:kspDebugKotlin,1572,1637,1511,1635,2015,2003,ms
Task Path,:feature:analytics-contact:kspDebugKotlin,1629,1656,1633,1627,1959,2042,ms
Task Path,:feature:group-contact:kspDebugKotlin,1596,1621,1602,1624,1915,2041,ms
Task Path,:domain:alarm-identity:compileDebugKotlin,2032,2117,1979,2103,2463,2483,ms
Task Path,:domain:alarm-login:compileDebugKotlin,1900,1982,1879,1890,2287,2405,ms
Task Path,:feature:analytics-contact:compileDebugKotlin,2044,2047,2033,2009,2521,2418,ms
Task Path,:feature:group-contact:compileDebugKotlin,1914,1944,1889,1866,2276,2403,ms
Task Path,:feature:login-login:kspDebugKotlin,1592,1513,1642,1530,1910,1926,ms
