Category,Metric,varianta_main_4_workers Mean,variantb_kotlin_compiler_3_workers Mean,varianta_main_4_workers P50,variantb_kotlin_compiler_3_workers P50,varianta_main_4_workers P90,variantb_kotlin_compiler_3_workers P90,Unit
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,52,51,10,10,40,40,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,24,13,12,11,30,26,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,13,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,44,41,22,22,45,43,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,599,584,338,335,1076,1222,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,75,84,16,16,218,227,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,132,93,32,28,198,69,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,18,20,12,11,30,30,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,29,31,19,19,50,51,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1452,1347,1339,1051,2225,2300,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,13,8,8,19,19,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3699,3812,3008,3073,6579,6505,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,366,291,106,108,964,532,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,142,75,21,21,61,55,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,76,66,9,8,375,317,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,31,26,26,26,53,48,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,84,82,79,78,152,149,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,19,18,11,11,23,23,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,6,3,2,2,17,6,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,28,30,13,13,66,74,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,17,18,15,15,36,39,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,19,20,18,19,29,30,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,329,333,131,107,826,856,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,111,130,35,33,297,349,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,13020,12022,83,78,39593,36357,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9919,9548,1183,1083,41063,35090,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,13,20,3,3,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,12,14,7,7,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,6,2,2,7,8,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,7,7,7,12,10,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,20,21,9,8,52,54,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,895,918,9,10,2863,3242,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,659,1328,800,1318,1189,2546,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1299,1170,1152,1042,1815,1745,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,221,229,13,14,66,104,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1811,1906,1777,1666,2909,3051,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3001,2593,2788,2555,4740,3316,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,7,7,6,6,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,6,5,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,6,5,5,9,10,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,5,5,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,12,21,5,5,13,15,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,34,38,22,22,44,49,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,41,41,34,33,73,77,ms
Task Type,com.android.build.gradle.tasks.BundleAar,19,20,16,17,33,33,ms
Task Path,:build-logic:convention:compileKotlin,12274,12402,12101,12166,13017,12994,ms
Task Path,:app:checkDemoDebugAarMetadata,1338,1316,1298,1262,1705,1688,ms
Task Path,:app:parseDemoDebugLocalResources,1782,1732,1450,1432,3661,4245,ms
Task Path,:app:processDemoDebugMainManifest,1290,1248,970,983,2501,2429,ms
Task Path,:app:mergeDemoDebugResources,5299,5197,5320,5179,5852,5868,ms
Task Path,:app:processDemoDebugResources,2120,2174,2092,2152,2383,2474,ms
Task Path,:core:common:kspKotlin,12262,12561,12262,12535,12958,13441,ms
Task Path,:core:model:compileKotlin,14248,14855,14236,14862,14965,15824,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3498,3964,3459,3924,3798,4460,ms
Task Path,:core:common:compileKotlin,2532,2950,2515,2924,2851,3190,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6538,7032,6541,7009,7003,7426,ms
Task Path,:core:common:compileJava,1604,1872,1589,1845,1824,2129,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2936,2628,2938,2613,3220,2835,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2429,1551,2421,947,2671,2901,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4093,4312,4097,4263,4326,4745,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugJavaWithJavac,1208,3161,901,3161,2407,3413,ms
Task Path,:core:network:kspDemoDebugKotlin,3745,4209,3739,4156,4008,4731,ms
Task Path,:core:database:kspProdDebugKotlin,8861,9651,8891,9616,9308,10242,ms
Task Path,:core:database:kspDemoDebugKotlin,10715,11115,10705,10985,11320,11810,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4634,5687,4641,5647,4945,6013,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1549,1911,1545,1903,1679,2135,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3168,3933,3091,3859,3497,4261,ms
Task Path,:core:network:compileDemoDebugKotlin,5990,5083,5946,5039,6509,5600,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3532,4337,3533,4352,3844,4646,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3341,4032,3335,3979,3698,4497,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1781,1864,1763,1866,2031,2162,ms
Task Path,:core:database:compileProdDebugKotlin,11221,11244,11236,11129,11943,12065,ms
Task Path,:core:database:compileDemoDebugKotlin,11532,14260,11411,14072,12329,15226,ms
Task Path,:core:data:kspDemoDebugKotlin,5022,4901,4995,4895,5738,5562,ms
Task Path,:core:data:compileDemoDebugKotlin,8854,5729,7278,5649,13034,6197,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18086,18658,18136,18406,19767,19826,ms
Task Path,:core:domain:compileDemoDebugKotlin,1498,1192,1081,1189,1424,1426,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2555,1302,2577,69,5271,3603,ms
Task Path,:core:ui:compileDemoDebugKotlin,5409,5926,5342,5886,6376,6708,ms
Task Path,:sync:work:kspDemoDebugKotlin,3864,4687,3761,4698,4504,5431,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5131,3726,5352,3720,7120,4398,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,6018,4029,5888,4011,7295,4559,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5369,4074,5581,3782,7701,5406,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1072,1236,1076,1293,1448,1609,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1685,1554,1898,1830,3621,2745,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6771,7142,7219,7216,9261,8425,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38913,35927,38929,35193,40953,39030,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3360,4854,3062,4959,4398,6011,ms
Task Path,:feature:search:kspDemoDebugKotlin,3028,3429,3025,3407,3497,4071,ms
Task Path,:feature:settings:kspDemoDebugKotlin,3014,3062,3031,2982,3394,3533,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2981,4309,3008,4259,3442,5399,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2954,2962,2938,2959,3364,3439,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3059,2986,3047,2925,3462,3393,ms
Task Path,:sync:work:compileDemoDebugKotlin,1484,1884,1464,1877,1754,2268,ms
Task Path,:app:mergeExtDexDemoDebug,42945,38511,43175,38410,44574,41645,ms
Task Path,:feature:search:compileDemoDebugKotlin,4644,4672,4678,4650,5158,5285,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3632,3682,3683,3684,4138,4418,ms
Task Path,:app:kspDemoDebugKotlin,4972,4967,4880,4802,5638,5709,ms
Task Path,:app:validateSigningDemoDebug,2670,2732,2442,2630,4770,4007,ms
Task Path,:app:mergeLibDexDemoDebug,1574,1259,1550,1241,1916,1664,ms
Task Path,:app:compileDemoDebugKotlin,6023,6536,5913,6322,6791,7590,ms
Task Path,:app:mergeProdDebugResources,3567,3537,3453,3476,4081,4093,ms
Task Path,:app:compileDemoDebugJavaWithJavac,1006,1294,995,1154,1240,1837,ms
Task Path,:app:processProdDebugResources,1225,1025,1168,1000,1609,1244,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1076,1791,1050,1763,1343,2876,ms
Task Path,:core:analytics:kspProdDebugKotlin,2473,2560,2433,2446,2906,3107,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2614,2792,2583,2720,3034,3303,ms
Task Path,:core:analytics:compileProdDebugKotlin,1196,1400,1173,1302,1481,2024,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1235,1486,1206,1360,1447,2233,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1658,1892,1631,1810,1971,2499,ms
Task Path,:core:network:kspProdDebugKotlin,2644,2858,2650,2861,3133,3671,ms
Task Path,:core:notifications:kspProdDebugKotlin,2551,2478,2512,2442,2965,2791,ms
Task Path,:core:datastore:kspProdDebugKotlin,2196,2701,2113,2430,2598,3683,ms
Task Path,:app:hiltJavaCompileDemoDebug,5475,7037,5377,6917,6474,8398,ms
Task Path,:core:datastore:compileProdDebugKotlin,1590,1743,1602,1696,1895,2147,ms
Task Path,:core:network:compileProdDebugKotlin,2140,2382,2115,2261,2566,3015,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1680,3409,1249,3715,3751,4894,ms
Task Path,:app:jacocoDemoDebug,1384,1407,1126,1199,2753,2293,ms
Task Path,:app:mergeDemoDebugJavaResource,4739,5593,4551,5449,5357,7052,ms
Task Path,:core:data:kspProdDebugKotlin,3446,3199,3345,3125,4241,3651,ms
Task Path,:app:dexBuilderDemoDebug,2677,2793,2540,2745,3422,3688,ms
Task Path,:core:data:compileProdDebugKotlin,3422,3486,3214,3413,4485,4546,ms
Task Path,:app:packageDemoDebug,4319,3124,3973,2971,5951,3584,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8816,9347,8801,9157,9931,10947,ms
Task Path,:core:ui:compileProdDebugKotlin,3624,3794,3521,3715,4353,4394,ms
Task Path,:sync:work:kspProdDebugKotlin,3934,3933,3856,3872,4568,4748,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,2884,2870,2553,2618,4124,3694,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3391,2901,3045,2796,4738,3445,ms
Task Path,:feature:interests:kspProdDebugKotlin,3769,2752,3914,2652,4958,3285,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3090,2640,2825,2538,4389,3194,ms
Task Path,:feature:interests:compileProdDebugKotlin,2995,2438,2735,2361,4132,2824,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4306,3834,4129,3681,5381,4750,ms
Task Path,:feature:search:kspProdDebugKotlin,2979,2694,2943,2656,3621,3174,ms
Task Path,:feature:settings:kspProdDebugKotlin,2506,2571,2509,2567,2913,3033,ms
Task Path,:feature:topic:kspProdDebugKotlin,2720,2836,2653,2730,3307,3635,ms
Task Path,:feature:settings:compileProdDebugKotlin,2313,2616,2262,2504,2649,3343,ms
Task Path,:feature:search:compileProdDebugKotlin,3561,3972,3593,3863,4060,4895,ms
Task Path,:feature:topic:compileProdDebugKotlin,2899,3129,2901,3055,3213,3783,ms
Task Path,:sync:work:compileProdDebugKotlin,1562,1626,1544,1537,1801,2184,ms
Task Path,:app:mergeExtDexProdDebug,24548,25647,24253,25306,27796,27926,ms
Task Path,:app:kspProdDebugKotlin,4430,4680,4348,4513,5126,5623,ms
Task Path,:app-nia-catalog:mergeDebugResources,2210,1988,2203,1936,2582,2432,ms
Task Path,:app:compileProdDebugKotlin,4783,4833,4696,4642,5495,6441,ms
Task Path,:app:mergeLibDexProdDebug,1251,1229,1163,1073,1786,1723,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3337,3508,3295,3391,4015,4664,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1698,1862,1612,1771,2320,2465,ms
Task Path,:app:hiltJavaCompileProdDebug,5381,5271,5377,5146,6249,6535,ms
Task Path,:app:dexBuilderProdDebug,1769,1587,1769,1541,2398,1947,ms
Task Path,:app:mergeProdDebugJavaResource,3112,2370,3149,2258,4349,3141,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2594,2786,2562,2708,2984,3443,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1200,1118,1114,1093,1749,1392,ms
Task Path,:core:data-test:kspProdDebugKotlin,2467,2914,2417,2756,2821,4099,ms
Task Path,:app:packageProdDebug,2842,2560,2788,2380,3337,3286,ms
Task Path,:core:data-test:compileProdDebugKotlin,1086,1076,1062,1034,1379,1402,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2038,1956,1988,1905,2368,2375,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17639,17568,17395,16765,19281,20034,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,1939,1936,1877,1849,2194,2302,ms
Task Path,:lint:compileKotlin,1747,2068,1748,1923,2111,2766,ms
Task Path,:app-nia-catalog:packageDebug,1842,2094,1779,2078,2194,2615,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1507,1664,1505,1635,1724,1901,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1340,1509,1294,1476,1609,1777,ms
Task Path,:core:testing:kspDemoDebugKotlin,2524,2687,2473,2636,2942,3317,ms
Task Path,:core:testing:kspProdDebugKotlin,2359,2173,2338,2115,2711,2585,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1749,1946,1697,1879,2179,2468,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1730,1960,1688,1870,2012,2453,ms
Task Path,:core:testing:compileDemoDebugKotlin,1476,1516,1423,1452,1863,1921,ms
Task Path,:core:testing:compileProdDebugKotlin,1441,1283,1424,1201,1806,1728,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1334,1810,1278,1754,1711,2236,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1407,1884,1326,1812,1872,2364,ms
:app:compileDemoDebugKotlin,Compiler code analysis,2079.28,2274.72,1973,2202,2622,2771,ms
:app:compileDemoDebugKotlin,Update caches,18.84,15.18,16,14,23,23,ms
:app:compileDemoDebugKotlin,Compiler IR lowering,646.02,682.06,631,650,795,962,ms
:app:compileDemoDebugKotlin,Shrink current classpath snapshot non-incrementally,166.14,159.76,165,152,275,213,ms
:app:compileDemoDebugKotlin,Spent time before task action,44.38,43.96,44,43,56,60,ms
:app:compileDemoDebugKotlin,Connect to Kotlin daemon,12.24,15.78,12,11,20,24,ms
:app:compileDemoDebugKotlin,Compiler initialization time,104.26,110.98,103,111,129,150,ms
:app:compileDemoDebugKotlin,Task action before worker execution,34.54,29.72,30,30,45,43,ms
:app:compileDemoDebugKotlin,Sources compilation round,5330.02,5886.34,5229,5672,6101,6828,ms
:app:compileDemoDebugKotlin,Run compilation,5676.38,6240.26,5566,6034,6467,7229,ms
:app:compileDemoDebugKotlin,Shrink and save current classpath snapshot after compilation,171.48,164.74,170,157,280,221,ms
:app:compileDemoDebugKotlin,Compiler code generation,1397.8,1519.58,1389,1467,1654,1865,ms
:app:compileDemoDebugKotlin,Incremental compilation in daemon,5645.48,6203.38,5509,5983,6432,7208,ms
:app:compileDemoDebugKotlin,Compiler IR translation,1739.46,1973.04,1733,1939,2046,2418,ms
:app:compileDemoDebugKotlin,Total Gradle task time,6023.76,6536.7,5913,6322,6791,7590,ms
:app:compileDemoDebugKotlin,Start gradle worker,20.2,21.48,3,4,108,17,ms
:app:compileDemoDebugKotlin,Calculate output size,1.9,2.28,1,1,4,5,ms
:app:compileDemoDebugKotlin,Load current classpath snapshot,76.52,66.8,70,61,99,92,ms
:app:compileDemoDebugKotlin,Run compilation in Gradle worker,5696.9,6262.96,5613,6052,6491,7330,ms
:app:compileDemoDebugKotlin,Save shrunk current classpath snapshot,3.0,2.86,3,2,6,5,ms
:app:compileDemoDebugKotlin,Compiler IR generation,751.24,837.08,730,801,985,1045,ms
:app:compileDemoDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:app:compileDemoDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:app:compileDemoDebugKotlin,Number of lines analyzed,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Number of lines for code generation,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Compiler IR lowering line number,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Compiler IR generation line number,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Compiler IR translation line number,1364,1364,1364,1364,1364,1364,
:app:compileDemoDebugKotlin,Size of classpath snapshot,11.0,11.0,11,11,11,11,MB
:app:compileDemoDebugKotlin,Number of cache misses when loading classpath entry snapshots,58,40,59,33,59,59,
:app:compileDemoDebugKotlin,Size of shrunk classpath snapshot,142.9,142.9,143,143,143,143,KB
:app:compileDemoDebugKotlin,Number of cache hits when loading classpath entry snapshots,99,117,99,125,99,125,
:app:compileDemoDebugKotlin,Analysis lines per second,675,615,691,619,809,750,
:app:compileDemoDebugKotlin,Code generation lines per second,993,928,982,930,1158,1120,
:app:compileDemoDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:app:compileDemoDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:app:compileDemoDebugKotlin,Total size of the cache directory,718.2,718.2,718,718,718,718,KB
:app:compileDemoDebugKotlin,Number of classpath entries,158,158,158,158,158,158,
:app:compileDemoDebugKotlin,Clear jar cache,5.8,5.03,3,2,7,19,ms
:app:compileDemoDebugKotlin,Write history file,5.0,7.0,5,7,5,7,ms
:app:compileDemoDebugKotlin,Clear outputs on rebuild,2.0,3.0,2,3,2,3,ms
:app:compileDemoDebugKotlin,Clear output,2.0,,2,,2,,ms
:app:compileProdDebugKotlin,Compiler code analysis,1673.96,1737.48,1669,1688,1970,2196,ms
:app:compileProdDebugKotlin,Update caches,9.88,12.5,10,7,14,17,ms
:app:compileProdDebugKotlin,Compiler IR lowering,485.32,483.16,459,471,779,670,ms
:app:compileProdDebugKotlin,Shrink current classpath snapshot non-incrementally,106.14,104.44,88,88,189,238,ms
:app:compileProdDebugKotlin,Spent time before task action,33.4,33.82,32,30,49,45,ms
:app:compileProdDebugKotlin,Connect to Kotlin daemon,11.88,19.52,10,10,22,21,ms
:app:compileProdDebugKotlin,Compiler initialization time,107.02,106.18,104,105,145,137,ms
:app:compileProdDebugKotlin,Task action before worker execution,43.62,46.06,30,30,53,49,ms
:app:compileProdDebugKotlin,Sources compilation round,4187.4,4244.58,4147,4086,4836,5667,ms
:app:compileProdDebugKotlin,Run compilation,4486.7,4510.94,4419,4363,5059,6085,ms
:app:compileProdDebugKotlin,Shrink and save current classpath snapshot after compilation,110.38,108.32,93,93,193,243,ms
:app:compileProdDebugKotlin,Compiler code generation,1018.44,980.94,974,913,1293,1369,ms
:app:compileProdDebugKotlin,Incremental compilation in daemon,4432.56,4469.74,4398,4336,5029,6054,ms
:app:compileProdDebugKotlin,Compiler IR translation,1380.14,1412.12,1341,1351,1668,1770,ms
:app:compileProdDebugKotlin,Total Gradle task time,4783.44,4833.86,4696,4642,5495,6441,ms
:app:compileProdDebugKotlin,Start gradle worker,28.9,44.31,6,4,52,110,ms
:app:compileProdDebugKotlin,Calculate output size,1.88,1.72,1,1,4,4,ms
:app:compileProdDebugKotlin,Load current classpath snapshot,30.74,23.56,23,22,38,30,ms
:app:compileProdDebugKotlin,Run compilation in Gradle worker,4508.28,4536.18,4434,4385,5072,6105,ms
:app:compileProdDebugKotlin,Save shrunk current classpath snapshot,2.28,1.96,1,1,6,4,ms
:app:compileProdDebugKotlin,Clear jar cache,3.36,3.06,3,2,6,7,ms
:app:compileProdDebugKotlin,Compiler IR generation,532.72,497.22,505,412,744,828,ms
:app:compileProdDebugKotlin,ABI snapshot size,49.0,49.0,49,49,49,49,B
:app:compileProdDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:app:compileProdDebugKotlin,Number of lines analyzed,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Number of lines for code generation,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Compiler IR lowering line number,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Compiler IR generation line number,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Compiler IR translation line number,1364,1364,1364,1364,1364,1364,
:app:compileProdDebugKotlin,Size of classpath snapshot,11.0,11.0,11,11,11,11,MB
:app:compileProdDebugKotlin,Number of cache misses when loading classpath entry snapshots,9,9,9,9,9,9,
:app:compileProdDebugKotlin,Size of shrunk classpath snapshot,142.9,142.9,143,143,143,143,KB
:app:compileProdDebugKotlin,Number of cache hits when loading classpath entry snapshots,149,149,149,149,149,149,
:app:compileProdDebugKotlin,Analysis lines per second,834,814,817,808,982,1014,
:app:compileProdDebugKotlin,Code generation lines per second,1396,1474,1401,1495,1873,1889,
:app:compileProdDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:app:compileProdDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:app:compileProdDebugKotlin,Total size of the cache directory,718.2,718.2,718,718,718,718,KB
:app:compileProdDebugKotlin,Number of classpath entries,158,158,158,158,158,158,
:app:compileProdDebugKotlin,Write history file,4.0,3.0,3,3,6,3,ms
:app:compileProdDebugKotlin,Clear outputs on rebuild,3.0,,3,,3,,ms
:app:compileProdDebugKotlin,Clear output,5.67,2.2,4,2,12,3,ms
:app:compileProdDebugKotlin,Store build info,3.0,2.5,3,3,3,3,ms
:app-nia-catalog:compileDebugKotlin,Compiler code analysis,938.38,976.88,953,935,1229,1413,ms
:app-nia-catalog:compileDebugKotlin,Update caches,3.08,2.78,2,2,8,6,ms
:app-nia-catalog:compileDebugKotlin,Compiler IR lowering,312.06,346.46,294,330,440,523,ms
:app-nia-catalog:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,55.2,62.66,53,54,73,80,ms
:app-nia-catalog:compileDebugKotlin,Spent time before task action,52.74,39.06,36,35,69,47,ms
:app-nia-catalog:compileDebugKotlin,Connect to Kotlin daemon,23.34,13.54,10,9,45,17,ms
:app-nia-catalog:compileDebugKotlin,Compiler initialization time,72.66,75.5,67,71,132,94,ms
:app-nia-catalog:compileDebugKotlin,Task action before worker execution,63.52,19.92,13,12,282,19,ms
:app-nia-catalog:compileDebugKotlin,Sources compilation round,2795.74,3029.32,2776,2933,3380,3837,ms
:app-nia-catalog:compileDebugKotlin,Run compilation,3023.82,3211.86,2921,3125,3661,4084,ms
:app-nia-catalog:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,56.52,64.38,54,55,74,82,ms
:app-nia-catalog:compileDebugKotlin,Compiler code generation,638.04,749.52,626,723,839,1089,ms
:app-nia-catalog:compileDebugKotlin,Incremental compilation in daemon,3000.58,3187.04,2900,3103,3635,4035,ms
:app-nia-catalog:compileDebugKotlin,Compiler IR translation,1138.48,1222.7,1132,1217,1395,1506,ms
:app-nia-catalog:compileDebugKotlin,Total Gradle task time,3337.54,3508.6,3295,3391,4015,4664,ms
