Category,Metric,cdsap-71_varianta_main Mean,cdsap-71_variantb_gradle_8_13 Mean,cdsap-71_varianta_main P50,cdsap-71_variantb_gradle_8_13 P50,cdsap-71_varianta_main P90,cdsap-71_variantb_gradle_8_13 P90,Unit
Task Path,:app:processDemoDebugResources,2172,2166,2144,2156,2429,2391,ms
Task Path,:core:common:kspKotlin,11893,11858,11747,11777,12889,12914,ms
Task Path,:core:model:compileKotlin,13801,13813,13752,13707,14371,14568,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3525,3462,3508,3456,3881,3764,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6590,6591,6563,6586,6954,7065,ms
Task Path,:core:common:compileKotlin,2590,2555,2581,2569,2898,2780,ms
Task Path,:core:common:compileJava,1586,1639,1586,1636,1757,1806,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2833,2911,2815,2890,3123,3190,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,3958,4012,3944,4018,4268,4353,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2405,2439,2376,2407,2719,2761,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugJavaWithJavac,1245,1218,918,901,2412,2252,ms
Task Path,:core:network:kspDemoDebugKotlin,3769,3759,3809,3756,4050,4055,ms
Task Path,:core:database:kspDemoDebugKotlin,10767,10799,10757,10737,11238,11360,ms
Task Path,:core:database:kspProdDebugKotlin,8901,8876,8880,8835,9371,9310,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4718,4669,4685,4600,5093,5184,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1574,1571,1576,1575,1750,1715,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3165,3182,3151,3195,3433,3474,ms
Task Path,:core:network:compileDemoDebugKotlin,5985,6026,5950,6014,6432,6404,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3515,3557,3498,3509,3884,3908,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3316,3352,3290,3350,3610,3704,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1850,1835,1852,1792,2143,2149,ms
Task Path,:core:database:compileProdDebugKotlin,11239,11325,11217,11290,11793,11946,ms
Task Path,:core:database:compileDemoDebugKotlin,11668,11638,11628,11560,12194,12341,ms
Task Path,:core:data:kspDemoDebugKotlin,4943,5011,4903,4985,5528,5657,ms
Task Path,:core:data:compileDemoDebugKotlin,9232,9134,7117,7317,14428,14023,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3595,3589,3850,3658,4713,4770,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18238,18420,18207,18352,19657,19989,ms
Task Path,:core:designsystem:bundleLibCompileToJarDemoDebug,1573,1453,959,1006,3742,3746,ms
Task Path,:core:domain:compileDemoDebugKotlin,1328,1289,1075,1105,1416,1323,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2908,2937,3038,2925,5227,5254,ms
Task Path,:core:ui:compileDemoDebugKotlin,5321,5394,5306,5321,6083,6164,ms
Task Path,:sync:work:kspDemoDebugKotlin,3957,3986,3859,3889,4457,4398,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5064,5453,5050,5881,6977,7175,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,6026,6088,6048,6091,7303,7194,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5178,5370,5543,5994,7087,7318,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1094,1078,1037,1059,1466,1431,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1824,1478,2087,1376,3732,3281,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38930,39105,38682,39092,41143,41700,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3059,3170,2875,3024,3450,3760,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6654,6693,7120,7130,8612,8733,ms
Task Path,:feature:search:kspDemoDebugKotlin,2992,2982,2970,2957,3478,3351,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2926,2913,2924,2916,3507,3386,ms
Task Path,:app:mergeExtDexDemoDebug,42627,42707,42831,42697,45008,44652,ms
Task Path,:feature:settings:kspDemoDebugKotlin,2952,2935,2938,2928,3417,3368,ms
Task Path,:sync:work:compileDemoDebugKotlin,1501,1506,1467,1467,1796,1822,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2953,2945,2958,2964,3290,3337,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3109,3066,3085,3059,3495,3518,ms
Task Path,:feature:search:compileDemoDebugKotlin,4584,4592,4575,4632,5186,5142,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3573,3625,3539,3587,4273,4210,ms
Task Path,:app:kspDemoDebugKotlin,4901,4993,4850,4971,5504,5624,ms
Task Path,:app:mergeLibDexDemoDebug,1510,1514,1474,1488,1855,1883,ms
Task Path,:app:validateSigningDemoDebug,2834,2625,2619,2398,3855,3858,ms
Task Path,:app:mergeProdDebugResources,3411,3453,3394,3410,3925,4111,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2649,2729,2632,2685,3103,3174,ms
Task Path,:app:compileDemoDebugKotlin,5866,6164,5834,6120,6523,7085,ms
Task Path,:app:processProdDebugResources,1186,1170,1094,1128,1610,1526,ms
Task Path,:core:analytics:kspProdDebugKotlin,2476,2516,2468,2491,2833,3089,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1245,1304,1211,1298,1528,1564,ms
Task Path,:app:compileDemoDebugJavaWithJavac,1004,1007,977,982,1231,1257,ms
Task Path,:core:analytics:compileProdDebugKotlin,1153,1259,1136,1223,1456,1661,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1598,1664,1584,1609,1918,2047,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1037,1072,1005,1044,1303,1394,ms
Task Path,:core:network:kspProdDebugKotlin,2542,2723,2516,2705,2978,3099,ms
Task Path,:core:notifications:kspProdDebugKotlin,2415,2620,2355,2568,2845,3055,ms
Task Path,:core:datastore:kspProdDebugKotlin,2206,2331,2185,2297,2529,2695,ms
Task Path,:core:datastore:compileProdDebugKotlin,1523,1655,1510,1630,1841,2007,ms
Task Path,:core:network:compileProdDebugKotlin,2134,2273,2091,2237,2453,2676,ms
Task Path,:app:hiltJavaCompileDemoDebug,5490,6033,5380,6002,6466,6837,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1536,2273,1229,1310,1936,5001,ms
Task Path,:core:data:kspProdDebugKotlin,3319,3275,3272,3187,3997,4013,ms
Task Path,:app:jacocoDemoDebug,1249,1586,1115,1167,1592,3090,ms
Task Path,:app:mergeDemoDebugJavaResource,4597,4989,4543,4677,5561,6494,ms
Task Path,:app:dexBuilderDemoDebug,2643,2719,2576,2671,3436,3405,ms
Task Path,:core:data:compileProdDebugKotlin,3162,3034,2936,2848,4470,4742,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8791,8595,8686,8459,10081,9807,ms
Task Path,:core:domain:compileProdDebugKotlin,1009,1110,764,808,1775,2102,ms
Task Path,:app:packageDemoDebug,4372,4157,4275,3962,6160,5470,ms
Task Path,:core:ui:compileProdDebugKotlin,3591,3717,3478,3597,4638,4561,ms
Task Path,:sync:work:kspProdDebugKotlin,3890,4009,3793,3984,4679,4583,ms
Task Path,:feature:bookmarks:kspProdDebugKotlin,2786,3040,2529,2777,3995,4406,ms
Task Path,:feature:foryou:kspProdDebugKotlin,3678,3661,3641,3383,4797,5072,ms
Task Path,:feature:interests:kspProdDebugKotlin,3818,3623,3880,3528,4919,4851,ms
Task Path,:feature:bookmarks:compileProdDebugKotlin,3172,3189,3095,3031,4272,4470,ms
Task Path,:feature:bookmarks:transformProdDebugClassesWithAsm,1051,,1126,,1883,,ms
Task Path,:feature:foryou:compileProdDebugKotlin,4353,4337,4218,4278,5603,5427,ms
Task Path,:feature:interests:compileProdDebugKotlin,3207,2910,2918,2574,4597,4325,ms
Task Path,:feature:search:kspProdDebugKotlin,3091,2965,2884,2764,4204,3876,ms
Task Path,:feature:settings:kspProdDebugKotlin,2584,2616,2595,2569,2972,3160,ms
Task Path,:feature:topic:kspProdDebugKotlin,2722,2707,2561,2680,3414,3440,ms
Task Path,:feature:settings:compileProdDebugKotlin,2297,2417,2301,2421,2590,2816,ms
Task Path,:feature:search:compileProdDebugKotlin,3537,3596,3462,3538,4035,4398,ms
Task Path,:feature:topic:compileProdDebugKotlin,2934,3012,2863,2977,3437,3495,ms
Task Path,:sync:work:compileProdDebugKotlin,1518,1529,1502,1508,1829,1764,ms
Task Path,:app:mergeExtDexProdDebug,24426,24745,24181,24212,27341,27624,ms
Task Path,:app:kspProdDebugKotlin,4307,4336,4287,4247,4758,4886,ms
Task Path,:app:mergeLibDexProdDebug,1405,1307,1325,1281,1973,1736,ms
Task Path,:app-nia-catalog:mergeDebugResources,2297,2282,2302,2299,2700,2733,ms
Task Path,:app-nia-catalog:processDebugResources,1066,1015,1014,957,1488,1431,ms
Task Path,:app:compileProdDebugKotlin,4850,5043,4717,4966,5641,5887,ms
Task Path,:app:compileProdDebugJavaWithJavac,1061,1044,1006,973,1568,1473,ms
Task Path,:app-nia-catalog:compileDebugKotlin,3373,3418,3322,3466,3888,4013,ms
Task Path,:app-nia-catalog:mergeDebugJavaResource,1699,1598,1681,1554,2153,1905,ms
Task Path,:app-nia-catalog:dexBuilderDebug,1009,,943,,1454,,ms
Task Path,:core:data-test:kspDemoDebugKotlin,2589,2621,2577,2504,3012,3101,ms
Task Path,:app:hiltJavaCompileProdDebug,5473,5360,5448,5276,6174,6146,ms
Task Path,:core:data-test:kspProdDebugKotlin,2532,2436,2502,2400,3086,2838,ms
Task Path,:core:data-test:compileDemoDebugKotlin,1197,1156,1174,1108,1578,1455,ms
Task Path,:app:mergeProdDebugJavaResource,3227,2811,3274,2691,4281,3683,ms
Task Path,:core:data-test:compileProdDebugKotlin,1041,1063,1027,1016,1296,1380,ms
Task Path,:app:jacocoProdDebug,1223,1176,1248,1121,1675,1597,ms
Task Path,:app:dexBuilderProdDebug,1770,1719,1740,1716,2258,2178,ms
Task Path,:core:datastore-test:kspDemoDebugKotlin,2060,2020,2026,1972,2324,2397,ms
Task Path,:core:datastore-test:kspProdDebugKotlin,1981,1980,1916,1951,2283,2254,ms
Task Path,:app:packageProdDebug,2875,2834,2821,2778,3402,3375,ms
Task Path,:app-nia-catalog:mergeExtDexDebug,17815,17914,17715,17762,19408,19579,ms
Task Path,:lint:compileKotlin,1819,1895,1775,1872,2159,2249,ms
Task Path,:core:screenshot-testing:kspProdDebugKotlin,1311,1350,1298,1315,1539,1738,ms
Task Path,:app-nia-catalog:packageDebug,1890,1901,1848,1809,2225,2281,ms
Task Path,:core:screenshot-testing:kspDemoDebugKotlin,1453,1532,1448,1526,1646,1877,ms
Task Path,:core:screenshot-testing:compileProdDebugKotlin,1699,1722,1663,1658,1993,2058,ms
Task Path,:core:screenshot-testing:compileDemoDebugKotlin,1703,1723,1667,1651,2009,2098,ms
Task Path,:core:testing:kspDemoDebugKotlin,2515,2587,2460,2519,2877,3090,ms
Task Path,:core:testing:kspProdDebugKotlin,2363,2413,2308,2338,2749,2820,ms
Task Path,:core:testing:compileDemoDebugKotlin,1633,1625,1560,1578,1964,1964,ms
Task Path,:core:testing:compileProdDebugKotlin,1502,1485,1470,1472,1755,1827,ms
Task Path,:sync:sync-test:kspDemoDebugKotlin,1533,1548,1460,1484,1969,1987,ms
Task Path,:sync:sync-test:kspProdDebugKotlin,1454,1457,1393,1384,1885,1934,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,11.12,11.12,11.1,11.11,11.67,11.69,Gb
Build process cpu,Max,92.85,93.03030303030303,93.0,93.0,95,95,%
Build processes memory,Max,5.37,5.38,5.39,5.38,5.46,5.45,Gb
Build child processes cpu,Max,91.92,92.22222222222223,92.0,92.0,94,94,%
Build child processes memory,Max,4.71,4.71,4.72,4.67,5.26,5.3,Gb
Task Path,:core:notifications:compileProdDebugKotlin,,1023,,1010,,1226,
